Family,Beak length_culmen,Beak length_nares,Beak width,Beak depth,Tarsus length,Wing length,Kipp's distance,Secondary1,Hand-wing index,Tail length,Mass,Brain mass,Habitat,Habitat density,Trophic level,Trophic niche,Migration,Primary lifestyle,Clutch size,Maximum longevity,Generation length,Abundance,Developmental mode,Latitude_minimum,Latitude_maximum,Latitude_centroid,Longitude_centroid,Range size,Mean annual temperature,Annual precipitation,
Struthionidae,89.85,51.6,47,23.5,473.95,544.75,NA,544.45,0.1,300.45,111000,41.91909091,Shrubland,3,Herbivore,Omnivore,1,Terrestrial,9.2,50,14.52863666,937151,2.301570989,-17.26,17.045,4.04,31.26,4837167.88,24.91945337,375.7528805,
Casuariidae,87.05,24.35,17.9,19.4,308.35,226.65,NA,226.475,0.1,356.2,39791.8,30.69276,Forest,1.5,Herbivore,Frugivore,1,Terrestrial,5.6,30.64751425,11.01294999,543600,2.332707179,-18.5925,-3.135,-10.815,139.525,1298205.188,23.67518898,2369.795179,
Apterygidae,129.68,3.4,4.38,4.96,69.9,NA,NA,NA,0.1,0.1,1965.2,10.05426667,Forest,1.2,Carnivore,Invertivore,1,Terrestrial,1.531,26.75133887,9.249305917,589.4,2.332707179,-43.128,-39.638,-41.538,172.034,11507.518,10.76309572,2537.752937,
Rheidae,78.15,34.55,26,16.6,300.6,614.75,NA,616.65,0.1,60.2,23450,19.37984,Grassland,3,Omnivore,Omnivore,1,Terrestrial,19.95,39.75399184,10.30614799,1066382.5,2.332707179,-47.355,-10.43,-29.42,-61.045,3811435.23,15.44591792,710.3695534,
Tinamidae,30.27021277,12.62765957,5.772340426,5.755319149,46.63829787,170.6659574,39.86595745,130.5808511,23.56595745,58.40851064,532.5638298,2.452826667,Forest,1.553191489,Herbivore,Omnivore,1,Terrestrial,4.846875,14.71942773,4.894812974,571478.2667,2.331603059,-20.56808511,-1.617446809,-11.47489362,-64.87148936,1911452.057,20.80115528,1650.184399,
Anhimidae,46.56666667,21.76666667,12.83333333,15.03333333,119.7333333,520.9666667,178.9666667,343.1,34.33333333,217.7666667,3369.2,8.77212,Wetland,3,Herbivore,Herbivore aquatic,1,Terrestrial,3.966666667,24.25352611,7.562174155,1417474.333,1.438408071,-19.98666667,4.023333333,-7.636666667,-63.79666667,4966689.663,24.60861967,1608.651824,
Anseranatidae,85.6,42.4,22.8,20.4,87,405.6,144,269,34.9,148.1,2393.4,9.1168,Wetland,3,Herbivore,Omnivore,2,Terrestrial,8.4,24.8,8.144257987,14328914,1.428029341,-38.9,-10.62,-20.53,137.43,223353.42,24.76873692,1067.300913,
Anatidae,48.93806452,30.45677419,18.03612903,14.60516129,46.03806452,263.9025806,119.6690323,143.7367742,45.5316129,91.64967742,1462.914839,6.344224862,Wetland,3,Herbivore,Herbivore aquatic,2.103225806,Aquatic,7.680536913,19.85986113,5.247827368,15180460.18,2.314655304,-2.627189542,29.21666667,14.52444444,12.17607843,6347033.8,11.10719062,867.0336418,
Megapodiidae,29.21818182,15.84545455,8.227272727,11.28181818,69.64090909,236.9136364,56.25454545,181.0409091,23.85,100.7409091,984.6545455,4.34084,Forest,1.409090909,Herbivore,Omnivore,1,Terrestrial,8.88,14.18166329,5.744166496,256172.7368,2.332707179,-9.9445,-1.3985,-5.642,119.677,193750.396,24.57891602,2394.292497,
Cracidae,38.8490566,18.52075472,10.15849057,14.53773585,76.91132075,296.9943396,33.87924528,262.6849057,11.77169811,288.0113208,1501.362264,5.758748571,Forest,1,Herbivore,Frugivore,1,Insessorial,2.384615385,19.03566595,6.499882035,430017.7692,1.527837982,-7.665283019,4.625283019,-1.290566038,-68.89471698,929808.4649,23.15843966,1856.230667,
Numididae,31.23333333,20.36666667,12.45,13.03333333,76.25,248.2,46.33333333,199.2,18.83333333,153.9333333,1026.5,4.58266,Forest,1.333333333,Herbivore,Omnivore,1,Terrestrial,9.68,12.90860031,3.798903269,5041706,1.294834166,-12.54,10.525,0.681666667,19.55166667,3242020.31,24.5238568,1371.514921,
Odontophoridae,17.83333333,10.32121212,7.748484848,10.11212121,37.6030303,128.6242424,26.56363636,101.3424242,21.23030303,67.26969697,266.8939394,1.474206667,Forest,1.424242424,Herbivore,Omnivore,1,Terrestrial,7.39,12.90165171,3.909237793,855551.6061,2.306404264,6.319375,17.6896875,12.4359375,-79.915,840114.1731,20.33371565,1690.302812,
Phasianidae,27.97288136,15.16553672,9.188983051,9.720621469,52.41836158,189.9853107,47.5480226,141.3830508,25.23050847,152.4621469,812.1341808,3.582011117,Forest,1.858757062,Herbivore,Omnivore,1.045714286,Terrestrial,6.096666667,15.00327716,4.370391091,1813809.383,2.294065516,9.472685714,25.22577143,18.07502857,64.20868571,1895836.318,16.35456769,1329.735537,
Phoenicopteridae,109.3,80.8,26.41666667,37.25,241.0166667,394.1166667,171.7333333,220.2833333,43.91666667,145.8333333,2790.033333,9.300933333,Wetland,3,Carnivore,Aquatic predator,1.166666667,Terrestrial,1,36.35865278,12.34810835,27406486,0.324086148,-29.63666667,11.48,-11.735,-36.85333333,1552640.182,15.89674533,585.5718405,
Podicipedidae,38.2,22.86315789,5.6,8.221052632,46.55263158,134.5894737,50.61052632,83.81578947,36.74736842,31.38421053,548.1736842,2.818503636,Wetland,3,Carnivore,Aquatic predator,1.736842105,Aquatic,3.468421053,15.19036823,4.877996842,8540941.895,1.432945581,-25.93473684,20.25473684,1.037894737,-6.065789474,8470772.657,11.7791005,787.817981,
Mesitornithidae,29.33333333,13.73333333,3.666666667,4.9,36.26666667,115.8333333,10.8,103.4333333,9.466666667,110.5666667,131.9666667,2.072,Woodland,1,Carnivore,Invertivore,1,Terrestrial,1.5,12.96523618,4.904287817,53071.66667,0.729312282,-23.06666667,-16.00666667,-19.52333333,46.21,29676.00333,23.45440723,1229.877124,
Pteroclidae,18.1875,8.6125,4.6125,5.6875,24.53125,192.28125,105.15625,86.6875,54.24375,97.2625,244.28125,1.507173333,Grassland,3,Herbivore,Granivore,1.625,Terrestrial,2.8625,16.09851675,3.815989898,2996964.125,2.331409838,-0.49375,21.8575,11.105625,41.014375,3622515.414,19.82066654,444.6368575,
Columbidae,22.1980198,11.1339934,4.580858086,5.154455446,27.18712871,168.3151815,53.25676568,114.99967,31.1630363,111.3214521,250.629703,1.821496609,Forest,1.881188119,Herbivore,Frugivore,1.089108911,Insessorial,1.512328767,14.48175783,4.477679718,7062913.795,-1.563478467,-9.322195946,7.920135135,-0.318547297,56.27016892,1939803.333,22.54409405,1951.838106,
