Family,dn,ds,dnds,ran,PC1.dn,PC2.dn,PC3.dn,PC4.dn,PC1.ds,PC2.ds,PC3.ds,PC4.ds,PC1.dnds,PC2.dnds,PC3.dnds,PC4.dnds,PC1.ran,PC2.ran,PC3.ran,PC4.ran
Struthionidae,-9.356885544,-6.829403972,-6.807136834,-6.959547613,-0.048894262,0.07538792,-0.005438943,0.043749361,0.039341685,-0.043831309,0.02505417,0.00551796,-0.049406558,-0.075388106,0.003855597,-0.010375807,-0.058275888,-0.016526034,0.038439678,-0.062002756
Casuariidae,-9.547089355,-7.182708968,-6.665967278,-7.309403414,-0.051649787,0.067629517,0.030875861,0.021729707,0.031996967,-0.04286527,0.029690305,-0.030296981,-0.054511956,-0.065741433,0.011617078,0.035626211,-0.052241222,-0.011800484,0.066593953,0.027089834
Apterygidae,-9.620732543,-7.353006689,-6.572024026,-7.575267945,-0.051376165,0.06664958,0.034715876,0.025746379,0.038083753,-0.032309239,0.032990592,-0.022843041,-0.051287426,-0.066505507,0.006323422,0.039557793,-0.022371632,-0.00375394,0.023348841,0.001535009
Rheidae,-9.088492928,-6.490175425,-6.905912465,-6.80296805,-0.047927764,0.054250685,-0.022144589,0.076372321,0.061791696,-0.024759753,0.04833574,0.044874189,-0.05131307,-0.057617389,-0.028549601,0.046816432,-0.043590827,-0.012298845,0.034039214,-0.028257014
Tinamidae,-8.565725843,-5.87873266,-7.024352564,-6.123231934,-0.043337665,0.050505981,-0.021643077,0.07800711,0.033192674,-0.037938249,0.039974297,-0.028803579,-0.051058582,-0.049494782,-0.016092845,0.050530917,-0.019250002,-0.00792469,0.027577037,0.014634282
Anhimidae,-9.171312925,-6.617836607,-6.53527344,-6.82919962,-0.055560658,0.085467477,0.008819468,-0.004935189,0.039560075,-0.043744605,0.025136795,-0.006325409,-0.064897424,-0.092705097,0.028291925,0.015712529,-0.070001679,-0.022884478,0.057023116,-0.069452018
Anseranatidae,-9.248717901,-6.630727804,-6.519327532,-6.970035597,-0.060035444,0.077610091,0.000314715,0.022083227,0.046490349,-0.038659843,0.031088986,0.003818039,-0.057352119,-0.068711026,0.013178094,0.042440171,-0.067460069,-0.02286318,0.061764573,-0.045207285
Anatidae,-8.759506544,-6.055160985,-6.61271676,-6.227488027,-0.058528696,0.079406941,0.002573933,0.04189796,0.040259225,-0.052228212,0.041853685,-0.032843606,-0.062524677,-0.072131667,0.022351873,0.05359787,-0.028224896,-0.010024336,0.033896482,-0.009223936
Megapodiidae,-8.932260507,-6.320052377,-6.866286439,-6.651172462,-0.048311838,0.058517208,-0.02258817,0.036092792,0.028284521,-0.035117848,0.028208303,0.011926435,-0.060768494,-0.067110327,-0.001454553,0.014921564,-0.072455427,-0.026903815,0.082174404,-0.00761346
Cracidae,-8.941745648,-6.38154792,-6.763588472,-6.632116086,-0.057507951,0.064316182,-0.03404808,0.06293967,0.039052321,-0.037700681,0.040824001,-0.016437912,-0.063026638,-0.05782841,-0.023976852,0.066789082,-0.062456613,-0.017766485,0.084853469,0.01664276
Numididae,-9.248702416,-6.484171568,-6.54028341,-6.79636431,-0.070706822,0.066866584,-0.003563157,0.095779731,0.044275468,-0.049973698,0.028967746,0.001797689,-0.068857948,-0.05272619,0.007494282,0.135774983,-0.059355568,-0.018117311,0.04777757,-0.033359771
Odontophoridae,-8.786756799,-6.009231971,-6.481455616,-6.18082141,-0.060374592,0.062320001,0.001750733,0.095011413,0.038945117,-0.034250711,0.032459174,-0.014202505,-0.062824281,-0.054777653,0.004681113,0.114481729,-0.064447935,-0.027069905,0.056125245,-0.040124844
Phasianidae,-9.010164374,-6.233472277,-6.479587196,-6.461521678,-0.063591432,0.063318202,0.00230128,0.084535467,0.039491781,-0.032114253,0.029857279,-0.006620653,-0.062056285,-0.051250717,-0.000650092,0.105242371,-0.053582305,-0.015876786,0.046834618,-0.022467634
Phoenicopteridae,-9.630633795,-7.139458609,-6.544413529,-7.408003549,-0.040245193,0.071924097,0.026147876,-0.03897825,0.027598306,-0.040964788,0.017079334,0.00374838,-0.036428014,-0.06801093,0.053114254,-0.101294615,-0.067434256,-0.018146918,0.077933958,0.029447178
Podicipedidae,-9.163583176,-6.630145295,-6.555600297,-6.69679629,-0.038377004,0.069698787,0.026052886,-0.012920814,0.018393913,-0.026352631,0.006481377,-0.004152796,-0.039694283,-0.07290171,0.056682932,-0.110877643,-0.059433202,-0.023060797,0.062855318,-0.031726282
Mesitornithidae,-8.758151969,-6.344335798,-6.638604335,-6.552824205,-0.035646471,0.058251968,-0.010379061,0.016958123,0.022813657,-0.01853212,0.022400915,0.004717709,-0.037822057,-0.063006961,0.016425445,-0.067458757,-0.064060669,-0.017640933,0.074531692,0.029605698
Pteroclidae,-8.738594374,-6.483871371,-6.485646308,-6.647565014,-0.034687545,0.059033066,-0.011525467,0.014613642,0.027727539,-0.022711568,0.023640182,0.007013612,-0.042046248,-0.072634965,0.007645871,-0.081943589,-0.062046545,-0.016011383,0.075832458,0.02671736
Columbidae,-8.783776294,-6.29350007,-6.764076165,-6.447205486,-0.05123301,0.051162234,-0.038472956,0.061708462,0.055602204,-0.037307881,0.0529254,0.035195652,-0.059947578,-0.056262155,-0.040514013,0.029648789,-0.046611483,-0.014724247,0.046878729,0.019366428
Musophagidae,-9.164608539,-6.605535974,-6.798836975,-6.763190041,-0.060147317,0.07232447,-0.030075177,0.057550919,0.05517659,-0.052288279,0.059974291,0.002848382,-0.064250463,-0.068543503,-0.020523812,0.033356306,-0.05356984,-0.015393722,0.062180417,0.002870998
Otididae,-9.087281083,-6.568284547,-6.762225511,-6.750971678,-0.047488533,0.063969681,-0.023326338,0.050266482,0.05386605,-0.048190309,0.066528277,0.023082722,-0.05235093,-0.068308426,-0.010820575,0.013565491,-0.048613998,-0.012083194,0.061091053,0.039762853
Cuculidae,-8.673320569,-6.173749907,-6.722712123,-6.278978825,-0.044846701,0.058729663,-0.021624351,0.053493858,0.045885523,-0.031454263,0.041212498,0.004728331,-0.054539002,-0.067018182,-0.016366114,0.00211472,-0.057795873,-0.017193286,0.04968667,-0.012406938
Opisthocomidae,-8.952823058,-6.599607755,-6.567649029,-6.670049341,-0.043332217,0.068478134,-0.02107144,0.039384296,0.034421332,-0.036979927,0.030317761,0.011985138,-0.058213486,-0.096854263,-0.011984646,-0.050177675,-0.056376096,-0.015536464,0.070386611,-0.006062673
Heliornithidae,-8.640150451,-5.978855237,-6.436002698,-6.204540751,-0.048312922,0.051890846,0.006140932,0.032852577,0.030317811,-0.033329941,0.021255209,0.018467541,-0.049140224,-0.049009774,0.024887894,-0.022555902,-0.054416626,-0.021583636,0.056663269,0.002221809
Rallidae,-8.80562783,-6.031028327,-6.514821056,-6.424676499,-0.049195111,0.051784048,0.005915341,0.017948684,0.030332942,-0.035898136,0.02267828,0.009248928,-0.053690522,-0.049843023,0.0386852,-0.025011451,-0.064054064,-0.020877389,0.080195438,0.034726107
Psophiidae,-9.293404883,-6.590654627,-6.695628404,-6.734476981,-0.064383212,0.075957614,0.029143613,0.01169457,0.03595454,-0.056443957,0.031654401,-0.017810037,-0.064369661,-0.066084373,0.048064751,0.025954634,-0.063780428,-0.021842107,0.077394808,-0.012052192
Aramidae,-9.216395044,-6.600686251,-6.065671404,-6.817396212,-0.051727633,0.065126435,0.106311053,-0.094704927,0.033160527,-0.057193947,0.025152283,-0.025016303,-0.056286092,-0.065819654,0.107106224,6.55E-05,-0.07638209,-0.027280793,0.085175024,-0.029977581
Gruidae,-9.369601981,-6.772622533,-6.051100225,-7.095785422,-0.050823241,0.067646456,0.113852231,-0.099730064,0.037044784,-0.055008631,0.03360201,-0.023892815,-0.055315601,-0.069390864,0.112535592,0.022545933,-0.029932513,-0.011232375,0.028204507,-0.014059822
Burhinidae,-9.445655753,-6.812644444,-6.521428102,-7.094335063,-0.057998236,0.080175818,0.041245263,-0.00332968,0.048464958,-0.049830021,0.035976822,-0.004751426,-0.057579698,-0.07669714,0.04362242,0.02567802,-0.06744629,-0.019218319,0.05809441,-0.039415143
Chionidae,-9.174309144,-6.481960222,-6.557782167,-6.689776887,-0.059579899,0.07921248,0.043443826,-0.002235647,0.035782737,-0.054379388,0.032532416,-0.019223878,-0.061827619,-0.074424886,0.056182144,0.017377673,-0.066002003,-0.024495507,0.080518682,-0.002653423
Charadriidae,-9.570253432,-6.753581187,-6.447504595,-6.954072075,-0.071424131,0.085046202,0.10188342,-0.062906049,0.04546022,-0.072404741,0.029826771,-0.034025769,-0.065919898,-0.066088298,0.080764766,0.087860371,-0.032885012,-0.013826859,0.032015621,-0.0046466
Recurvirostridae,-9.368079968,-6.709827446,-5.828451203,-6.998995667,-0.046870414,0.064354354,0.119384406,-0.122219064,0.040337496,-0.068192303,0.042446251,-0.03738387,-0.053017627,-0.063171104,0.115834132,0.028057272,-0.055942871,-0.016247158,0.053944839,-0.027552768
Haematopodidae,-9.080029024,-6.560421606,-5.719329815,-6.730533481,-0.047751302,0.067676267,0.119057597,-0.08793359,0.039385509,-0.054925385,0.026502604,-0.02520848,-0.059925209,-0.073903078,0.10191709,0.026591323,-0.075680279,-0.024314959,0.0654624,-0.054119823
Scolopacidae,-9.261617294,-6.384002688,-6.662021105,-6.761932304,-0.068287492,0.065884117,-0.007816177,0.042592083,0.048066056,-0.060571181,0.051738626,-0.004235271,-0.063941756,-0.053390009,0.013082283,0.076176114,-0.030726677,-0.012491365,0.037038118,-0.004756884
Pedionomidae,-8.722013172,-6.042921484,-5.979041435,-6.298643754,-0.053837986,0.066624688,0.042335554,0.015831697,0.03122344,-0.031959218,0.026402736,0.01262531,-0.0551633,-0.064621721,0.059550429,-0.006434525,-0.060114752,-0.017634183,0.05728729,-0.004010583
Thinocoridae,-8.588733023,-5.998609357,-5.884260574,-6.34848909,-0.052324389,0.064051001,0.033139293,0.010129726,0.02795305,-0.036368528,0.031200538,-0.000450711,-0.05251017,-0.059732324,0.045896578,-0.014378927,-0.060877091,-0.018971302,0.06830562,-0.000564612
Jacanidae,-8.677922059,-5.943054974,-6.140650152,-6.29682775,-0.049855179,0.062387951,0.041295554,-0.005246271,0.026258671,-0.034378068,0.028611784,-0.000751939,-0.048429427,-0.054164037,0.060199211,0.004726809,-0.065657802,-0.01738377,0.089792664,0.035134065
Rostratulidae,-8.950143102,-6.144770528,-6.226175176,-6.478779001,-0.05210953,0.067458244,0.048149557,-0.015140134,0.036823136,-0.043037937,0.02789322,-0.004767914,-0.053565016,-0.061380725,0.071956824,0.004680818,-0.056984649,-0.016203125,0.05681307,-0.019227968
Turnicidae,-8.087434894,-5.60299217,-6.41397486,-5.73352433,-0.040915939,0.037564184,-0.025121748,0.05491859,0.043126674,-0.02598393,0.037409532,-0.009345348,-0.060912644,-0.045585946,-0.038441843,0.019569779,-0.040760251,-0.014065814,0.047056617,0.029019072
Dromadidae,-9.36767349,-6.835102201,-6.019492302,-7.183433194,-0.052328287,0.068752817,0.094119091,-0.080507789,0.036320694,-0.048362598,0.036984047,-0.019936734,-0.053780018,-0.067481334,0.098890457,-0.001256414,-0.070386859,-0.01600685,0.081263309,-0.036388116
Glareolidae,-9.033772534,-6.457299558,-6.032056167,-6.587503081,-0.052200065,0.067758988,0.066817314,-0.050695646,0.030084665,-0.049525918,0.027348319,-0.026531024,-0.05833577,-0.069570013,0.085177443,-0.001843059,-0.027081976,-0.008574493,0.026775339,-0.00990313
Stercorariidae,-9.318905657,-6.832501197,-5.905542293,-7.123729947,-0.052194569,0.058936098,0.109419648,-0.053786715,0.04660389,-0.051786822,0.04467124,-0.03530135,-0.063992614,-0.069817417,0.067445959,0.119356918,-0.07004412,-0.019375267,0.078770792,-0.03772144
Alcidae,-9.231212307,-6.797820031,-5.830585857,-7.014336483,-0.050632194,0.055341515,0.097289289,-0.063547078,0.040985821,-0.059328889,0.037174391,-0.029318373,-0.059063315,-0.05954018,0.084882746,0.086067079,-0.025793672,-0.00774532,0.03194185,0.001508072
Laridae,-9.507091824,-6.781868425,-6.190609577,-7.021869627,-0.069387541,0.06442503,0.108091769,-0.057318304,0.050270791,-0.070947173,0.036177667,-0.038177139,-0.070257634,-0.057746383,0.0812961,0.158036025,-0.02953355,-0.010710008,0.033367708,-0.00765779
Caprimulgidae,-9.03040971,-6.519582055,-6.737100131,-6.638907474,-0.056057376,0.061059341,-0.042403961,0.054816337,0.071287362,-0.054340207,0.072186553,0.009586611,-0.058481899,-0.054051834,-0.031282591,0.032513049,-0.063163037,-0.015923863,0.067940101,-0.003500335
Steatornithidae,-9.066673437,-6.611825021,-6.629984808,-6.728054404,-0.050600033,0.064926251,-0.007423877,0.041241064,0.037553884,-0.038138193,0.034155744,-0.002816655,-0.057162358,-0.067960078,0.004221999,-0.00710239,-0.05035586,-0.013548212,0.048538776,-0.014876996
Nyctibiidae,-9.047960779,-6.783411359,-6.473652675,-6.973059566,-0.04649521,0.062874087,-0.017661873,0.03642566,0.039042703,-0.041449003,0.048348559,-0.005703645,-0.046992559,-0.059577377,-0.011752375,-0.005398111,-0.055703399,-0.010544885,0.070667085,0.013788182
Podargidae,-8.871310728,-6.406948539,-6.652692392,-6.690206165,-0.049128785,0.059661492,-0.038425291,0.028245811,0.054743925,-0.036457753,0.06209796,0.022655773,-0.061508352,-0.069523388,-0.032111463,0.014076092,-0.051135083,-0.011362516,0.054695635,-0.00150437
Aegothelidae,-8.919083598,-6.386103087,-6.674670035,-6.650811948,-0.051974522,0.070624113,-0.036376172,0.037833537,0.069579543,-0.051205995,0.068891246,0.040936347,-0.057000565,-0.074681565,-0.023314748,-0.013628108,-0.079278889,-0.020177991,0.090480183,0.016475929
Apodidae,-8.913236218,-6.422143934,-6.556924046,-6.620796328,-0.046418309,0.054511968,-0.017044964,0.05477843,0.061226313,-0.052418525,0.059428766,0.047153873,-0.0502157,-0.0519001,0.004588868,-0.001659629,-0.055654833,-0.020298559,0.033782321,-0.023828536
Trochilidae,-8.498484401,-6.037215252,-6.557367545,-6.155491764,-0.042205767,0.048194409,-0.022659966,0.050293182,0.048635416,-0.036083798,0.030867657,0.022858824,-0.044997737,-0.047455967,-0.001947347,-0.000709285,-0.044582948,-0.013745588,0.028693374,0.005990197
Phaethontidae,-9.212257293,-6.689368195,-6.676639379,-6.835528514,-0.042645501,0.070548138,0.010790392,0.00584193,0.032194652,-0.028565225,0.028906755,0.024058169,-0.049991466,-0.088286063,0.044343466,-0.10185857,-0.053655818,-0.016422668,0.05349456,-0.027472151
Eurypygidae,-8.843576276,-6.340806749,-5.982771064,-6.578859152,-0.037665026,0.058913915,0.035337985,0.000220197,0.019621448,-0.028722662,0.013909494,-0.000873805,-0.039333126,-0.064183112,0.05921626,-0.093566931,-0.05900111,-0.025097324,0.063445956,-0.031649517
Rhynochetidae,-8.91561786,-6.416937789,-6.01023608,-6.660488866,-0.039178492,0.061757891,0.039995154,-0.007060284,0.019934131,-0.030226241,0.012129864,0.005191959,-0.04008814,-0.067700196,0.070742319,-0.09047988,-0.067620803,-0.023663353,0.068891366,-0.03338178
Gaviidae,-9.537997278,-7.072128799,-6.648147661,-7.176167381,-0.044211521,0.084977751,0.0114728,-0.011328714,0.025708791,-0.044301531,0.009778202,-0.003883759,-0.052684691,-0.104629285,0.047047489,-0.128903255,-0.056632032,-0.013552758,0.063559595,-0.033576133
Spheniscidae,-9.635139379,-7.287903246,-6.559334594,-7.469227547,-0.059420419,0.089929865,0.034311546,-0.030578728,0.041618539,-0.070409675,0.035124792,-0.028220585,-0.055428646,-0.081414197,0.04072437,-0.009141126,-0.058112714,-0.015871549,0.066485445,-0.035162002
Diomedeidae,-9.777564867,-7.254176709,-6.724643699,-7.688392126,-0.045444555,0.077380821,0.065181409,-0.117292778,0.034951515,-0.063093045,0.040263534,-0.031092412,-0.045670055,-0.07040605,0.07538988,-0.024638438,-0.025119255,-0.006827049,0.029156388,-0.016688728
Oceanitidae,-9.558014752,-7.025664315,-6.628060622,-7.202883498,-0.061972469,0.086536128,0.040935905,-0.035647709,0.048731712,-0.065316912,0.043748225,-0.037116599,-0.060100986,-0.071573433,0.029036937,0.031126854,-0.026483521,-0.009451871,0.026985723,-0.01654149
Hydrobatidae,-9.57295517,-7.148928295,-6.446101687,-7.372464446,-0.052937246,0.077577091,0.060857243,-0.064125858,0.038001784,-0.056802493,0.036670814,-0.030597084,-0.053408772,-0.073741889,0.055419657,0.004433667,-0.06466221,-0.020433377,0.061446604,-0.059934519
Procellariidae,-9.468151046,-7.060629532,-6.451912415,-7.205590581,-0.051967914,0.070916094,0.063117775,-0.058846816,0.038852513,-0.064500692,0.033340542,-0.031932549,-0.05401196,-0.067653679,0.048814916,-0.01441136,-0.026103643,-0.008849532,0.024246869,-0.021919298
Ciconiidae,-9.633044063,-7.189031749,-6.65688773,-7.408198172,-0.062637977,0.090585853,0.014011837,-0.028258766,0.041199272,-0.059670051,0.032540208,-0.012390291,-0.063782858,-0.086331114,0.032564183,-0.031165061,-0.066308237,-0.01770441,0.085065301,-0.025664351
Threskiornithidae,-9.587688446,-7.003429322,-6.747289497,-7.226451017,-0.067113054,0.087174151,0.020952567,-0.025595917,0.047256711,-0.065593624,0.04751402,-0.017891247,-0.069038253,-0.079839149,0.04030071,0.018719763,-0.065379745,-0.02007609,0.083253128,-0.017382455
Ardeidae,-9.401868543,-6.769193778,-6.764429338,-6.984670476,-0.060050636,0.089341513,0.033291435,-0.048949381,0.037872918,-0.057867349,0.041564159,-0.026817485,-0.064036486,-0.084574064,0.071283429,-0.030591587,-0.076615931,-0.019133592,0.120753217,0.033310002
Balaenicipitidae,-9.125305612,-6.743699165,-6.1595102,-7.169831106,-0.039782706,0.06673089,0.048857122,-0.096183158,0.031431873,-0.045920494,0.026437187,-0.030526374,-0.037253614,-0.059219569,0.055193974,-0.05959069,-0.062452038,-0.01919618,0.073786242,-0.003727142
Pelecanidae,-8.962672509,-6.669680953,-6.008854391,-6.940593022,-0.030438267,0.062564247,0.034113472,-0.063242741,0.019234932,-0.026311911,0.010424164,-0.01343237,-0.032088963,-0.063812062,0.055472208,-0.121073857,-0.064655706,-0.019907665,0.074355311,-0.030301746
Scopidae,-9.013115638,-6.470535353,-6.239613024,-6.671215556,-0.031370144,0.063050458,0.037253321,-0.063773769,0.017283332,-0.029913206,0.006061285,-0.009680222,-0.032275166,-0.063816915,0.064228991,-0.115504692,-0.060726399,-0.0219451,0.059823962,-0.042951284
Fregatidae,-9.549471989,-7.006025597,-6.674999446,-7.383982718,-0.053374251,0.083092027,0.051216231,-0.079747414,0.042581435,-0.065005793,0.041285617,-0.022025705,-0.051852574,-0.075065988,0.061479083,-0.023941131,-0.06066406,-0.021250466,0.065059045,-0.049764211
Sulidae,-9.301921348,-6.630805375,-6.40894691,-6.93177324,-0.052407607,0.085412037,0.066300017,-0.076059217,0.041760187,-0.064144195,0.042117285,-0.033709581,-0.049431722,-0.076521282,0.075173374,-0.011363951,-0.062590638,-0.02045398,0.06089889,-0.058189464
Anhingidae,-9.191568862,-6.623454334,-6.203909787,-6.913052983,-0.058311578,0.088345052,0.060866552,-0.0407215,0.041427642,-0.058841432,0.044532422,-0.024127129,-0.056861897,-0.082861577,0.062913401,0.008927456,-0.070964675,-0.023317117,0.082950165,-0.032790844
Phalacrocoracidae,-8.996566554,-6.437985582,-6.171776402,-6.610748053,-0.05653895,0.085834878,0.070291941,-0.017507789,0.035739426,-0.053015563,0.033154063,-0.022978834,-0.061919533,-0.085136464,0.070736684,0.020976221,-0.060472186,-0.021037938,0.063536894,-0.029948874
Tytonidae,-9.178722683,-6.703606556,-6.522175194,-6.77935061,-0.040521356,0.067290373,0.027323587,0.002562999,0.015690071,-0.026384814,0.008296916,0.001897454,-0.042473377,-0.072963745,0.048867269,-0.104161779,-0.060342888,-0.02600632,0.049337453,-0.067972889
Strigidae,-9.434576252,-6.919608287,-6.58065143,-7.06562693,-0.043542537,0.069684889,0.025305734,-0.009665651,0.01925534,-0.030019657,0.004472266,0.002491204,-0.043453829,-0.070675228,0.050227,-0.108997722,-0.06819123,-0.025467045,0.057028263,-0.066347576
Cathartidae,-9.663274831,-7.327662366,-6.542905618,-7.545970963,-0.035170703,0.060362733,0.033896156,-0.046757011,0.021260133,-0.039971595,0.009589718,-0.009591696,-0.035904548,-0.059638788,0.054129536,-0.087166828,-0.062818188,-0.019586921,0.062154475,-0.045465836
Sagittariidae,-9.45996334,-6.903367665,-6.611430991,-7.104101869,-0.051589343,0.076627254,0.072077846,-0.068536508,0.029507445,-0.056563867,0.02630612,-0.031482772,-0.050672822,-0.067232059,0.07378296,-0.009094602,-0.062666538,-0.020682422,0.062078512,-0.052377232
Pandionidae,-9.073130252,-6.561900026,-6.13136529,-6.839633888,-0.043994279,0.071016791,0.083061124,-0.082321077,0.033234739,-0.051026995,0.035629991,-0.036792398,-0.048938945,-0.072713042,0.090821707,-0.007375122,-0.064277219,-0.020821537,0.061295276,-0.055403145
Accipitridae,-9.414186785,-6.717939697,-6.319548563,-7.108056619,-0.047670973,0.071674813,0.089592521,-0.1085124,0.034312677,-0.053202696,0.03838255,-0.036857145,-0.048363392,-0.067289543,0.095498253,-0.003497055,-0.031266157,-0.011605937,0.028527621,-0.031083065
