"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.000803936312004043,0.0249086038144418,-0.0495384806591415,0.0487012253232193
"mean_beak_size_pc1",0.00412338872022207,0.0532114985873923,-0.099067474533317,0.109011333768625
"mean_Tarsus_Length",-0.0476428356741015,0.0581349136239209,-0.159230021570684,0.0690157081266349
"mean_Wing_Length",-0.047194182391631,0.0622486177895596,-0.168989961873132,0.0760200076703433
"mean_Hand_Wing_Index",-0.0252700486978641,0.0300473446875791,-0.0823266240436453,0.0344574509441719
"mean_Tail_Length",-0.00921279118476583,0.0507495368618487,-0.108777582723431,0.0907317903272644
"mean_Mass",-0.0315426138565293,0.050101400833654,-0.130900073489344,0.0658016762293233
"mean_Habitat_Density",0.0773877676710665,0.0728113049119739,-0.0624709899607068,0.22183331171976
"mean_Migration",0.0937626023841558,0.0751072552915573,-0.0530577334932235,0.240813059443186
"mean_Brain_Mass_g",0.0252961898865712,0.0606706944641705,-0.0948368270898926,0.144353622109818
"mean_clutch_size",-0.04224416323492,0.0517569417474984,-0.144298855456154,0.0586457780312033
"mean_Maximum_longevity",0.268662070073276,0.127878120302396,0.0185706748286354,0.519896022341153
"mean_GenLength",-0.0796289859206626,0.136340974486636,-0.349100829815059,0.186841240825508
"mean_Range_Size",0.0282401427363911,0.0177677265630175,-0.00684471282759948,0.0629150918304472
"mean_Annualtemp",-0.000550393207765028,0.00395286051411564,-0.00823298817552614,0.00729148984562336
"mean_AnnualPrecipitation",-0.0447366202476816,0.051489387360052,-0.146098391692377,0.0580489473995488
"mean_Abundance_estimate_1_1_matched",-0.0038985401556794,0.0125395776806589,-0.0285405633939001,0.0207397383010524
"mean_Latitude_span",-0.0747164999322007,0.0529971007539544,-0.179072766468922,0.0290605154262174
"mean_Centroid_Latitude",-0.0429548772382344,0.0169391007421026,-0.0763485904886007,-0.00970368020072636
"mean_Centroid_Longitude",-2.72532034652245e-05,0.000259606988722153,-0.00052659038066394,0.000492096119222846
"mean_devmode",-0.00113069784032358,0.0193368795318623,-0.0391082797438549,0.0364380238683323
