"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.167415994693514,0.234321560510948,-0.620178270947975,0.293098659967524
"mean_beak_size_pc1",0.213015931942929,0.545566684049079,-0.867290902030732,1.28175862778641
"mean_Tarsus_Length",-0.560169658174224,0.56662694108048,-1.65703347333654,0.561931678727936
"mean_Wing_Length",0.450902977916023,0.628008856127734,-0.770994169916139,1.69078931483673
"mean_Hand_Wing_Index",-0.235567697518727,0.335729591500659,-0.887075576904501,0.425386185109621
"mean_Tail_Length",-0.293209729302604,0.480906562621961,-1.24445573269673,0.634862779213507
"mean_Mass",1.06190783501629,0.482951399397231,0.113850335588701,2.0109536608034
"mean_Habitat_Density",0.710937054174002,0.598749026593026,-0.452738966277826,1.90998096805997
"mean_Migration",-0.423795093989054,0.610257731165486,-1.61646787557227,0.762098404317434
"mean_Brain_Mass_g",-1.43491606279715,0.562341704298177,-2.51953161004074,-0.325523325224533
"mean_clutch_size",0.645546534215313,0.501686954406623,-0.338819969186979,1.62158833413134
"mean_Maximum_longevity",-0.760397388581332,1.07909218725924,-2.89444268669834,1.34230982839552
"mean_GenLength",0.0791822191904737,1.18076841053305,-2.2167997084012,2.40839668498208
"mean_Range_Size",-0.35573344250366,0.167918158964554,-0.686817072040106,-0.0296124186097604
"mean_Annualtemp",-0.0690333714891217,0.0348822675666132,-0.137061987042595,-3.42231699264632e-05
"mean_AnnualPrecipitation",0.584015404016739,0.453120758785269,-0.307846421022711,1.47590308107244
"mean_Abundance_estimate_1_1_matched",0.22250644032247,0.114098482360032,-0.000855084418170411,0.444911268309742
"mean_Latitude_span",-0.464003779524716,0.475027746695033,-1.40221410531133,0.467832765573035
"mean_Centroid_Latitude",-0.124437993327122,0.146886346084961,-0.413634901913722,0.158693558462213
"mean_Centroid_Longitude",0.00127082116554384,0.00218921234141356,-0.00305957362596522,0.00555139908723056
"mean_devmode",-0.0521447499865734,0.2233679815313,-0.490715936064194,0.385976063600292
