"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.15326759949276,0.190257974700827,-0.532952224023615,0.217177197561802
"mean_beak_size_pc1",-0.139782527892398,0.433561050690046,-0.987737860336183,0.705687367626793
"mean_Tarsus_Length",-0.278119197211689,0.469178959941624,-1.20646038286275,0.640917393683186
"mean_Wing_Length",-0.21932739740082,0.519003311300942,-1.24153895536802,0.790265348634118
"mean_Hand_Wing_Index",0.049818219949488,0.274542927524477,-0.483911156787843,0.597240250360235
"mean_Tail_Length",0.260180439806959,0.395401974598969,-0.516185816139344,1.0299867306383
"mean_Mass",-0.338802538737398,0.393645596176417,-1.11374196208695,0.430692815601756
"mean_Habitat_Density",-0.735258068762374,0.523744923139352,-1.78362141164461,0.287073891697931
"mean_Migration",-0.0452252437739445,0.507468877135978,-1.04000295269648,0.963237862688325
"mean_Brain_Mass_g",0.720760941075245,0.468382201759942,-0.195601567294945,1.64380519844787
"mean_clutch_size",-0.418305595186001,0.41544492036323,-1.24124190929419,0.395695489503916
"mean_Maximum_longevity",0.237102668110246,0.907453271966683,-1.53842944592685,2.02213089643304
"mean_GenLength",-0.464593075905275,0.970818561235708,-2.37028352704317,1.45420411665769
"mean_Range_Size",0.443059420812341,0.138420887322992,0.167579148846736,0.717468153694993
"mean_Annualtemp",0.0301959681866136,0.0285474027615294,-0.026065915704016,0.086271053146912
"mean_AnnualPrecipitation",-0.259467462828993,0.375267700762716,-1.00162573890431,0.478754135210242
"mean_Abundance_estimate_1_1_matched",-0.217065330655855,0.0921276798342931,-0.399656858858355,-0.0326388696021395
"mean_Latitude_span",-0.0914403696593074,0.394552578265999,-0.862878728479885,0.679621009741928
"mean_Centroid_Latitude",0.0153572802789483,0.121451701040136,-0.222332019275012,0.25292397756085
"mean_Centroid_Longitude",0.00365254424491631,0.00182307486843802,0.000121030249054501,0.00727388663879009
"mean_devmode",-0.063291261007919,0.182796640404892,-0.419408051362655,0.302036500272846
