"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.0483485022200429,0.0615109260683158,-0.0717127578546556,0.168601087846949
"mean_beak_size_pc1",0.0950721026971345,0.13792032023352,-0.174574617002027,0.363413907714603
"mean_Tarsus_Length",-0.0990244352413669,0.152602034318193,-0.394777165216364,0.204879326075541
"mean_Wing_Length",0.109886833435539,0.161826562964453,-0.203557629284207,0.431261321931338
"mean_Hand_Wing_Index",-0.040985507228136,0.0830567803210533,-0.202912373452984,0.122878966775385
"mean_Tail_Length",0.0561362996745287,0.127820393265377,-0.196054221033201,0.308440449759644
"mean_Mass",-0.236092283203075,0.130904040055301,-0.491325514495051,0.0209693968545052
"mean_Habitat_Density",0.00996760300967578,0.166454525571126,-0.329908754165255,0.330637819438244
"mean_Migration",-0.0870714538927286,0.173890622528901,-0.432355600132404,0.251058930777347
"mean_Brain_Mass_g",0.453556843507901,0.155185244137635,0.149751961562109,0.756525601760929
"mean_clutch_size",-0.144950602414586,0.132573595253384,-0.40617235979154,0.11533474448423
"mean_Maximum_longevity",-0.059787544656186,0.307514395585207,-0.666272445389384,0.537607547376304
"mean_GenLength",-0.129132795369427,0.331236830906146,-0.784272261208963,0.51769873616372
"mean_Range_Size",-0.0293363691039343,0.0450627405678265,-0.11703511831003,0.0591024655761113
"mean_Annualtemp",-0.00517013085039972,0.00943422102797717,-0.0236185442972894,0.0132426447666552
"mean_AnnualPrecipitation",0.0448296484632698,0.124411065120417,-0.198908714141546,0.288418304491227
"mean_Abundance_estimate_1_1_matched",-0.0211288877476846,0.0304564610840994,-0.0810132005268079,0.0390039940314453
"mean_Latitude_span",0.199563857140051,0.132710882084688,-0.056911748877818,0.458839052734064
"mean_Centroid_Latitude",0.00783417185573075,0.0403098079820137,-0.0709011140346456,0.085483538425542
"mean_Centroid_Longitude",0.000464586086226065,0.00061110168593385,-0.000740290806619933,0.00166581967752196
"mean_devmode",0.0629762911680662,0.0545324928821365,-0.0413992050506067,0.170897242388682
