"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0686947803750265,0.00975590803907117,-7.04135177370601,3.61695077255277e-11,-0.0878163601316059,-0.049573200618447
"mean.beak.size.pc1",0.00135254390749681,0.00432147986203594,0.312981652275848,0.754647153566676,-0.00711755662209363,0.00982264443708725
"mean.Tarsus.Length",-0.00562856250974541,0.00480279481342736,-1.17193482719883,0.242730247765183,-0.015042040344063,0.00378491532457221
"mean.Wing.Length",0.00713454687671571,0.00572684871212927,1.24580676657391,0.21441076311777,-0.00409007659905766,0.0183591703524891
"mean.Hand.Wing.Index",-0.00253703643269245,0.0031125392749112,-0.815101821571339,0.416062127824666,-0.00863761341151839,0.00356354054613349
"mean.Tail.Length",-0.00690815381131578,0.00432271258752481,-1.59810620563867,0.111725909809252,-0.0153806704828644,0.00156436286023284
"mean.Mass",0.0085898295112894,0.0110985503784533,0.773959590971961,0.439942609260489,-0.013163329230479,0.0303429882530578
"mean.Habitat.Density",0.00406816131949022,0.00354507740272385,1.1475521850001,0.252635310219528,-0.00288019038984853,0.011016513028829
"mean.Migration",0.00124757065918232,0.00276727231011529,0.45083046385498,0.652639692645646,-0.00417628306864365,0.00667142438700829
"mean.Brain.Mass..g.",-0.00709150114098429,0.00734637285232087,-0.965306455789803,0.335651495499953,-0.0214903919315332,0.00730738964956462
"mean.clutch.size",-0.000593203526274391,0.00284768819641488,-0.208310561184757,0.835215646583183,-0.00617467239124755,0.00498826533869877
"mean.Maximum.longevity",-0.00528512903265336,0.00648682996685333,-0.814747582356796,0.416264393388719,-0.0179993157676859,0.00742905770237916
"mean.GenLength",0.00771190461199024,0.00798805959958815,0.965429027643692,0.335590289538753,-0.00794469220320253,0.023368501427183
"mean.Range.Size",-0.00308008944288017,0.00368036133998563,-0.836898651612344,0.403729302433089,-0.010293597669252,0.00413341878349166
"mean.Annualtemp",0.00574161775316613,0.00256659988205108,2.23705213785709,0.0264767142203076,0.000711081984346009,0.0107721535219862
"mean.AnnualPrecipitation",-0.00377238854220536,0.00294584004376445,-1.28058159511766,0.201943842141103,-0.00954623502798368,0.00200145794357296
"mean.Abundance.estimate.1.1.matched",-0.000414107778939848,0.00296174306180035,-0.139818941177202,0.888955150488216,-0.00621912418006853,0.00539090862218883
"mode.HabitatForest",0.0116700693025875,0.00901118064346368,1.29506551519999,0.196911477538496,-0.00599184475860131,0.0293319833637763
"mode.HabitatGrassland",0.00325975408280725,0.00852320599910198,0.382456329596011,0.702561934031685,-0.0134457296754326,0.0199652378410471
"mode.HabitatHuman Modified",0.0226249395485337,0.0150117599390014,1.50714770556335,0.1334784949882,-0.00679810993190904,0.0520479890289764
"mode.HabitatMarine",0.00471984854332592,0.0086688970573391,0.544457791124662,0.586782137652839,-0.0122711896890587,0.0217108867757106
"mode.HabitatRiverine",0.0094371013822573,0.0120114459195141,0.785675716769917,0.433062591288558,-0.0141053326199903,0.0329795353845049
"mode.HabitatShrubland",0.00450987174084368,0.00921787975796951,0.489252611148955,0.625242431660267,-0.0135571725847766,0.0225769160664639
"mode.HabitatWetland",0.0103495905526672,0.00836047241514534,1.23791934698791,0.217314682463005,-0.0060369353810177,0.026736116486352
"mode.HabitatWoodland",0.0135694710847136,0.0094024778023824,1.44318033713149,0.150660785236855,-0.00485938540795588,0.0319983275773831
"mode.Primary.LifestyleAquatic",0.00465771600755028,0.00601541051502058,0.774297281277793,0.43974342778922,-0.00713248860189005,0.0164479206169906
"mode.Primary.LifestyleGeneralist",0.0114614490524528,0.00582017869252635,1.96926068046164,0.0504162532484381,5.38988151011464e-05,0.0228689992898044
"mode.Primary.LifestyleInsessorial",0.00485019856018988,0.00474643963316827,1.02186037009647,0.308181379385274,-0.00445282312081993,0.0141532202411997
"mode.Primary.LifestyleTerrestrial",0.00502646318400407,0.00511300158975676,0.983074833004932,0.32685452019185,-0.00499501993191917,0.0150479462999273
"mean.Latitude.span",0.00137574665816139,0.00378600983095374,0.363376409356767,0.716738606060962,-0.00604483261050794,0.00879632592683072
"mean.Centroid.Latitude",0.00276775550070147,0.00234412746163712,1.18071885850802,0.239230221978341,-0.00182673432410727,0.00736224532551022
"mean.Centroid.Longitude",-0.00232712536835629,0.00206684368799853,-1.12593196179718,0.261652807047808,-0.0063781389968334,0.00172388826012082
"mean.devmode",-0.00139664134805225,0.00349453289200421,-0.39966467371015,0.689864556214142,-0.00824592581638051,0.005452643120276
