"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0158575999008507,0.0155187789119116,-1.02183296706927,0.308194316226931,-0.0462744065681973,0.014559206766496
"mean.beak.size.pc1",0.0080789012394531,0.00656188609702571,1.23118583894881,0.219816241443809,-0.00478239551071729,0.0209401979896235
"mean.Tarsus.Length",0.00266796338332809,0.00738026098365338,0.361499869616724,0.718138329106281,-0.0117973481446325,0.0171332749112887
"mean.Wing.Length",0.015425525730528,0.0087374997344913,1.76543933611072,0.0791396797229737,-0.001699973749075,0.0325510252101309
"mean.Hand.Wing.Index",-0.0036351639160147,0.00500326746738092,-0.726557982301437,0.468415069386741,-0.0134415681520813,0.0061712403200519
"mean.Tail.Length",-0.0122002332675605,0.0064454082226421,-1.89285656488014,0.0599383467446241,-0.024833233383939,0.000432766848817996
"mean.Mass",0.0222845770088689,0.0166449350238672,1.33882030641243,0.182271992149301,-0.0103394956379108,0.0549086496556487
"mean.Habitat.Density",0.00131859525756316,0.00493839709499195,0.267008754500597,0.789759826502836,-0.00836066304862105,0.0109978535637474
"mean.Migration",-0.00231370180490117,0.00384911546226443,-0.601099610438814,0.548509431286359,-0.00985796811093946,0.00523056450113712
"mean.Brain.Mass..g.",-0.0332816659360557,0.0108231023116443,-3.07505786952127,0.00242351037816066,-0.0544949464668785,-0.0120683854052328
"mean.clutch.size",0.00833818101264062,0.00426984173285996,1.95280798079035,0.0523509989185261,-3.07087837648976e-05,0.0167070708090461
"mean.Maximum.longevity",-0.0258534604971821,0.00926725259716506,-2.78976538365761,0.00582703278388229,-0.0440172755876257,-0.00768964540673863
"mean.GenLength",0.0268733333299285,0.0115814946044793,2.32036833307637,0.0214118081489287,0.00417360390514912,0.0495730627547079
"mean.Range.Size",-0.00250464794422449,0.00543601815156227,-0.460750474776225,0.645518802632083,-0.0131592435212865,0.00814994763283756
"mean.Annualtemp",-0.000610559350704024,0.00368416634202146,-0.165725239856846,0.868554148956803,-0.00783152538106608,0.00661040667965803
"mean.AnnualPrecipitation",-0.00192877162241697,0.00420833474584763,-0.458321815848916,0.64725917553197,-0.0101771077242783,0.00631956447944438
"mean.Abundance.estimate.1.1.matched",0.00970837724385221,0.00431392890721626,2.25047223833759,0.0255963123810636,0.00125307658570835,0.0181636779019961
"mode.HabitatForest",0.0298539798945533,0.0130134225569644,2.29409133253545,0.0229087243047267,0.00434767168290314,0.0553602881062034
"mode.HabitatGrassland",0.0301537188999762,0.012259743452371,2.45957176976201,0.0148290486047744,0.00612462173332912,0.0541828160666233
"mode.HabitatHuman Modified",0.0243728048089494,0.023329363155959,1.04472653822631,0.29751254288164,-0.0213527469767302,0.070098356594629
"mode.HabitatMarine",-0.000597213424011354,0.0124345280905478,-0.0480286360417112,0.961745230529144,-0.024968888481485,0.0237744616334623
"mode.HabitatRiverine",0.0122231113990477,0.0172083249026128,0.710302221059983,0.478411167371842,-0.0215052054100735,0.0459514282081689
"mode.HabitatShrubland",0.0312669744484952,0.013262211815312,2.35759878396721,0.0194381184378963,0.00527303929048364,0.0572609096065068
"mode.HabitatWetland",0.0113104854523184,0.0122780089131948,0.92119866765721,0.358146432759713,-0.0127544120175434,0.0353753829221803
"mode.HabitatWoodland",0.0261243103642092,0.0135450352380994,1.92870006648095,0.0552987349269283,-0.000423958702465643,0.052672579430884
"mode.Primary.LifestyleAquatic",-0.0085419616119149,0.00883997416150553,-0.966288074586423,0.335161529834429,-0.0258683109684657,0.00878438774463593
"mode.Primary.LifestyleGeneralist",-0.00594126195693329,0.00839749633068878,-0.707503965821439,0.48014366783699,-0.0224003547650833,0.0105178308512167
"mode.Primary.LifestyleInsessorial",-0.00581073203613656,0.00697333918041512,-0.833278273980451,0.405762324555896,-0.0194784768297502,0.00785701275747707
"mode.Primary.LifestyleTerrestrial",-0.00692126760982121,0.00744389879968744,-0.929790664283591,0.353691122945685,-0.0215113092572086,0.00766877403756617
"mean.Latitude.span",-0.00619904914095119,0.00547998267156418,-1.13121692393632,0.259428079172716,-0.016939815177217,0.0045417168953146
"mean.Centroid.Latitude",0.00245021323063959,0.00331801341585326,0.738457903434813,0.46117201742868,-0.00405309306443281,0.00895351952571198
"mean.Centroid.Longitude",0.00466140857528365,0.00306101674736417,1.52283014436218,0.129508710593623,-0.00133818424955013,0.0106610014001174
"mean.devmode",-0.0185081410706256,0.00569871874609803,-3.24777233185939,0.00138120487981216,-0.0296776298129778,-0.0073386523282735
