"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0430189919453709,0.0252492846214301,-1.70377072421525,0.0901030119751553,-0.0925075898033738,0.00646960591263204
"mean.beak.size.pc1",0.0127285709639948,0.0117269760258159,1.08540948118031,0.279152684804714,-0.0102563020466043,0.0357134439745938
"mean.Tarsus.Length",-0.00133173231678048,0.0128722504422435,-0.103457613939057,0.917711853788145,-0.0265613431835777,0.0238978785500168
"mean.Wing.Length",-0.00194068110585258,0.0158522066305358,-0.122423404582318,0.902696590120419,-0.0330110061017027,0.0291296438899976
"mean.Hand.Wing.Index",0.00117504966523789,0.0079440541409984,0.147915616432368,0.882570454502471,-0.014395296451119,0.0167453957815947
"mean.Tail.Length",-0.0008646332585006,0.0120456714532759,-0.0717795817239775,0.942854862321639,-0.0244741493069214,0.0227448827899202
"mean.Mass",0.0124513159093323,0.0296558076386603,0.419860961503552,0.675074225245375,-0.0456740670624419,0.0705766988811065
"mean.Habitat.Density",0.00118108686337984,0.0104100470158022,0.113456438917806,0.90979172329834,-0.0192226052875924,0.0215847790143521
"mean.Migration",-0.00842787374597132,0.00810925834294287,-1.03929032589099,0.300026128222286,-0.0243220200981393,0.0074662726061967
"mean.Brain.Mass..g.",-0.0352828646073916,0.0204780880981248,-1.72295696933848,0.0865672647336597,-0.0754199172797162,0.00485418806493303
"mean.clutch.size",-0.000731322750910803,0.00763580949441102,-0.0957754055344218,0.923802617651656,-0.0156975093599564,0.0142348638581348
"mean.Maximum.longevity",-0.0348081248805835,0.0187017402279331,-1.86122384635595,0.0642991003095732,-0.0714635357273324,0.00184728596616551
"mean.GenLength",0.0447564532572166,0.0227723956389768,1.96538185822718,0.0508668539979678,0.000122557804822128,0.089390348709611
"mean.Range.Size",0.00279509562953997,0.0103108710330916,0.271082396489046,0.786629889694836,-0.0174142115953197,0.0230044028543996
"mean.Annualtemp",0.00229661855330431,0.0073773893464567,0.311305049178048,0.755919241765983,-0.0121630645657508,0.0167563016723594
"mean.AnnualPrecipitation",-0.00553551993950861,0.00851737571743338,-0.649909094438384,0.516557128260838,-0.022229576345678,0.0111585364666608
"mean.Abundance.estimate.1.1.matched",0.0145657174251496,0.00831266344095132,1.75223230539966,0.0813906649043795,-0.00172710291911495,0.0308585377694142
"mode.HabitatForest",0.0408139838530885,0.0254370731977287,1.60450785889679,0.110307912645841,-0.00904267961445965,0.0906706473206367
"mode.HabitatGrassland",0.0510467255502556,0.0243401243032645,2.09722534339766,0.0373326052219943,0.00334008191585709,0.0987533691846541
"mode.HabitatHuman Modified",0.0338054595082805,0.0414482963495553,0.815605525090375,0.415774620996724,-0.0474332013368478,0.115044120353409
"mode.HabitatMarine",0.0195715015283003,0.0247867288441812,0.789595983049407,0.430774594712713,-0.0290104870062948,0.0681534900628954
"mode.HabitatRiverine",0.0285565717283887,0.0343772444195324,0.830682395013706,0.407223827499113,-0.0388228273338947,0.0959359707906721
"mode.HabitatShrubland",0.0301506120622476,0.0261443837735359,1.15323475678042,0.250301853856825,-0.0210923801338828,0.081393604258378
"mode.HabitatWetland",0.03666409877497,0.0231674708408457,1.58256803372463,0.115228011145153,-0.00874414407308766,0.0820723416230277
"mode.HabitatWoodland",0.0422932443205949,0.0265977523610941,1.59010595130059,0.113518342391732,-0.00983835030714944,0.0944248389483393
"mode.Primary.LifestyleAquatic",-0.00151401116206128,0.0171930980887347,-0.0880592406468786,0.92992484000072,-0.0352124834159813,0.0321844610918588
"mode.Primary.LifestyleGeneralist",0.00962739213550702,0.0167554976655173,0.574581091394267,0.56627267716727,-0.0232133832889069,0.0424681675599209
"mode.Primary.LifestyleInsessorial",-0.0101794380258585,0.0134836480386165,-0.754946880599751,0.451240861922995,-0.0366073881815469,0.0162485121298299
"mode.Primary.LifestyleTerrestrial",-0.00657286762727681,0.0145869252624797,-0.450599938575366,0.652805554082649,-0.035163241141737,0.0220175058871834
"mean.Latitude.span",-0.0182724182317374,0.0107203938492461,-1.70445400501982,0.0899751112411638,-0.0392843901762598,0.00273955371278503
"mean.Centroid.Latitude",-0.00146302618339573,0.00680324946155262,-0.215048145987262,0.829966662443551,-0.0147973951280389,0.0118713427612474
"mean.Centroid.Longitude",0.0219100124663761,0.00545945065720662,4.01322657572777,8.6909421522866e-05,0.0112094891782511,0.032610535754501
"mean.devmode",0.0016615078373353,0.00888830370190134,0.186931938090715,0.851918838982441,-0.0157595674183913,0.0190825830930619
