"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.00444800863883262,0.0511501652427526,0.086959809762547,0.930797508382757,-0.0958063152369626,0.104702332514628
"mean.beak.size.pc1",0.0115747461409567,0.0203332976965982,0.569250807894931,0.569876438712194,-0.0282785173443758,0.0514280096262891
"mean.Tarsus.Length",-0.01184030434993,0.0234906580197068,-0.504043111095354,0.614830817661513,-0.0578819940685553,0.0342013853686953
"mean.Wing.Length",0.0213565204769666,0.027945333355063,0.764224931784446,0.44570684505701,-0.0334163328989568,0.07612937385289
"mean.Hand.Wing.Index",-0.0152225167992846,0.0164613772347518,-0.924741385984897,0.3563050895687,-0.0474868161793982,0.0170417825808289
"mean.Tail.Length",-0.0130647541139046,0.0198548480045451,-0.658013302892765,0.511347550165678,-0.051980256202813,0.0258507479750039
"mean.Mass",0.0953669125491841,0.0505702930496952,1.88582875039833,0.0608851873696868,-0.00375086182821853,0.194484686926587
"mean.Habitat.Density",0.0256295792727655,0.0139024927795481,1.84352401250437,0.0668522475828426,-0.0016193065751488,0.0528784651206797
"mean.Migration",-0.00565672352406029,0.010769792472894,-0.525239788816492,0.600045428171156,-0.0267655167709325,0.015452069722812
"mean.Brain.Mass..g.",-0.0796102295072763,0.0324655708592021,-2.45214322127687,0.0151286368778355,-0.143242748391312,-0.0159777106232402
"mean.clutch.size",0.00878245473198496,0.0129185352240334,0.679833632813591,0.497459601357294,-0.0165378743071205,0.0341027837710904
"mean.Maximum.longevity",-0.0180267678549006,0.0270191527283638,-0.667184794287673,0.505485429663149,-0.0709843072024937,0.0349307714926925
"mean.GenLength",-0.00161954267126936,0.0344484120304398,-0.0470135653811348,0.9625531283094,-0.0691384302509314,0.0658993449083927
"mean.Range.Size",-0.0376651591444531,0.0164773007645601,-2.28588163089579,0.023394827089136,-0.069960668642991,-0.00536964964591531
"mean.Annualtemp",-0.0290006911813159,0.0107822061797674,-2.68968063657835,0.00780612043310519,-0.05013381529366,-0.00786756706897175
"mean.AnnualPrecipitation",0.0252430423419017,0.0123526238727052,2.04353687135893,0.0424171254068357,0.00103189955139948,0.0494541851324039
"mean.Abundance.estimate.1.1.matched",0.0272096829439987,0.0129052882381481,2.10841342261281,0.0363415673322793,0.00191531799722837,0.0525040478907691
"mode.HabitatForest",0.0204112908324983,0.0385331066558265,0.529707895467909,0.596949585221235,-0.0551135982129216,0.0959361798779182
"mode.HabitatGrassland",0.0227738298046268,0.0363801320780844,0.625996347559878,0.532088901975246,-0.0485312290684187,0.0940788886776723
"mode.HabitatHuman Modified",0.0524333380938219,0.0775130727180934,0.6764450982935,0.499602934235961,-0.0994922844336411,0.204358960621285
"mode.HabitatMarine",-0.0465577184407701,0.0368683621715028,-1.2628095119657,0.208247005338564,-0.118819708296915,0.0257042714153753
"mode.HabitatRiverine",-0.00804343796872853,0.0499983276042909,-0.160874140279009,0.872368067841596,-0.106040160073139,0.0899532841356816
"mode.HabitatShrubland",0.0194367888160311,0.0390145955818457,0.498192753920932,0.618939926836851,-0.0570318185243864,0.0959053961564487
"mode.HabitatWetland",-0.0165219884742389,0.0366852185955758,-0.450371814773142,0.652969704706728,-0.0884250169215675,0.0553810399730897
"mode.HabitatWoodland",0.0317583874055932,0.0399087572742893,0.795774901917406,0.427182764403869,-0.0464627768520139,0.1099795516632
"mode.Primary.LifestyleAquatic",0.0175564941498048,0.027346491894237,0.642001695051228,0.521666794204182,-0.0360426299628997,0.0711556182625093
"mode.Primary.LifestyleGeneralist",-0.0252410916800644,0.0246493092126253,-1.02400807512837,0.30716858430356,-0.0735537377368101,0.0230715543766812
"mode.Primary.LifestyleInsessorial",-0.00054769088130017,0.0210442558483805,-0.0260256711021843,0.979264914661037,-0.041794432344126,0.0406990505815256
"mode.Primary.LifestyleTerrestrial",-0.00389160344716699,0.0221540246982464,-0.175661239895387,0.860752211187951,-0.0473134918557299,0.0395302849613959
"mean.Latitude.span",-0.00582136170270259,0.0160224919688237,-0.363324363902301,0.71677741419489,-0.037225445961597,0.0255827225561918
"mean.Centroid.Latitude",-0.00337413783816621,0.00959721497457439,-0.351574685688006,0.725557356981389,-0.022184679188332,0.0154364035119996
"mean.Centroid.Longitude",0.00245591744299927,0.00901200421396286,0.272516233314024,0.785529040930915,-0.0152076108163679,0.0201194457023665
"mean.devmode",-0.00963452554839569,0.0188485918433916,-0.511153598552434,0.609852996678721,-0.0465777655614433,0.0273087144646519
