"","Overall"
"mean.beak.size.pc1",100
"mean.Tarsus.Length",55.4511663142247
"mean.Wing.Length",82.6948258248035
"mean.Hand.Wing.Index",62.5584235466107
"mean.Tail.Length",79.9932846476148
"mean.Mass",81.2409233589329
"mean.Habitat.Density",46.8088595312283
"mean.Migration",35.2374916219362
"mean.Brain.Mass..g.",57.4995211439199
"mean.clutch.size",56.7047752718309
"mean.Maximum.longevity",68.2501128288319
"mean.GenLength",85.9434802460582
"mean.Range.Size",85.569918660379
"mean.Annualtemp",67.2050644542195
"mean.AnnualPrecipitation",63.8595073093313
"mean.Abundance.estimate.1.1.matched",62.3158999365581
"mode.HabitatForest",5.72916128734608
"mode.HabitatGrassland",2.01607511086532
"mode.HabitatHuman Modified",0.252950295733418
"mode.HabitatMarine",0.272783527609477
"mode.HabitatRiverine",0
"mode.HabitatShrubland",6.04937273906388
"mode.HabitatWetland",4.14062911430047
"mode.HabitatWoodland",7.5028051870114
"mode.Trophic.LevelHerbivore",6.11972415776478
"mode.Trophic.LevelOmnivore",10.1721214525796
"mode.Trophic.LevelScavenger",0.373381435784895
"mode.Primary.LifestyleAquatic",1.00643428644553
"mode.Primary.LifestyleGeneralist",4.30522423248648
"mode.Primary.LifestyleInsessorial",4.92585756007116
"mode.Primary.LifestyleTerrestrial",4.15899466474546
"mean.Latitude.span",90.7356220407884
"mean.Centroid.Latitude",52.2102582803035
"mean.Centroid.Longitude",72.969007095044
"mean.devmode",89.7244852550983
