"","Overall"
"mean.beak.size.pc1",68.6303086517101
"mean.Tarsus.Length",66.1958357382171
"mean.Wing.Length",66.903421226983
"mean.Hand.Wing.Index",83.3664294099245
"mean.Tail.Length",64.0027110273282
"mean.Mass",50.8875893529694
"mean.Habitat.Density",71.7829959352464
"mean.Migration",65.4892492166608
"mean.Brain.Mass..g.",51.8691480905918
"mean.clutch.size",58.2881000156534
"mean.Maximum.longevity",64.4376786515097
"mean.GenLength",62.3933934144425
"mean.Range.Size",75.590263237273
"mean.Annualtemp",72.3913752858979
"mean.AnnualPrecipitation",72.8835456375508
"mean.Abundance.estimate.1.1.matched",100
"mode.HabitatForest",16.1224681168674
"mode.HabitatGrassland",9.50942012920308
"mode.HabitatHuman Modified",0
"mode.HabitatMarine",7.82831832193731
"mode.HabitatRiverine",0.773050044910282
"mode.HabitatShrubland",8.46080854446573
"mode.HabitatWetland",13.1960821357276
"mode.HabitatWoodland",2.12517374586708
"mode.Trophic.LevelHerbivore",18.3942177834614
"mode.Trophic.LevelOmnivore",7.47178897985567
"mode.Trophic.LevelScavenger",0.0641898184647592
"mode.Primary.LifestyleAquatic",3.11433041010466
"mode.Primary.LifestyleGeneralist",2.62485739431514
"mode.Primary.LifestyleInsessorial",10.8842613030751
"mode.Primary.LifestyleTerrestrial",10.4486302464754
"mean.Latitude.span",79.2869275792199
"mean.Centroid.Latitude",74.9783517097029
"mean.Centroid.Longitude",58.3018736485389
"mean.devmode",71.3114899310747
