"","Overall"
"mean.beak.size.pc1",64.36268278986
"mean.Tarsus.Length",37.3923776527241
"mean.Wing.Length",55.6784316013743
"mean.Hand.Wing.Index",31.7812949811382
"mean.Tail.Length",28.9564352914249
"mean.Mass",54.3543382349537
"mean.Habitat.Density",17.3074765108837
"mean.Migration",20.4192639281923
"mean.Brain.Mass..g.",37.2869948899106
"mean.clutch.size",33.2152821115267
"mean.Maximum.longevity",41.3695964063353
"mean.GenLength",57.0053055876392
"mean.Range.Size",26.470801438472
"mean.Annualtemp",34.6665946103726
"mean.AnnualPrecipitation",22.6528907699432
"mean.Abundance.estimate.1.1.matched",34.147533293032
"mode.HabitatForest",3.70378342800551
"mode.HabitatGrassland",3.16630579388141
"mode.HabitatHuman Modified",0.00257266712070644
"mode.HabitatMarine",0.398412306691353
"mode.HabitatRiverine",0.291073551557177
"mode.HabitatShrubland",6.75285583073723
"mode.HabitatWetland",0.601354022190602
"mode.HabitatWoodland",2.00579418265631
"mode.Trophic.LevelHerbivore",3.75215081447229
"mode.Trophic.LevelOmnivore",2.66372181005199
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",0.199585381952283
"mode.Primary.LifestyleGeneralist",5.11806222739387
"mode.Primary.LifestyleInsessorial",3.96077026195222
"mode.Primary.LifestyleTerrestrial",3.41469738616452
"mean.Latitude.span",26.5355863225229
"mean.Centroid.Latitude",40.6430663098569
"mean.Centroid.Longitude",100
"mean.devmode",73.8590720215926
