"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.0527949272699955,0.0425749233268785,-0.0308748757667308,0.136786395981487
"mean_beak_size_pc1",-0.179572163940051,0.140850295796622,-0.450621391051013,0.0999285969730618
"mean_Tarsus_Length",-0.0723159012691279,0.155875252529665,-0.377753523909719,0.232362466864032
"mean_Wing_Length",-0.0474710026632052,0.165900558702263,-0.367091340121314,0.278170169418025
"mean_Hand_Wing_Index",-0.0706439611247929,0.0918154415059883,-0.252438821338284,0.10907002285041
"mean_Tail_Length",0.0357903471661264,0.119075945740825,-0.20022778393551,0.265518395290495
"mean_Mass",-0.0324759308660108,0.114605021028523,-0.256328995739106,0.193908965446504
"mean_Habitat_Density",0.0927951630171703,0.140098003370672,-0.182964510233635,0.370129884644462
"mean_Migration",0.267814010532147,0.128627581543449,0.0150001402833811,0.520477415506157
"mean_Brain_Mass_g",0.0175368634000333,0.152332819048998,-0.285438668488839,0.313963327985277
"mean_clutch_size",0.017109515687371,0.12057501457007,-0.221364062899386,0.251812880232928
"mean_Maximum_longevity",-0.228217224946437,0.261629489075479,-0.739252317858934,0.287740513112681
"mean_GenLength",0.243512397772673,0.314143983775914,-0.37852718323486,0.857864436292291
"mean_Range_Size",0.00762696823854298,0.0366619886784644,-0.0637247687126546,0.0796759662007335
"mean_Annualtemp",0.0139889961897054,0.00840870643649008,-0.00286176005156325,0.0305039098096119
"mean_AnnualPrecipitation",-0.0366146469729642,0.0981810042184268,-0.230479005275841,0.154078782953338
"mean_Abundance_estimate_1_1_matched",-0.0107049028478305,0.0215020397237817,-0.0528290038794716,0.0313233556488
"mean_Latitude_span",-0.0100749227583049,0.0839946729536509,-0.17407089179903,0.153102250817786
"mean_Centroid_Latitude",0.0643019588184343,0.0558023694371744,-0.0448757381349974,0.174537144058577
"mean_Centroid_Longitude",-0.00164199154508473,0.000580466121699869,-0.00278171325376094,-0.000485779531499183
"mean_devmode",0.0794451926973459,0.0614674185405447,-0.0415571755315954,0.20065906961527
