"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.072787719675547,0.0773547347537534,-0.0813064895954496,0.225714858811283
"mean_beak_size_pc1",0.0915708621186163,0.257258189673442,-0.422725751561772,0.587314005798925
"mean_Tarsus_Length",0.540120033059423,0.289118490050493,-0.0198790179183322,1.10199542124369
"mean_Wing_Length",-0.188936772197138,0.30199105177722,-0.778096495667721,0.403428152180092
"mean_Hand_Wing_Index",0.33404586794621,0.172326682771343,-0.00339742038735701,0.674780035616703
"mean_Tail_Length",-0.04422668311151,0.206216553657065,-0.447651985637245,0.361697208514836
"mean_Mass",0.14455072029751,0.204504169626002,-0.256497745729994,0.545483662073577
"mean_Habitat_Density",0.111665175926416,0.258935078284626,-0.408418070188481,0.607199167617876
"mean_Migration",-0.12176910869806,0.221042247284809,-0.556866024402859,0.317808750438066
"mean_Brain_Mass_g",-0.0715409833606608,0.263555246900372,-0.594755702959388,0.447091783679014
"mean_clutch_size",0.0151751294463317,0.211423310205598,-0.398709239791786,0.429073570421388
"mean_Maximum_longevity",-0.236403016998305,0.463905757918571,-1.1463879001874,0.682380433881893
"mean_GenLength",0.0144710736288056,0.561390404295633,-1.08315558669921,1.11291642184943
"mean_Range_Size",-0.0718076237204957,0.0626605072361417,-0.193794515796593,0.051439214920529
"mean_Annualtemp",-0.0256223294159734,0.0142989878489105,-0.0538419284471211,0.00235976304882757
"mean_AnnualPrecipitation",0.0743638398082167,0.168627423111085,-0.253374048536251,0.406956755633769
"mean_Abundance_estimate_1_1_matched",0.0174641966765282,0.0374132255604686,-0.055766830817755,0.091469626034137
"mean_Latitude_span",0.0674141613756353,0.140107108726203,-0.211352236069797,0.342558291062314
"mean_Centroid_Latitude",-0.0251466561400654,0.0968004674195736,-0.216510539431604,0.165069961507578
"mean_Centroid_Longitude",-0.00250685886282488,0.00102752280425903,-0.00450192087355058,-0.000490669832816579
"mean_devmode",0.161715547403821,0.117379617574385,-0.0683090547660235,0.388535287598855
