"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.114439316013594,0.0928140109159332,-0.295400170783843,0.0700831572912005
"mean_beak_size_pc1",-0.142840781394667,0.300108148830004,-0.733916642615544,0.441608717144463
"mean_Tarsus_Length",-1.04943904071906,0.349928553867807,-1.74617874857403,-0.369563546298689
"mean_Wing_Length",0.178179168547154,0.352477928191782,-0.510244442976601,0.872160367942441
"mean_Hand_Wing_Index",-0.512887841855028,0.205571826503612,-0.915428912599672,-0.111407665161407
"mean_Tail_Length",-0.0645023375787982,0.244710115853825,-0.546890859720894,0.420805012497873
"mean_Mass",0.0939291783315239,0.243515739749343,-0.387809689612211,0.569490502311274
"mean_Habitat_Density",-0.451305766711429,0.308914207344095,-1.06297628274983,0.148833788520859
"mean_Migration",0.0316395601763765,0.260083631473166,-0.476724280486733,0.541256619330666
"mean_Brain_Mass_g",-0.182240839730061,0.306902082778357,-0.78262785135918,0.417781207159463
"mean_clutch_size",0.332836739571464,0.251926692838258,-0.167569689853424,0.827881036184955
"mean_Maximum_longevity",0.358264792668017,0.538419627565129,-0.684784569281036,1.41406877392053
"mean_GenLength",-0.40458850395816,0.652009407496039,-1.68038653496027,0.876537076686067
"mean_Range_Size",-0.053667815644512,0.0757618201407216,-0.203194898296334,0.0918375868240494
"mean_Annualtemp",0.0120850735841442,0.0175235957973261,-0.0219824525745298,0.0466927301632298
"mean_AnnualPrecipitation",-0.194351851179779,0.202734029982479,-0.588672119655693,0.207823090989552
"mean_Abundance_estimate_1_1_matched",-0.0248837880833216,0.0451865788476702,-0.11246007725246,0.063300621391143
"mean_Latitude_span",0.133727895617459,0.165955356697536,-0.191679619861759,0.457068535164348
"mean_Centroid_Latitude",-0.0286041707905449,0.115322677070787,-0.255562617818276,0.195936559248193
"mean_Centroid_Longitude",0.000203061413117846,0.00120493507340555,-0.00216655114649816,0.00256154109716686
"mean_devmode",-0.237618892606906,0.142688708769313,-0.518137383131272,0.0417079997747378
