"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.00733881364114753,0.0346443016408727,-0.0755178108924205,0.060530050728437
"mean_beak_size_pc1",-0.0626518770980559,0.1157256107881,-0.284968778962278,0.169258401154026
"mean_Tarsus_Length",-0.159654128650638,0.132096864889287,-0.422671991666051,0.0976195561996803
"mean_Wing_Length",-0.0431735245468622,0.135461998566762,-0.307533705208583,0.227313785742412
"mean_Hand_Wing_Index",0.0632444062376513,0.0769612712748417,-0.0894838576201227,0.215103312693853
"mean_Tail_Length",0.0362483065565819,0.0974372598764157,-0.154950049417422,0.226284613093708
"mean_Mass",0.0573955028557806,0.0946318745124112,-0.129769506977253,0.244266224960783
"mean_Habitat_Density",-0.0895961216881246,0.110810903451268,-0.311338083778396,0.122230771587526
"mean_Migration",-0.0945930101402102,0.106598940695985,-0.30364058648648,0.116337186053786
"mean_Brain_Mass_g",-0.0606005301757018,0.125282262957308,-0.305440435628985,0.185653142246313
"mean_clutch_size",0.10199310864356,0.098522542378267,-0.0913049687453976,0.293988125558842
"mean_Maximum_longevity",-0.222065414182209,0.218273871002662,-0.651330014329248,0.205770401266483
"mean_GenLength",0.303044802687567,0.260964861763315,-0.207782163034957,0.817573768116979
"mean_Range_Size",0.00418011163391591,0.0296342022397468,-0.0540300937850552,0.0617928688508293
"mean_Annualtemp",-0.000858639391235204,0.00684136542676771,-0.0143856788086551,0.0126443710011709
"mean_AnnualPrecipitation",-0.167075587117691,0.0792037763805363,-0.321984370674792,-0.00832210816284738
"mean_Abundance_estimate_1_1_matched",-0.0205459910434327,0.0177931555066811,-0.0558395510443294,0.0141900612802198
"mean_Latitude_span",0.00453974190643637,0.0676975494562942,-0.128896699115524,0.13787989816929
"mean_Centroid_Latitude",0.00255690849265013,0.0455895635785493,-0.0881443278475294,0.0918692046594742
"mean_Centroid_Longitude",0.00081136013138268,0.000468897809768746,-0.000110696692551359,0.00173620376242977
"mean_devmode",-0.0158341416129844,0.0511211469716736,-0.116618118643096,0.0847345869514048
