"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.00210984818516651,0.00981479168554113,0.214966170731334,0.830033066641828,-0.0171271435184941,0.0213468398888271
"mean.beak.size.pc1",-0.00235401549046493,0.00334843784836667,-0.703019018738304,0.482937285972102,-0.0089169536732636,0.00420892269233373
"mean.Tarsus.Length",-0.00555947562933363,0.00418475330994347,-1.32850737369002,0.185664845645307,-0.0137615921168228,0.00264264085815557
"mean.Wing.Length",0.00357445285229722,0.00435343634979871,0.821064686626804,0.412677739061551,-0.00495828239330826,0.0121071880979027
"mean.Hand.Wing.Index",-0.00708425027084411,0.00279187859102248,-2.53744926216495,0.0120007856515223,-0.0125563323092482,-0.00161216823244005
"mean.Tail.Length",-0.00479164292901717,0.00302852627945202,-1.58216983670493,0.115337542856329,-0.0107275544367431,0.00114426857870878
"mean.Mass",-0.00291493059259411,0.00729109304807785,-0.399793360662511,0.689774964970215,-0.0172054729668267,0.0113756117816385
"mean.Habitat.Density",0.00272950910111719,0.00248027367181782,1.1004870680729,0.272565431586133,-0.00213182729564573,0.00759084549788012
"mean.Migration",0.000359913513072493,0.0017184948789985,0.209435313116698,0.834341392409135,-0.00300833644976457,0.00372816347590956
"mean.Brain.Mass..g.",0.00140738581857079,0.00514311478951297,0.273644644572294,0.784666324670765,-0.00867311916887463,0.0114878908060162
"mean.clutch.size",-0.00230601031107451,0.0021736527019602,-1.06089179241695,0.29013720565684,-0.00656636960691651,0.00195434898476749
"mean.Maximum.longevity",0.00794718572494447,0.00412051979282242,1.92868524470815,0.0553173452059498,-0.000129033068987469,0.0160234045188764
"mean.GenLength",-0.00662861659632215,0.00547871693072736,-1.209884847152,0.227883634176594,-0.0173669017805478,0.00410966858790347
"mean.Range.Size",-0.00140082860911466,0.00335802775059004,-0.417158139586106,0.677051701042601,-0.00798256300027114,0.00518090578204182
"mean.Annualtemp",-0.00162183642473539,0.00212330792178098,-0.763825353872852,0.445954995047789,-0.00578351995142611,0.00253984710195533
"mean.AnnualPrecipitation",0.00181599002325454,0.00212359044589293,0.85515077861021,0.393585870951985,-0.0023462472506956,0.00597822729720469
"mean.Abundance.estimate.1.1.matched",0.00311593021753349,0.00208935125249407,1.49133862188753,0.137594371607511,-0.000979198237354896,0.00721105867242187
"mode.HabitatDesert",0.000798433799211191,0.0109855063581091,0.072680655145388,0.942139618753521,-0.0207331586626826,0.0223300262611049
"mode.HabitatForest",-0.00400860923052275,0.0073895880859214,-0.542467209797517,0.58815669001205,-0.0184922018789287,0.0104749834178832
"mode.HabitatGrassland",0.00287464374175686,0.00716594998286832,0.40115319652374,0.688775350731588,-0.011170618224665,0.0169199057081788
"mode.HabitatHuman Modified",-0.00723419494549254,0.0078912092390676,-0.91674098687913,0.36048491687683,-0.022700965054065,0.00823257516307996
"mode.HabitatMarine",-0.00516896481864985,0.00789776637366803,-0.654484391420303,0.5136214883709,-0.0206485869110392,0.0103106572737395
"mode.HabitatRiverine",-0.0092783532387552,0.00868582009663383,-1.06821844518182,0.286829074899383,-0.0263025606281575,0.00774585415064711
"mode.HabitatRock",-0.0038203783710682,0.00881751940436819,-0.433271331297053,0.665327923603159,-0.0211027164036299,0.0134619596614935
"mode.HabitatShrubland",-0.00288070286580234,0.00721807013401828,-0.399095992739913,0.690287811497129,-0.0170281203284782,0.0112667145968735
"mode.HabitatWetland",0.000709746002145395,0.00708220420648245,0.100215410549127,0.920283015583032,-0.0131713742425602,0.014590866246851
"mode.HabitatWoodland",-0.00351555834040038,0.00727792966248675,-0.483043736808961,0.629642065469697,-0.0177803004788744,0.0107491837980737
"mode.Primary.LifestyleAquatic",-0.000385128217534822,0.00488983148722609,-0.0787610408540476,0.937308748234705,-0.00996919793249796,0.00919894149742832
"mode.Primary.LifestyleGeneralist",0.00322941415353914,0.00520030303602873,0.621004993586935,0.535369052320197,-0.00696317979707717,0.0134220081041555
"mode.Primary.LifestyleInsessorial",0.00622612546136345,0.00445257251032443,1.39832095871018,0.163708998473055,-0.00250091665887244,0.0149531675815993
"mode.Primary.LifestyleTerrestrial",0.00532281481612959,0.00455064895971942,1.16968258005508,0.243649901635262,-0.00359645714492048,0.0142420867771796
"mean.Latitude.span",-0.00193014410660675,0.00310631547394491,-0.621361263141616,0.535135186891613,-0.00801852243553877,0.00415823422232526
"mean.Centroid.Latitude",0.00185708632430199,0.00208835585966638,0.889257602197482,0.37503210149903,-0.00223609116064412,0.0059502638092481
"mean.Centroid.Longitude",-0.0012720674731731,0.00160479901558963,-0.792664664431962,0.428999638350656,-0.00441747354372879,0.00187333859738258
"mean.devmode",-0.00465288995859802,0.00311683168469056,-1.4928268284272,0.137204551716806,-0.0107618800605915,0.00145610014339549
