"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.0122023682805767,0.0408730549128994,0.29854309413818,0.765627410798802,-0.067908819348706,0.0923135559098595
"mean.beak.size.pc1",0.0129100590364546,0.0131960552753005,0.978327141491957,0.329204094050249,-0.0129542093031344,0.0387743273760436
"mean.Tarsus.Length",0.0029209771275312,0.0168514825970506,0.173336506785606,0.862578507896038,-0.0301079287626881,0.0359498830177505
"mean.Wing.Length",0.00585780201366993,0.0176398422980113,0.332077912869456,0.740210466740124,-0.0287162888904322,0.040431892917772
"mean.Hand.Wing.Index",-0.000458302706458733,0.0113647359724092,-0.040326735928699,0.967876600728017,-0.0227331852123808,0.0218165797994633
"mean.Tail.Length",0.0024649596433089,0.0118656972353234,0.207738289155979,0.83566432114968,-0.0207918069379249,0.0257217262245427
"mean.Mass",-0.0195878921969703,0.0287067549058224,-0.682344356275443,0.495884013220859,-0.0758531318123821,0.0366773474184416
"mean.Habitat.Density",0.00384166373786118,0.00928714482196873,0.413653906717781,0.679611943725264,-0.0143611401131975,0.0220444675889199
"mean.Migration",-0.0018907296453984,0.0065286710792779,-0.289604059147596,0.77244701527369,-0.0146869249607831,0.0109054656699863
"mean.Brain.Mass..g.",0.0192978424984227,0.0198444739010967,0.972454225524022,0.332108241375864,-0.0195973263477269,0.0581930113445723
"mean.clutch.size",-0.00984961177018179,0.00844562736495495,-1.16623802407535,0.245035855161659,-0.0264030414054935,0.00670381786512991
"mean.Maximum.longevity",0.0088026674750009,0.0159230312598401,0.5528261127768,0.581057140774236,-0.0224064737942858,0.0400118087442876
"mean.GenLength",-0.0187711813850511,0.0213247829965058,-0.880251929791117,0.379877364340953,-0.0605677560582025,0.0230253932881004
"mean.Range.Size",0.0188497207698175,0.0130393972429255,1.44559755475234,0.150000449629459,-0.00670749782631655,0.0444069393659515
"mean.Annualtemp",-0.00518847602016586,0.00822382041780197,-0.630908234442286,0.52888768618347,-0.0213071640390577,0.010930211998726
"mean.AnnualPrecipitation",0.0106605844030271,0.00824521732281341,1.29294159094275,0.197661172595433,-0.00550004154968719,0.0268212103557414
"mean.Abundance.estimate.1.1.matched",0.00834245451598078,0.00801552112951261,1.0407875397227,0.299347252844617,-0.00736796689786393,0.0240528759298255
"mode.HabitatDesert",-0.0108672057475432,0.0435614712768579,-0.249468289959169,0.803278360290628,-0.0962476894501848,0.0745132779550983
"mode.HabitatForest",0.00727199250918336,0.029775837507935,0.244224616931276,0.807330462031606,-0.0510886490063693,0.065632634024736
"mode.HabitatGrassland",-0.00469979354275098,0.0290485877234402,-0.161790775768371,0.871649108224775,-0.0616350254806938,0.0522354383951918
"mode.HabitatHuman Modified",-0.00872114978937791,0.0315437669642014,-0.276477752301285,0.782493151735624,-0.0705469330392126,0.0531046334604568
"mode.HabitatMarine",0.0289704373338744,0.0320444527203132,0.904070279705849,0.367146727035607,-0.0338366899979394,0.0917775646656882
"mode.HabitatRiverine",-0.0194527394950338,0.0344819951739143,-0.564141935433883,0.57334828374625,-0.0870374500359059,0.0481319710458382
"mode.HabitatRock",-0.0144972843013539,0.0350840178840873,-0.413216192890189,0.679932006350622,-0.0832619593541651,0.0542673907514573
"mode.HabitatShrubland",0.0115621688059129,0.0291350193236667,0.39684781662461,0.691942102482599,-0.0455424690684737,0.0686668066802996
"mode.HabitatWetland",0.00611117035391859,0.0287056514539734,0.212890843592845,0.831649070409483,-0.0501519064958693,0.0623742472037065
"mode.HabitatWoodland",0.0097777702903843,0.029412188287314,0.332439402157698,0.739937979404938,-0.0478701187527511,0.0674256593335197
"mode.Primary.LifestyleAquatic",-0.0309161471008477,0.0197339213867015,-1.56664995745254,0.118924081117024,-0.0695946330187827,0.0077623388170873
"mode.Primary.LifestyleGeneralist",-0.0382243187418189,0.0204481272417391,-1.86933102919052,0.0631743396278452,-0.0783026481356276,0.00185401065198973
"mode.Primary.LifestyleInsessorial",-0.02935807506596,0.0177426477249539,-1.65466144180216,0.0997072742278697,-0.0641336646068695,0.0054175144749496
"mode.Primary.LifestyleTerrestrial",-0.0227601473967418,0.0181986418972898,-1.25065087412547,0.212658579086492,-0.0584294855154297,0.0129091907219461
"mean.Latitude.span",-0.0215535155517768,0.0118107940600769,-1.82489978591976,0.0696466580562459,-0.0447026719095276,0.00159564080597402
"mean.Centroid.Latitude",0.00160848769515791,0.0080605761814467,0.199549965033544,0.84205411933,-0.0141902416204776,0.0174072170107935
"mean.Centroid.Longitude",0.00735334363593097,0.00630231498072639,1.16676866491421,0.244821983558331,-0.00499919372629275,0.0197058809981547
"mean.devmode",-0.00600140703503038,0.0128678059252608,-0.466389302876336,0.641491571170293,-0.0312223066485416,0.0192194925784808
