"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0271001213448542,0.0366630123795437,-0.739167885723836,0.460752107767024,-0.0989596256087599,0.0447593829190515
"mean.beak.size.pc1",-0.0109717107670865,0.0122273848112143,-0.897306409873012,0.370734395136059,-0.0349373849970666,0.0129939634628936
"mean.Tarsus.Length",-0.0506983018255626,0.015418565175858,-3.28813357451345,0.00120937989267051,-0.0809186895702442,-0.0204779140808809
"mean.Wing.Length",-0.00731409416172128,0.0160733176328425,-0.455045705485,0.649615739552747,-0.0388177967220925,0.0241896083986499
"mean.Hand.Wing.Index",-0.0177885147492377,0.0103366437093107,-1.72091785781634,0.0869558657546794,-0.0380483364194866,0.00247130692101129
"mean.Tail.Length",-0.00271861495890323,0.0110271385339775,-0.246538569414582,0.805541682038768,-0.0243318064854992,0.0188945765676927
"mean.Mass",0.0256787840102813,0.0266007938434592,0.965339010609843,0.335648992878527,-0.0264587719228987,0.0778163399434613
"mean.Habitat.Density",-0.00807474020120171,0.00886361956677184,-0.910998056761427,0.363494815584258,-0.0254474345520745,0.0092979541496711
"mean.Migration",-0.00273169713099902,0.00617595875675293,-0.442311427033434,0.658786167442112,-0.0148365762942348,0.00937318203223672
"mean.Brain.Mass..g.",-0.013074386841379,0.0186072364220208,-0.702650654016847,0.483166329616715,-0.0495445702285397,0.0233957965457817
"mean.clutch.size",0.00243718563450689,0.00788791099170628,0.30897732455012,0.757690257827433,-0.0130231199092374,0.0178974911782512
"mean.Maximum.longevity",0.0134853464846853,0.0149204152962119,0.9038184405034,0.367279914476255,-0.01575866749589,0.0427293604652606
"mean.GenLength",-0.00196829584472347,0.0198963580931123,-0.098927443681507,0.92130415918776,-0.0409651577072237,0.0370285660177767
"mean.Range.Size",-0.0127918976011094,0.0121818715819536,-1.05007654325133,0.295067658581441,-0.0366683659017384,0.0110845706995196
"mean.Annualtemp",0.00808571682755797,0.00769194637041621,1.05119256403766,0.294556284269816,-0.0069904980584578,0.0231619317135737
"mean.AnnualPrecipitation",-0.0150557224861505,0.00769964727386895,-1.95537820768057,0.0520611852980724,-0.0301470311429336,3.55861706326805e-05
"mean.Abundance.estimate.1.1.matched",-0.00224243507216009,0.00754160790088701,-0.297341774012985,0.766542848440314,-0.0170239865578986,0.0125391164135784
"mode.HabitatDesert",0.000788746139470788,0.0401418985506399,0.0196489495502004,0.984344822138441,-0.0778893750197834,0.079466867298725
"mode.HabitatForest",0.0203940616315814,0.0271988167531021,0.749814295846359,0.454329421414472,-0.0329156192044987,0.0737037424676616
"mode.HabitatGrassland",0.0389237467028494,0.0264441633187069,1.47192203563931,0.142759571342012,-0.012906813401816,0.0907543068075148
"mode.HabitatHuman Modified",0.0205713867762732,0.0289504969961782,0.710571109676939,0.47825463943571,-0.036171587336236,0.0773143608887824
"mode.HabitatMarine",-0.014994719038408,0.0291566473530087,-0.514281318316958,0.607675814961192,-0.0721417478503051,0.0421523097734891
"mode.HabitatRiverine",0.0148327170107199,0.0317695232611135,0.466885098929873,0.641137463089984,-0.0474355485810625,0.0771009826025023
"mode.HabitatRock",0.0519246554901735,0.0322733647066689,1.60890120884867,0.109361706706132,-0.0113311393348975,0.115180450315244
"mode.HabitatShrubland",0.0218766095399947,0.026585061832298,0.822891053554632,0.411640951697418,-0.0302301116513094,0.0739833307312988
"mode.HabitatWetland",0.0338169342104253,0.0261347585678563,1.29394477177293,0.197315142330956,-0.017407192582573,0.0850410610034237
"mode.HabitatWoodland",0.0133515109826081,0.0268202942503919,0.497813739773307,0.61921300702153,-0.03921626574816,0.0659192877133763
"mode.Primary.LifestyleAquatic",0.0148233581484141,0.0180164420071515,0.822768343634665,0.41171056248916,-0.0204888681856029,0.050135584482431
"mode.Primary.LifestyleGeneralist",0.0392438622331208,0.0189634289769451,2.06944969081445,0.0399089667017066,0.00207554143830837,0.0764121830279332
"mode.Primary.LifestyleInsessorial",0.0251372803427909,0.0163279147476346,1.53952790244894,0.125402795776396,-0.00686543256257287,0.0571399932481547
"mode.Primary.LifestyleTerrestrial",0.0295518046379682,0.016714241496282,1.7680613651862,0.0787169320679149,-0.00320810869474458,0.062311717970681
"mean.Latitude.span",0.0193127105380801,0.0111848224504508,1.72668905775091,0.0859110338598731,-0.00260954146480341,0.0412349625409635
"mean.Centroid.Latitude",-0.00413561827414555,0.00755802666190655,-0.547182281717742,0.58492016920965,-0.0189493505314824,0.0106781139831913
"mean.Centroid.Longitude",-0.0134785265646709,0.00584981795399577,-2.30409333600959,0.0223407050319602,-0.0249441697545026,-0.0020128833748392
"mean.devmode",-0.015051412574031,0.0116073522287563,-1.29671369295939,0.196362369901683,-0.0378018229423934,0.00769899779433136
