"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.00527519091076362,0.0115064516915189,0.458455052190575,0.647169524089212,-0.0172774544046134,0.0278278362261406
"mean.beak.size.pc1",-0.00428433002360767,0.00410129417700849,-1.0446288022023,0.297572483954203,-0.0123228666105443,0.00375420656332897
"mean.Tarsus.Length",-0.00814457560419988,0.00503801799079107,-1.61662296940726,0.107682222023356,-0.0180190908661504,0.00172993965775062
"mean.Wing.Length",0.00375648463687214,0.00523278752567214,0.717874482470914,0.473750109077632,-0.00649977891344525,0.0140127481871895
"mean.Hand.Wing.Index",-0.00192859301549266,0.00332256058303848,-0.580453829897953,0.56232268718015,-0.00844081175824808,0.00458362572726276
"mean.Tail.Length",-0.00415500512853031,0.00373938091191849,-1.11114786816371,0.267962447762364,-0.0114841917158905,0.00317418145882992
"mean.Mass",0.00587715207486804,0.00897030184909018,0.65517885281242,0.513175337379473,-0.0117046395493487,0.0234589436990848
"mean.Habitat.Density",0.00160790665685187,0.00317995688832235,0.505637879166392,0.613719377461609,-0.00462480884425993,0.00784062215796368
"mean.Migration",-0.000872205383666821,0.00218071207137552,-0.399963569292604,0.689649814813792,-0.00514640104356284,0.0034019902762292
"mean.Brain.Mass..g.",-0.00697901467162463,0.00643784450356026,-1.08406077030365,0.279764014708235,-0.0195971898986027,0.00563916055535348
"mean.clutch.size",0.00307406384419177,0.00269913230264546,1.1389081747415,0.256230135484491,-0.00221623546899334,0.00836436315737687
"mean.Maximum.longevity",0.000874023968104726,0.00514275107457087,0.169952610077994,0.865235141487665,-0.00920576813805417,0.0109538160742636
"mean.GenLength",0.00740216508123046,0.0067992555041925,1.08867288141565,0.277729794803032,-0.00592437570698684,0.0207287058694478
"mean.Range.Size",-0.00302875701788027,0.00417834678634756,-0.724869708703096,0.469457777296942,-0.0112183167191215,0.00516080268336095
"mean.Annualtemp",0.000404256959816436,0.00265207695940423,0.152430327627917,0.879015467971388,-0.00479381388061586,0.00560232780024874
"mean.AnnualPrecipitation",-0.000621060514206205,0.00264977818465654,-0.234382076885694,0.814950394583235,-0.00581462575613302,0.00457250472772061
"mean.Abundance.estimate.1.1.matched",-0.000554268378978391,0.00262643498216083,-0.211034494568901,0.833095170001686,-0.00570208094401362,0.00459354418605683
"mode.HabitatDesert",-0.0128925131944141,0.0135564472262882,-0.95102448150378,0.342846295441614,-0.0394631497579389,0.0136781233691108
"mode.HabitatForest",0.000472025574257678,0.00896773628904204,0.0526359784725673,0.9580793632901,-0.0171047375522647,0.0180487887007801
"mode.HabitatGrassland",0.0116308283583921,0.00864701793496909,1.34506814324466,0.180267739062644,-0.0053173267941473,0.0285789835109315
"mode.HabitatHuman Modified",-0.00417283689569239,0.00963165411329472,-0.433241979685769,0.665349205776848,-0.02305087895775,0.0147052051663653
"mode.HabitatMarine",0.00357743726738545,0.00951964321651723,0.375795309342933,0.707504336596547,-0.0150810634369883,0.0222359379717592
"mode.HabitatRiverine",-0.000625693764272863,0.0106734132339785,-0.0586217127133225,0.953317379599697,-0.0215455837028707,0.020294196174325
"mode.HabitatRock",0.00280618260360143,0.0108353390390113,0.258984291446544,0.795938444390614,-0.0184310819128608,0.0240434471200637
"mode.HabitatShrubland",0.00224691200653493,0.0087491544770441,0.256814759921126,0.797610279469328,-0.0149014307684715,0.0193952547815414
"mode.HabitatWetland",0.00111567697563446,0.00854359737029923,0.13058632415345,0.896246000060762,-0.015629773870152,0.017861127821421
"mode.HabitatWoodland",0.00180607449444599,0.00880968729226538,0.205010057057493,0.837792117840161,-0.0154609125983941,0.0190730615872861
"mode.Primary.LifestyleAquatic",-0.00153856494865166,0.00590963476371161,-0.26034856808737,0.794887619457698,-0.0131214490855264,0.0100443191882231
"mode.Primary.LifestyleGeneralist",0.0039618205838088,0.00640445062109429,0.618604282896613,0.536946299634924,-0.008590902633536,0.0165145438011536
"mode.Primary.LifestyleInsessorial",0.00259474929659813,0.00541948749459921,0.478781305277284,0.632665776246554,-0.00802744619281633,0.0132169447860126
"mode.Primary.LifestyleTerrestrial",0.00509751358658136,0.00551935293786731,0.923570868535733,0.356925935225611,-0.00572041817163857,0.0159154453448013
"mean.Latitude.span",0.0019652448831768,0.00390619809681566,0.503109375015789,0.61549236781949,-0.00569090338658191,0.0096213931529355
"mean.Centroid.Latitude",0.00191528668257875,0.00260923400582316,0.73404174493522,0.463862730417108,-0.00319881196883465,0.00702938533399215
"mean.Centroid.Longitude",-0.00118623068808528,0.00197505913989258,-0.600605148537373,0.548846115085322,-0.00505734660227474,0.00268488522610418
"mean.devmode",-0.000304480046892612,0.0036644172455114,-0.0830909873229021,0.933870010080819,-0.00748673784809495,0.00687777775430973
