"","Overall"
"mean.beak.size.pc1",54.7552114752941
"mean.Tarsus.Length",49.351579074741
"mean.Wing.Length",54.2571282585851
"mean.Hand.Wing.Index",65.8766826282244
"mean.Tail.Length",75.2223400114878
"mean.Mass",60.0746897416718
"mean.Habitat.Density",18.0174144240356
"mean.Migration",11.3584274633233
"mean.Brain.Mass..g.",49.3278227233794
"mean.clutch.size",39.078921129091
"mean.Maximum.longevity",50.5231469303776
"mean.GenLength",51.3294141859564
"mean.Range.Size",63.9169526643769
"mean.Annualtemp",53.0147517451926
"mean.AnnualPrecipitation",99.8234694765766
"mean.Abundance.estimate.1.1.matched",71.2444543848192
"mode.HabitatDesert",0.0231109125744416
"mode.HabitatForest",10.4642312258706
"mode.HabitatGrassland",3.69496821890528
"mode.HabitatHuman Modified",2.42168015959518
"mode.HabitatMarine",1.74953604720971
"mode.HabitatRiverine",0.0705776675880217
"mode.HabitatRock",0.496476740277016
"mode.HabitatShrubland",5.80348776267752
"mode.HabitatWetland",3.03949888857978
"mode.HabitatWoodland",4.88881157022694
"mode.Trophic.LevelHerbivore",5.96322506319493
"mode.Trophic.LevelOmnivore",10.7659670885791
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",4.33187418339873
"mode.Primary.LifestyleGeneralist",10.8218536131098
"mode.Primary.LifestyleInsessorial",6.61380843252179
"mode.Primary.LifestyleTerrestrial",6.26183225453129
"mean.Latitude.span",54.0281945211904
"mean.Centroid.Latitude",60.4213546507202
"mean.Centroid.Longitude",76.6411518362999
"mean.devmode",100
