"","Overall"
"mean.beak.size.pc1",79.3478888557767
"mean.Tarsus.Length",69.5773426169025
"mean.Wing.Length",100
"mean.Hand.Wing.Index",64.1982610584234
"mean.Tail.Length",78.5493465120202
"mean.Mass",81.1265137657637
"mean.Habitat.Density",18.6994893703056
"mean.Migration",22.1260737466888
"mean.Brain.Mass..g.",85.6621246155296
"mean.clutch.size",63.5969182898623
"mean.Maximum.longevity",81.1082116958586
"mean.GenLength",86.8465213529699
"mean.Range.Size",79.5590467861316
"mean.Annualtemp",83.5858262145141
"mean.AnnualPrecipitation",83.1350648435682
"mean.Abundance.estimate.1.1.matched",66.9429282138831
"mode.HabitatDesert",0
"mode.HabitatForest",10.2967401918867
"mode.HabitatGrassland",11.46913008487
"mode.HabitatHuman Modified",6.23818528677319
"mode.HabitatMarine",13.4206653683481
"mode.HabitatRiverine",15.1284030205621
"mode.HabitatRock",5.18441502612235
"mode.HabitatShrubland",9.78985644365535
"mode.HabitatWetland",16.4191781896891
"mode.HabitatWoodland",5.46680556675014
"mode.Trophic.LevelHerbivore",21.7984129032869
"mode.Trophic.LevelOmnivore",9.75537431611639
"mode.Trophic.LevelScavenger",0.867760652323061
"mode.Primary.LifestyleAquatic",4.96073973566053
"mode.Primary.LifestyleGeneralist",4.67939507623876
"mode.Primary.LifestyleInsessorial",10.7933446259713
"mode.Primary.LifestyleTerrestrial",12.4550756672122
"mean.Latitude.span",77.3488463268883
"mean.Centroid.Latitude",72.4794337039505
"mean.Centroid.Longitude",75.958338257024
"mean.devmode",67.4824261154567
