"","Overall"
"mean.beak.size.pc1",57.8749023231998
"mean.Tarsus.Length",42.4509265592326
"mean.Wing.Length",100
"mean.Hand.Wing.Index",67.8035275104682
"mean.Tail.Length",34.2306937079653
"mean.Mass",87.046698244561
"mean.Habitat.Density",8.17905668369216
"mean.Migration",3.84276080466866
"mean.Brain.Mass..g.",64.371369276847
"mean.clutch.size",18.1549253969114
"mean.Maximum.longevity",42.0657955070364
"mean.GenLength",52.8949068098359
"mean.Range.Size",24.417021216236
"mean.Annualtemp",34.2645760574665
"mean.AnnualPrecipitation",25.3387627542098
"mean.Abundance.estimate.1.1.matched",28.3075236016328
"mode.HabitatDesert",0
"mode.HabitatForest",4.07132253205774
"mode.HabitatGrassland",1.99054607750964
"mode.HabitatHuman Modified",1.16055286738242
"mode.HabitatMarine",1.59208415074776
"mode.HabitatRiverine",1.98515037160439
"mode.HabitatRock",0.0462607322737106
"mode.HabitatShrubland",2.89071649553254
"mode.HabitatWetland",3.24774046773658
"mode.HabitatWoodland",4.55880635319518
"mode.Trophic.LevelHerbivore",8.14760513019169
"mode.Trophic.LevelOmnivore",2.11085150807573
"mode.Trophic.LevelScavenger",0.0286174239646407
"mode.Primary.LifestyleAquatic",1.59083806277981
"mode.Primary.LifestyleGeneralist",1.30154090034635
"mode.Primary.LifestyleInsessorial",8.58083851812578
"mode.Primary.LifestyleTerrestrial",2.47176445495284
"mean.Latitude.span",21.0328275050647
"mean.Centroid.Latitude",28.9351288990464
"mean.Centroid.Longitude",28.8101378649984
"mean.devmode",97.8894844997781
