"","Overall"
"mean.beak.size.pc1",51.849074906891
"mean.Tarsus.Length",53.5129288569207
"mean.Wing.Length",53.8208030288868
"mean.Hand.Wing.Index",51.8619867305028
"mean.Tail.Length",52.368840235823
"mean.Mass",57.52744080407
"mean.Habitat.Density",10.8540093713948
"mean.Migration",14.3001053779564
"mean.Brain.Mass..g.",52.3471468603929
"mean.clutch.size",40.8065334907481
"mean.Maximum.longevity",54.8163100531093
"mean.GenLength",46.4166049828142
"mean.Range.Size",57.8504380763038
"mean.Annualtemp",63.3907760573168
"mean.AnnualPrecipitation",66.0168332019938
"mean.Abundance.estimate.1.1.matched",56.2692338707154
"mode.HabitatDesert",0
"mode.HabitatForest",4.75003288532062
"mode.HabitatGrassland",6.01097830169354
"mode.HabitatHuman Modified",4.39953039116453
"mode.HabitatMarine",2.95601728185097
"mode.HabitatRiverine",3.91926869874924
"mode.HabitatRock",0.682807619388213
"mode.HabitatShrubland",3.25958433997742
"mode.HabitatWetland",3.80159930490821
"mode.HabitatWoodland",3.05949692125284
"mode.Trophic.LevelHerbivore",5.60200051647025
"mode.Trophic.LevelOmnivore",4.4302318272041
"mode.Trophic.LevelScavenger",0.698839542594085
"mode.Primary.LifestyleAquatic",1.61418488194021
"mode.Primary.LifestyleGeneralist",1.88591944310271
"mode.Primary.LifestyleInsessorial",5.65027330949373
"mode.Primary.LifestyleTerrestrial",7.74095014055619
"mean.Latitude.span",63.823128107474
"mean.Centroid.Latitude",52.4817967341958
"mean.Centroid.Longitude",100
"mean.devmode",97.800228081166
