"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-6.48247770519989,0.94548818882213,-8.30930443100463,-4.64098777444285
"mean_beak_size_pc1",0.567056553627163,2.33142630799222,-4.02775394169739,5.10519974169321
"mean_Tarsus_Length",-1.21236528681178,2.42744523630083,-6.01750148612014,3.54806637098427
"mean_Wing_Length",-0.384729982341871,2.50968979390793,-5.31694605765079,4.49712287293931
"mean_Hand_Wing_Index",-0.465371305592746,1.5219163405938,-3.4504097823694,2.53780100822712
"mean_Tail_Length",-1.65100091684629,2.00461314628732,-5.50127898205316,2.33919297849629
"mean_Mass",0.685609277772429,2.02527372266885,-3.31366634923918,4.66521491068121
"mean_Habitat_Density",4.2272145979375,2.6991790369764,-1.05437387062455,9.57800170990516
"mean_Migration",-1.01614976303197,2.59077382202414,-6.05128272599955,4.04627824334887
"mean_Brain_Mass_g",0.208068446148571,2.36472114467264,-4.44679352055226,4.88102185271265
"mean_clutch_size",-1.20814688452315,2.08301610060267,-5.29180858621089,2.82395587532624
"mean_Maximum_longevity",-0.263825367306573,3.46704313246994,-7.09925527124624,6.49751652081342
"mean_GenLength",-1.55825508328054,3.60512359078147,-8.6179483086777,5.54885964284754
"mean_Range_Size",-0.471954054432638,0.791202955969801,-2.03256112098869,1.10069497525476
"mean_Annualtemp",0.231212408140435,0.162592688132911,-0.0874875103118377,0.549199642955721
"mean_AnnualPrecipitation",-0.541518709657694,2.0002995002498,-4.46428848836016,3.40830036720265
"mean_Abundance_estimate_1_1_matched",0.0740907668428586,0.541031202995359,-0.987584514193498,1.14778299075758
"mean_Latitude_span",2.31835162124543,2.07848004417681,-1.72276500899794,6.37416919176466
"mean_Centroid_Latitude",0.242646954816188,0.692220906082664,-1.12408661705135,1.58848246152599
"mean_Centroid_Longitude",-0.0230660974224201,0.0109494088523977,-0.0444045320095556,-0.00138212373710018
"mean_devmode",-0.246985556476804,1.07731323535911,-2.36917643807564,1.84277092420063
