"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-7.16811742034997,0.765078941219222,-8.71886228574198,-5.80752892611069
"mean_beak_size_pc1",1.1982190094315,1.76082955934818,-2.50921437893155,4.51850996473061
"mean_Tarsus_Length",-1.54084411774274,1.92235217226705,-5.57327454240086,1.9057484134487
"mean_Wing_Length",0.663944170225061,1.94767942364864,-3.38419705256724,4.51336170705146
"mean_Hand_Wing_Index",0.0203234746939885,1.16521724469713,-2.05964907649928,2.406851363988
"mean_Tail_Length",1.05503362375723,1.52837466797936,-2.01634725565784,4.23923894517868
"mean_Mass",-0.756805983217838,1.713121041141,-3.55996253057299,2.74689609851224
"mean_Habitat_Density",0.145528071158847,1.87094929147851,-3.77874601966625,3.74191748285274
"mean_Migration",-2.18839113055949,2.01031360799773,-6.37142545606823,1.55202624088486
"mean_Brain_Mass_g",-2.95123004119378,1.8255714270692,-6.72507810801668,0.511382856672505
"mean_clutch_size",7.43433930122673,1.57359469318852,4.20235069803833,10.4891013543555
"mean_Maximum_longevity",-2.98545667490818,3.31991475684005,-8.03429812506041,3.5482732134435
"mean_GenLength",-3.013411511661,3.34215253579149,-9.62019968915101,2.44437162636654
"mean_Range_Size",0.243081043449187,0.608383000179457,-1.01893887689951,1.32637297050497
"mean_Annualtemp",0.0926658575355286,0.134709474871798,-0.120332372357073,0.359661082667767
"mean_AnnualPrecipitation",0.326889460055517,1.5555375042044,-2.88406647614629,3.18563992090328
"mean_Abundance_estimate_1_1_matched",0.306448360957094,0.410204940524319,-0.416751233094972,1.1623752825213
"mean_Latitude_span",-3.09615603250309,1.55105303152264,-6.27403462500272,0.0739605954325251
"mean_Centroid_Latitude",0.406575354684385,0.522402850994416,-0.571378518711881,1.48882606766601
"mean_Centroid_Longitude",-0.00744683749384065,0.00782235444136016,-0.0238595427327143,0.00820819414109905
"mean_devmode",0.0955323131132925,0.99921221912598,-1.71730098746058,1.7543272763913
