"","Overall"
"mean.beak.size.pc1",40.9467589044116
"mean.Tarsus.Length",37.267926218464
"mean.Wing.Length",79.2820382379278
"mean.Hand.Wing.Index",31.0921969617143
"mean.Tail.Length",23.7254134773943
"mean.Mass",70.0926348470293
"mean.Habitat.Density",16.0164925067997
"mean.Migration",10.8294652978952
"mean.Brain.Mass..g.",71.7372934737276
"mean.clutch.size",30.0797263000976
"mean.Maximum.longevity",91.690092559894
"mean.GenLength",100
"mean.Range.Size",19.4480520184555
"mean.Annualtemp",8.57916585584379
"mean.AnnualPrecipitation",10.6985798904995
"mean.Abundance.estimate.1.1.matched",17.276519561318
"mode.HabitatForest",1.61953500005183
"mode.HabitatGrassland",0.424696342330537
"mode.HabitatHuman Modified",0.234623907177572
"mode.HabitatMarine",3.75676413690421
"mode.HabitatRiverine",0
"mode.HabitatShrubland",0.101295053171968
"mode.HabitatWetland",0.902577958268763
"mode.HabitatWoodland",0.230781513337504
"mode.Trophic.LevelHerbivore",2.49599937231308
"mode.Trophic.LevelOmnivore",0.892643338409841
"mode.Trophic.LevelScavenger",0.198122841473245
"mode.Primary.LifestyleAquatic",0.758463057595192
"mode.Primary.LifestyleGeneralist",0.105169476924569
"mode.Primary.LifestyleInsessorial",3.08506173246732
"mode.Primary.LifestyleTerrestrial",0.843852517425191
"mean.Latitude.span",16.9845083261063
"mean.Centroid.Latitude",8.61019287089202
"mean.Centroid.Longitude",18.9662626972611
"mean.devmode",34.6799032071541
