"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-6.85829760011225,0.56006491428168,-7.93522871873496,-5.74693238989166
"mean_beak_size_pc1",0.822146196836363,1.74838200706212,-2.62641621818003,4.14377557125051
"mean_Tarsus_Length",-3.46955357650653,2.04155894108127,-7.30980729324747,0.692432016910192
"mean_Wing_Length",1.94719952509269,2.02307640873029,-2.03356913213746,5.95542770833276
"mean_Hand_Wing_Index",-0.544920572779374,1.27630515957582,-3.11610232022481,1.90724721059696
"mean_Tail_Length",-0.423055752930562,1.41584516419469,-3.23877961469272,2.26228492911798
"mean_Mass",-1.32608829233132,1.41613234911937,-4.11423351911166,1.44076867062129
"mean_Habitat_Density",-1.35364470542195,1.81408942038194,-4.86734055669741,2.08855240645196
"mean_Migration",-1.41776580041444,1.52461064579752,-4.37335345601731,1.51127035962031
"mean_Brain_Mass_g",-3.44344911262827,1.76999467212428,-6.95552386769705,-0.0364271925486276
"mean_clutch_size",5.51364514492191,1.44120124321442,2.7139528034274,8.37008121720128
"mean_Maximum_longevity",2.61659404539394,2.55428578550178,-2.35687469416595,7.65798181122148
"mean_GenLength",-1.9008580766545,3.06559717817993,-8.18575506027716,3.95897404537268
"mean_Range_Size",-0.299207023703631,0.482191229176407,-1.26871141918196,0.632766516608167
"mean_Annualtemp",0.0694166085076452,0.106796251525016,-0.13653027258181,0.28421648466096
"mean_AnnualPrecipitation",-0.0807185524145143,1.22888901627438,-2.66226419958136,2.27392838462333
"mean_Abundance_estimate_1_1_matched",0.0817936806944506,0.283630939970088,-0.473776001260272,0.62885392822995
"mean_Latitude_span",-0.0339586241526428,1.07289240739303,-2.1595442758252,2.10886530465465
"mean_Centroid_Latitude",0.830450983486487,0.70838049280354,-0.566644006589222,2.21642902008682
"mean_Centroid_Longitude",-0.0126535491950693,0.00769106374679584,-0.02790888547743,0.00262686639085885
"mean_devmode",-1.30473801821338,0.872045324628652,-3.02411328744847,0.377001536661013
