"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-7.38095442665224,0.580426359643431,-8.51917992565546,-6.23273346401462
"mean_beak_size_pc1",0.325980711158302,1.74712794042972,-3.10253450740695,3.7972932846589
"mean_Tarsus_Length",-4.0937120443551,2.00569683514921,-8.05748219271066,-0.129717705285093
"mean_Wing_Length",1.93856453938115,1.99147141154549,-1.97571889788839,5.8452959855792
"mean_Hand_Wing_Index",-0.921531138898189,1.21327760429256,-3.27874458558637,1.48821874946503
"mean_Tail_Length",-0.802008298064546,1.43253748707565,-3.5481638587518,2.06283912982847
"mean_Mass",-0.720157693489536,1.3940468190034,-3.47164055258366,1.9947345314789
"mean_Habitat_Density",-1.85223769376847,1.85748085751344,-5.50483164752886,1.66509938852301
"mean_Migration",-0.841812564043796,1.54731050040949,-3.86728550496804,2.23473511997998
"mean_Brain_Mass_g",-3.15915653442172,1.74839977261196,-6.57275994289756,0.233120424806603
"mean_clutch_size",5.43629022975948,1.4487860909495,2.61065721282247,8.27551713968226
"mean_Maximum_longevity",4.04417609564704,2.68470410533975,-1.21185812948155,9.24163774853092
"mean_GenLength",-5.23644676454401,3.06764543901789,-11.2040059036346,0.923392819729816
"mean_Range_Size",-0.238366085833164,0.471591778794283,-1.17396997786687,0.689825276956016
"mean_Annualtemp",0.0681068093842551,0.10818795113021,-0.144334270328052,0.279383853654679
"mean_AnnualPrecipitation",-0.18554223127696,1.20071930040652,-2.51052354611494,2.16850221991993
"mean_Abundance_estimate_1_1_matched",0.125056550464615,0.291506705446741,-0.430947400455765,0.703922805653483
"mean_Latitude_span",-0.230606677976636,1.0187051311051,-2.1866167742743,1.81899076799501
"mean_Centroid_Latitude",0.212137039248874,0.708710516834579,-1.26954382396997,1.59453782726611
"mean_Centroid_Longitude",-0.018966749085602,0.00751137392851164,-0.0334317881173794,-0.0041164908593545
"mean_devmode",-0.75113770189727,0.867548576732166,-2.44377477782249,0.953238471484936
