"","Overall"
"mean.beak.size.pc1",39.9407293448975
"mean.Tarsus.Length",43.436836744023
"mean.Wing.Length",100
"mean.Hand.Wing.Index",34.7213687009884
"mean.Tail.Length",30.3189434569751
"mean.Mass",66.9949586368505
"mean.Habitat.Density",6.77826109883456
"mean.Migration",5.41361222439659
"mean.Brain.Mass..g.",71.2897061886333
"mean.clutch.size",30.6118712546264
"mean.Maximum.longevity",52.2219913081602
"mean.GenLength",97.0530461346801
"mean.Range.Size",14.0459491727405
"mean.Annualtemp",13.8462632973199
"mean.AnnualPrecipitation",19.4063079556902
"mean.Abundance.estimate.1.1.matched",19.5681661251339
"mode.HabitatDesert",0.0836853944500303
"mode.HabitatForest",2.42717287829656
"mode.HabitatGrassland",2.44750039682257
"mode.HabitatHuman Modified",0.858910786025945
"mode.HabitatMarine",10.8325216854406
"mode.HabitatRiverine",0
"mode.HabitatRock",0.0109117895844788
"mode.HabitatShrubland",2.49894465473863
"mode.HabitatWetland",0.947394046180264
"mode.HabitatWoodland",1.38558269421367
"mode.Trophic.LevelHerbivore",1.30977714575153
"mode.Trophic.LevelOmnivore",2.32978206998416
"mode.Trophic.LevelScavenger",0.994886823257526
"mode.Primary.LifestyleAquatic",3.42603147111334
"mode.Primary.LifestyleGeneralist",0.562027878656894
"mode.Primary.LifestyleInsessorial",3.94875417324526
"mode.Primary.LifestyleTerrestrial",1.5629107539147
"mean.Latitude.span",15.6301655464221
"mean.Centroid.Latitude",16.7869313774577
"mean.Centroid.Longitude",17.6984876335527
"mean.devmode",52.5141292530518
