"","Overall"
"mean.beak.size.pc1",40.7409231073193
"mean.Tarsus.Length",41.3578672872977
"mean.Wing.Length",71.5109643143355
"mean.Hand.Wing.Index",28.9192712518764
"mean.Tail.Length",25.9900178121018
"mean.Mass",61.6939561103955
"mean.Habitat.Density",5.81373318092902
"mean.Migration",5.21090759608825
"mean.Brain.Mass..g.",73.210342442726
"mean.clutch.size",23.668124088051
"mean.Maximum.longevity",49.1498894754676
"mean.GenLength",100
"mean.Range.Size",13.535630705688
"mean.Annualtemp",11.8447896790559
"mean.AnnualPrecipitation",17.3549866818941
"mean.Abundance.estimate.1.1.matched",16.496217300202
"mode.HabitatDesert",0.000169412081085693
"mode.HabitatForest",2.69141363808511
"mode.HabitatGrassland",1.35086293894523
"mode.HabitatHuman Modified",0.67550749349137
"mode.HabitatMarine",10.8831104164385
"mode.HabitatRiverine",0
"mode.HabitatRock",0.0948160899335309
"mode.HabitatShrubland",1.57562479229414
"mode.HabitatWetland",1.04194039684942
"mode.HabitatWoodland",0.909536216829782
"mode.Trophic.LevelHerbivore",1.84872529740849
"mode.Trophic.LevelOmnivore",2.28878079863236
"mode.Trophic.LevelScavenger",0.729941038444015
"mode.Primary.LifestyleAquatic",2.02262820407702
"mode.Primary.LifestyleGeneralist",0.700700833634679
"mode.Primary.LifestyleInsessorial",4.85649975710913
"mode.Primary.LifestyleTerrestrial",1.58281927117457
"mean.Latitude.span",14.2983865624235
"mean.Centroid.Latitude",15.7365618624675
"mean.Centroid.Longitude",14.9530234390129
"mean.devmode",42.7224226454857
