"","V1","V2"
"result.1","PC1.dn","0.0119652514276337"
"result.2","PC2.dn","0.0291584880216497"
"result.3","PC3.dn","0.0347108678819313"
"result.4","PC4.dn","0.0392398515145291"
"result.5","PC5.dn","0.0495847251373091"
"result.6","PC6.dn","0.0501274293698051"
"result.7","PC7.dn","0.0496928331777492"
"result.8","PC8.dn","0.049395657748071"
"result.9","PC1.ds","0.0108230535479704"
"result.10","PC2.ds","0.0153634301533404"
"result.11","PC3.ds","0.0222635525934759"
"result.12","PC4.ds","0.0190527284817254"
"result.13","PC5.ds","0.0160710297517765"
"result.14","PC6.ds","0.0131150859596049"
"result.15","PC7.ds","0.0145378842003424"
"result.16","PC8.ds","0.0151370452145986"
"result.17","PC9.ds","0.0153564000586269"
"result.18","PC10.ds","0.0116252255785855"
"result.19","PC1.dnds","0.0112795352985715"
"result.20","PC2.dnds","0.0313196812303736"
"result.21","PC3.dnds","0.0290050187993169"
"result.22","PC4.dnds","0.053393860385394"
"result.23","PC5.dnds","0.0553074984266754"
"result.24","PC6.dnds","0.0485024487976696"
"result.25","PC7.dnds","0.0501564598199234"
"result.26","PC1.ran","0.0164724305564702"
"result.27","PC2.ran","0.00578664313558178"
"result.28","PC3.ran","0.0318123535611004"
"result.29","PC4.ran","0.0322892033934414"
"result.30","PC5.ran","0.0361215580909862"
"result.31","PC6.ran","0.0140638323578807"
"result.32","PC7.ran","0.0352627186339609"
"result.33","PC8.ran","0.0159050323797999"
"result.34","PC9.ran","0.0234427382353146"
"result.35","PC10.ran","0.0133540466697674"
"result.36","PC11.ran","0.0102611472583091"
"result.37","PC12.ran","0.0107092160473473"
"result.38","PC13.ran","0.0129769211680158"
"result.39","PC14.ran","0.0161075503751548"
"result.40","PC15.ran","0.014772486111442"
"result.41","PC16.ran","0.0147763265225152"
