"","V1","V2"
"result.1","PC1.dn","0.0118790039346013"
"result.2","PC2.dn","0.0282822603724508"
"result.3","PC3.dn","0.0351339604926064"
"result.4","PC4.dn","0.0398276308474355"
"result.5","PC5.dn","0.0504876125350268"
"result.6","PC6.dn","0.0489924866531417"
"result.7","PC7.dn","0.0492860891939211"
"result.8","PC8.dn","0.0485349120812253"
"result.9","PC1.ds","0.0107500442054037"
"result.10","PC2.ds","0.0155519846484035"
"result.11","PC3.ds","0.0227082034542238"
"result.12","PC4.ds","0.0182880244502043"
"result.13","PC5.ds","0.01603027020551"
"result.14","PC6.ds","0.0131631363974426"
"result.15","PC7.ds","0.014492654702857"
"result.16","PC8.ds","0.0154774932828328"
"result.17","PC9.ds","0.0153134708012104"
"result.18","PC10.ds","0.0116288001272589"
"result.19","PC1.dnds","0.0114386289491161"
"result.20","PC2.dnds","0.030937398010473"
"result.21","PC3.dnds","0.0294124877881427"
"result.22","PC4.dnds","0.0537938671970735"
"result.23","PC5.dnds","0.0576675669746664"
"result.24","PC6.dnds","0.0486814534416622"
"result.25","PC7.dnds","0.0513467740271972"
"result.26","PC1.ran","0.0160687590002394"
"result.27","PC2.ran","0.0058401626264546"
"result.28","PC3.ran","0.0310782586491042"
"result.29","PC4.ran","0.0322918982469561"
"result.30","PC5.ran","0.0365813134487348"
"result.31","PC6.ran","0.0138087956402988"
"result.32","PC7.ran","0.0352830400621441"
"result.33","PC8.ran","0.0158975332408988"
"result.34","PC9.ran","0.0228923690336948"
"result.35","PC10.ran","0.0136544455403059"
"result.36","PC11.ran","0.0104115464418457"
"result.37","PC12.ran","0.0109516023635434"
"result.38","PC13.ran","0.013071613080886"
"result.39","PC14.ran","0.0162608058431194"
"result.40","PC15.ran","0.0144633609983349"
"result.41","PC16.ran","0.0150430112828848"
