"","V1","V2"
"result.1","PC1.dn","0.0117238028534349"
"result.2","PC2.dn","0.0306252282414916"
"result.3","PC3.dn","0.0344915067635599"
"result.4","PC4.dn","0.0409871459373317"
"result.5","PC5.dn","0.048975447128276"
"result.6","PC6.dn","0.0488318983084864"
"result.7","PC7.dn","0.0492864296210712"
"result.8","PC8.dn","0.0491827127172802"
"result.9","PC1.ds","0.0107067079130176"
"result.10","PC2.ds","0.0155468036958966"
"result.11","PC3.ds","0.0235899994018499"
"result.12","PC4.ds","0.0186725716952835"
"result.13","PC5.ds","0.0168375167446216"
"result.14","PC6.ds","0.0128395277305784"
"result.15","PC7.ds","0.0153638149170304"
"result.16","PC8.ds","0.0151186646967572"
"result.17","PC9.ds","0.0152315996872865"
"result.18","PC10.ds","0.0120118911897602"
"result.19","PC1.dnds","0.0116613411229297"
"result.20","PC2.dnds","0.0329594356798115"
"result.21","PC3.dnds","0.0287913483511085"
"result.22","PC4.dnds","0.055091454920471"
"result.23","PC5.dnds","0.0575954384395257"
"result.24","PC6.dnds","0.0474953197314653"
"result.25","PC7.dnds","0.0514205772962574"
"result.26","PC1.ran","0.0160278285280881"
"result.27","PC2.ran","0.00588292832222934"
"result.28","PC3.ran","0.0321693662189046"
"result.29","PC4.ran","0.0332044233731593"
"result.30","PC5.ran","0.0370680414391366"
"result.31","PC6.ran","0.0154943619455796"
"result.32","PC7.ran","0.0348747544987631"
"result.33","PC8.ran","0.0166803138953281"
"result.34","PC9.ran","0.0239091263343545"
"result.35","PC10.ran","0.013176226747244"
"result.36","PC11.ran","0.0104758550569435"
"result.37","PC12.ran","0.0111526000735011"
"result.38","PC13.ran","0.0136389467095353"
"result.39","PC14.ran","0.0165792892605743"
"result.40","PC15.ran","0.0147700867440717"
"result.41","PC16.ran","0.0159379476092678"
