"","mean.beak.size.pc1","mean.Tarsus.Length","mean.Wing.Length","mean.Hand.Wing.Index","mean.Tail.Length","mean.Mass","mean.Habitat.Density","mean.Migration","mean.Brain.Mass..g.","mean.clutch.size","mean.Maximum.longevity","mean.GenLength","mean.Range.Size","mean.Annualtemp","mean.AnnualPrecipitation","mean.Abundance.estimate.1.1.matched","mode.Habitat","mode.Trophic.Level","mode.Primary.Lifestyle","mean.Latitude.span","mean.Centroid.Latitude","mean.Centroid.Longitude","mean.devmode"
"Struthionidae",4.49814161322957,6.16110183089905,6.30032697382473,-2.30258509299405,5.70528135077994,11.6172854802945,1.09861228866811,0,3.73574135347038,2.21920348405499,3.91202300542815,2.67612164386129,15.3918399586661,24.91945337,5.92893169460503,13.7505997008516,"Shrubland","Herbivore","Terrestrial",3.53529111614285,1.39624469197306,31.26,2.301570989
"Casuariidae",4.4664826662142,5.7312355014375,5.42340697738686,-2.30258509299405,5.87549237085556,10.5914161398946,0.405465108108164,0,3.42402679616185,1.7227665977411,3.42255155795142,2.39907185217549,14.0764932438761,23.67518898,7.77055880803168,13.2059689612591,"Forest","Herbivore","Terrestrial",2.73809432245059,2.38093405940502,139.525,2.332707179
"Apterygidae",4.86506987742742,4.24706564923976,-2.30258509299405,-2.30258509299405,-2.30258509299405,7.58334930029449,0.182321556793955,0,2.30799708869027,0.425921116675547,3.28658452330445,2.22454851270899,9.35075583988744,10.76309572,7.83903429798827,6.37910507030359,"Forest","Carnivore","Terrestrial",1.24990173621434,3.72660867092394,172.034,2.332707179
"Rheidae",4.35863005686749,5.70578047731887,6.4212156810963,-2.30258509299405,4.09767235231478,10.0626257738744,1.09861228866811,0,2.96423335049459,2.99322914333587,3.68271025970602,2.33274060939929,15.1535163769564,15.44591792,6.56578533236987,13.8797826373594,"Grassland","Omnivore","Terrestrial",3.60888882841744,3.38167471517329,-61.045,2.332707179
"Tinamidae",3.41016415208061,3.84242204630767,5.13970818050339,3.15980318972218,4.06746160935356,6.27770275856898,0.440311839205456,0,0.897241101140891,1.57833416738277,2.68916823550695,1.58817606769381,14.4633737504543,20.80115528,7.40864231761998,13.2559817329725,"Forest","Herbivore","Terrestrial",2.94183761439124,2.4401614853154,-64.87148936,2.33160305878723
"Anhimidae",3.84088497766639,4.78526704748154,6.25568606024402,3.53611669946444,5.38342415333166,8.12243060644121,1.09861228866811,0,2.17157851035263,1.37792611153341,3.18856201341092,2.02315873548654,15.4182641123711,24.60861967,7.38315173078553,14.1643872071891,"Wetland","Herbivore","Terrestrial",3.17847041035811,2.03296120784094,-63.79666667,1.438408071
"Anseranatidae",4.4496852831477,4.46590811865458,6.00536745227697,3.55248682920838,4.99788772127375,7.78047022813942,1.09861228866811,0.693147180559945,2.21011886532145,2.12823170584927,3.21084365317094,2.0973131374744,12.3165106389532,24.76873692,6.97288822934914,16.4777900118662,"Wetland","Herbivore","Terrestrial",3.34215484102837,3.02188723103084,137.43,1.428029341
"Anatidae",3.8905555092145,3.82946854387358,5.57558002216552,3.81840687371375,4.51797345458503,7.28818618948308,1.09861228866811,0.743472264232737,1.84754492853415,2.03868945526283,2.98870066614545,1.65781415628367,15.663498143625,11.10719062,6.76507777856523,16.5355196443603,"Wetland","Herbivore","Aquatic",3.46084446582862,2.67583305346948,12.17607843,2.31465530407051
"Megapodiidae",3.37479118056727,4.24335216895034,5.46769567134856,3.17178421733435,4.61255196449755,6.89229086442869,0.342944751062314,0,1.46806787777134,2.18380155700408,2.65194981253255,1.74818481739826,12.1743259910845,24.57891602,7.78084305785264,12.4536072490432,"Forest","Herbivore","Terrestrial",2.14546333722183,1.7302386125798,119.677,2.332707179
"Cracidae",3.65968379337853,4.34265307959087,5.69371308003522,2.46569818529214,5.66299978769673,7.31412815094799,0,0,1.75072018912383,0.8690378471849,2.94631437477541,1.87178402827537,13.742733892198,23.15843966,7.5263031874126,12.9715818105369,"Forest","Herbivore","Insessorial",2.5088319793115,0.255080911281061,-68.89471698,1.5278379818
"Numididae",3.44148590046954,4.33401741548752,5.51423487277051,2.93562834930729,5.03651960803574,6.93391023645899,0.287682072201781,0,1.52227961556136,2.27006190128849,2.55789377992578,1.33471241165442,14.9917072459096,24.5238568,7.22367118964768,15.4332550748355,"Forest","Herbivore","Terrestrial",3.13831631700978,-0.383214498684347,19.55166667,1.294834166
"Odontophoridae",2.88106936504694,3.62708464023351,4.85689530414659,3.05542954928263,4.20870986734475,5.58685134877162,0.353640040073366,0,0.388119992215681,2.00012773496011,2.55735534270615,1.36334241714276,13.6412930819403,20.33371565,7.43266297056476,13.6595016932303,"Forest","Herbivore","Terrestrial",2.43100579199337,2.52059046645213,-79.915,2.30640426405882
