"","mean.beak.size.pc1","mean.Tarsus.Length","mean.Wing.Length","mean.Hand.Wing.Index","mean.Tail.Length","mean.Mass","mean.Habitat.Density","mean.Migration","mean.Brain.Mass..g.","mean.clutch.size","mean.Maximum.longevity","mean.GenLength","mean.Range.Size","mean.Annualtemp","mean.AnnualPrecipitation","mean.Abundance.estimate.1.1.matched","mode.Habitat","mode.Trophic.Level","mode.Primary.Lifestyle","mean.Latitude.span","mean.Centroid.Latitude","mean.Centroid.Longitude","mean.devmode"
"Struthionidae",4.50534985070588,6.17628298410052,6.361302477573,-2.30258509299405,5.73398831671327,11.6172854802945,1.09861228866811,0,3.73574135347038,2.34180580614733,3.91202300542815,2.67995448359668,15.9667283176924,24.25829985,6.00422840588087,14.2031741552065,"Shrubland","Herbivore","Terrestrial",3.97743614397638,0.936093359170335,19.29,2.301570989
"Casuariidae",4.40060302024682,5.9475126595788,4.82430571590476,-2.30258509299405,6.06378520868761,10.4368561630283,1.09861228866811,0,3.39851645786192,2.18605127673809,3.40119738166216,2.03225385877618,15.2580317553905,21.27612439,6.14370082649666,14.5708467830519,"Grassland","Herbivore","Terrestrial",3.33291854090886,3.33541364111615,136.6,2.332707179
"Apterygidae",5.05624580534831,4.43081679884331,-2.30258509299405,-2.30258509299405,-2.30258509299405,7.56216163122565,0,0,2.42480272571829,0.693147180559945,3.18841661738349,2.30593359649346,5.47813579312387,11.80588235,8.35759042108426,1.94591014905531,"Forest","Carnivore","Terrestrial",-1.60943791243412,3.76699723337789,170.19,1.6577090516958
"Rheidae",4.24563400976833,5.6808549700125,6.4377516497364,-2.30258509299405,4.06731588983418,10.0816337379196,1.09861228866811,0,2.95491027903374,2.85070650150373,3.38466085995155,2.22518826555686,13.8973861694582,9.135526977,5.5444157982507,13.7210141469603,"Grassland","Herbivore","Terrestrial",3.61979729292649,3.6235406128056,-68.64,2.332707179
"Tinamidae",3.25809653802148,3.54673968695281,5.08450514266271,3.29212628660779,3.92592591059714,6.12686918411419,0.693147180559945,0,0.897241101140891,1.84054963339749,2.68685119287982,1.42273345988961,11.683432673042,12.59914731,6.8317637118382,13.4942027578628,"Shrubland","Herbivore","Terrestrial",2.5922651681085,3.56755891887738,-72.13,2.322328449
"Anhimidae",3.85651029549789,4.81624115606803,6.24804287450843,3.56388296393925,5.32007885832955,8.38935981990635,1.09861228866811,0,2.19722457733622,1.3609765531356,3.2848974028581,2.11600647078162,15.1579900101563,21.02158602,7.09591857537429,14.4592699958403,"Wetland","Herbivore","Terrestrial",3.35270717250172,3.21526932927409,-59.41,1.438408071
"Anseranatidae",4.4496852831477,4.46590811865458,6.00536745227697,3.55248682920838,4.99788772127375,7.78047022813942,1.09861228866811,0.693147180559945,2.21011886532145,2.12823170584927,3.21084365317094,2.0973131374744,12.3165106389532,24.76873692,6.97288822934914,16.4777900118662,"Wetland","Herbivore","Terrestrial",3.34215484102837,3.02188723103084,137.43,1.428029341
"Anatidae",4.17592454921452,3.98713047791495,5.83364046191442,3.60004824040732,4.78415284151653,7.98528011531976,1.09861228866811,0,1.84754492853415,2.17475172148416,2.86679759241613,1.57209632634314,13.8152344998637,24.34459911,7.77565813039992,10.5432075847132,"Wetland","Omnivore","Aquatic",3.53631085546933,2.4923786646267,98.98,1.44027446535478
"Megapodiidae",3.63230910262554,4.38949864951258,5.66919102988658,3.06339092202781,5.38678601453564,7.75495313436901,0,0,1.77231837657035,2.63188884013665,3.2188758248682,1.86519315380338,13.3736363603819,21.16426538,6.94276392613474,13.4422981929938,"Forest","Herbivore","Terrestrial",3.2240623515555,3.12500460925813,148.09,2.332707179
"Cracidae",3.70622809244855,4.44851637594271,5.77455154554441,2.26176309847379,5.88137062431091,7.13073881749498,0,0,1.75072018912383,1.09861228866811,2.98075934665588,1.79559691829296,13.861072813275,26.01326344,7.67535755276374,12.3369561606191,"Forest","Herbivore","Insessorial",2.22678337957776,1.66013102674962,-54.53,1.438408071
"Numididae",3.26193531432865,4.20916023665068,5.53654655528029,3.01553490085017,4.93014804318357,7.1693500166706,0.693147180559945,0,1.44146413225336,2.12823170584927,2.39215183533814,0.98666554579864,16.3606322837555,23.21698568,6.86564110360151,16.9427208611853,"Woodland","Herbivore","Terrestrial",3.96934807204742,1.38629436111989,24.21,1.294834166
"Odontophoridae",2.63905732961526,3.45631668088323,4.75359019110636,3.18635263316264,4.37449836825309,5.21439213161028,1.09861228866811,0,0.405465108108164,2.56494935746154,2.19232610483009,0.766800120773764,14.1621298811871,16.45268268,6.05379835543262,15.2389761777704,"Shrubland","Herbivore","Terrestrial",2.905807566026,3.39785848039664,-103.66,2.332707179
"Phasianidae",3.4307561839037,4.22097721315547,5.38541207339897,3.11351530921037,5.26785815906333,6.62233730818342,0,0,1.19039461989566,1.7404661748405,3.40119738166216,1.66441936581418,15.4440171696117,23.50007515,7.52528181117806,15.677335589807,"Forest","Herbivore","Terrestrial",3.75067985501938,2.79055142261395,100.19,2.332707179
"Phoenicopteridae",4.83628190695148,5.64190707093811,6.01322603888949,3.8607297110406,4.9330340480727,8.01684581193787,1.09861228866811,0,2.41491327796747,0,3.56450925134975,2.56257377800572,12.3939385539618,24.89420584,7.15540105988698,17.2966800601934,"Coastal","Carnivore","Terrestrial",3.21687382219753,2.90690105984738,-75.16,0.324086148
"Podicipedidae",3.3603753871419,3.61361696961339,4.8331022540341,3.52636052461616,3.48431228837266,6.02078060144204,1.09861228866811,0.693147180559945,1.18593917143611,1.77495235091167,2.57718560522171,1.23206361337895,16.8771141584505,12.48155451,6.74133770315878,16.6501361396375,"Wetland","Carnivore","Aquatic",4.73558422471002,3.07315617051879,-86.81,1.438408071
"Mesitornithidae",3.06805293513362,3.67882911826043,4.74057482299429,2.01490302054226,4.64246597073179,4.99721227376411,0,0,0.728514324397237,0,2.60418616515986,1.65101462285265,10.5232048002525,20.55711148,7.4936761493717,11.1362955964244,"Forest","Omnivore","Terrestrial",2.41143949790613,2.89425310460414,48.72,1.055778426
"Pteroclidae",2.78501124223834,3.28091121578765,5.07016127341028,3.95508249488859,4.21950770517611,5.19683819759818,1.09861228866811,0,0.410235931610189,1.09861228866811,2.70953936707729,1.27787704236299,14.0131385463574,20.64998617,6.00369084810376,13.6210625723324,"Grassland","Herbivore","Terrestrial",2.45787797740008,3.0996417369445,21.75,2.332707179
"Columbidae",3.23867845216438,3.27714473299218,5.32495929749446,3.58351893845611,4.95229971708329,5.90345266978477,0.693147180559945,0,0.787999999881817,0.182321556793955,3.09104245335832,1.48027004360591,15.1226657980532,16.88921503,7.04697273228045,15.6460340655727,"Forest","Herbivore","Terrestrial",4.37575702166029,3.09738592728049,-99.99,-1.987371821
"Musophagidae",3.24649099190117,3.67630067190708,5.37249676472229,2.90690105984738,5.48479693349065,5.55295958492162,0.693147180559945,0,1.28093384546206,1.02961941718116,2.28066701567846,1.43166145206291,15.1526771099191,21.75697044,6.67017636536079,14.8737080608581,"Grassland","Herbivore","Insessorial",3.12588295801904,2.84549061022345,27.41,-0.837927757
"Otididae",3.62167070442049,4.43675153436313,5.56528639740228,3.62434093297637,4.96284463025991,6.56821835098808,1.09861228866811,0,2.08829907267439,0.405465108108164,2.98154262954235,2.02849764690303,14.5155635335374,20.89820385,6.23041816959222,12.7397990335823,"Shrubland","Omnivore","Terrestrial",2.83380140640777,3.03687421688517,23.24,-0.496328569376627
