"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.100391814945441,0.0426517782530732,2.35375449881055,0.0196285263224271,0.0167943295694175,0.183989300321464
"mean.beak.size.pc1",0.00603279981878061,0.0174654797841562,0.345412773845082,0.730174399402731,-0.0281995405581656,0.0402651401957268
"mean.Tarsus.Length",0.00065864164846818,0.0199573726635803,0.0330024226921471,0.973708043588543,-0.0384578087721493,0.0397750920690857
"mean.Wing.Length",-0.0371902439317587,0.023797929926299,-1.56275121604842,0.119810925590258,-0.0838341865873048,0.0094536987237873
"mean.Hand.Wing.Index",0.00709873146599686,0.0138603460874424,0.512161198660714,0.60914578953362,-0.0200675468653903,0.034265009797384
"mean.Tail.Length",0.0319717406392582,0.0171017850943035,1.86949727545739,0.0631253055108922,-0.00154775814557669,0.0654912394240931
"mean.Mass",-0.0132239310483142,0.0420876245824001,-0.31419998585152,0.753721286468455,-0.0957156752298183,0.0692678131331899
"mean.Habitat.Density",-0.00904916762105204,0.0126840393062176,-0.713429484298129,0.476474219604357,-0.0339098846612386,0.0158115494191345
"mean.Migration",-0.0148475079777181,0.0098283889113496,-1.51067566735912,0.132568103402684,-0.0341111502439633,0.00441613428852715
"mean.Brain.Mass..g.",0.0277973100374624,0.0276504538360287,1.00531116784935,0.316053082465172,-0.0263975794811538,0.0819921995560787
"mean.clutch.size",-0.00379604654144773,0.0113090624207924,-0.335664124947127,0.737502475181016,-0.0259618088862009,0.0183697158033055
"mean.Maximum.longevity",0.0236521103520424,0.0241441270355537,0.979621682623405,0.328545352232206,-0.0236703786376429,0.0709745993417276
"mean.GenLength",-0.0418820183105487,0.0304928753470662,-1.37350177160575,0.171249658906382,-0.101648053990799,0.0178840173697011
"mean.Range.Size",0.0239004559394539,0.014439700400645,1.65519057018567,0.0995721528304788,-0.00440135684581034,0.0522022687247181
"mean.Annualtemp",-0.0138549435504497,0.00962802771188818,-1.43902198508863,0.151824980971574,-0.0327258778657505,0.00501599076485117
"mean.AnnualPrecipitation",0.0135388565952492,0.0109130977849646,1.24060618369078,0.216313847255474,-0.00785081506328144,0.0349285282537799
"mean.Abundance.estimate.1.1.matched",0.00513679687460402,0.0113805590013471,0.451365954343365,0.652251637576744,-0.0171690987680364,0.0274426925172444
"mode.HabitatForest",-0.0327371864212078,0.0341090871509048,-0.959779025348069,0.338412407698648,-0.0995909972369812,0.0341166243945657
"mode.HabitatGrassland",-0.00498937504545135,0.0320797195979519,-0.155530506749501,0.87657176542565,-0.0678656254574371,0.0578868753665344
"mode.HabitatHuman Modified",-0.103876974323669,0.0645471814445574,-1.60931851707411,0.109242629131422,-0.230389449955001,0.0226355013076639
"mode.HabitatMarine",-0.00744757266886477,0.0325961832437667,-0.228479899415492,0.819524180824557,-0.0713360918266475,0.0564409464889179
"mode.HabitatRiverine",-0.0628928052837711,0.0448364551038416,-1.40271582885201,0.162368538450273,-0.150772257287301,0.0249866467197584
"mode.HabitatShrubland",0.00133732392920055,0.0346895390113737,0.0385512165140644,0.969289542910337,-0.066654172533092,0.0693288203914931
"mode.HabitatWetland",-0.0305333188833641,0.0322096872450833,-0.94795452843228,0.344382579825559,-0.0936643058837274,0.0325976681169991
"mode.HabitatWoodland",-0.032221017558871,0.0353988804264923,-0.910227023303172,0.36388083435031,-0.101602823194796,0.0371607880770539
"mode.Primary.LifestyleAquatic",-0.0423047696769754,0.0236231670206784,-1.79081702465822,0.0749488471331928,-0.0886061770375052,0.00399663768355427
"mode.Primary.LifestyleGeneralist",-0.0682547829094165,0.0220197692517573,-3.09970473028319,0.00223815580043444,-0.111413530642861,-0.0250960351759721
"mode.Primary.LifestyleInsessorial",-0.0439570326303561,0.0184978739857344,-2.37632890483825,0.018501619547656,-0.0802128656423955,-0.00770119961831673
"mode.Primary.LifestyleTerrestrial",-0.0420459723501394,0.0196227505624687,-2.14271552891053,0.0334357043160802,-0.080506563452578,-0.00358538124770082
"mean.Latitude.span",-0.0186337002790105,0.0143285340230149,-1.30046104151901,0.195052003203872,-0.0467176269641196,0.00945022640609858
"mean.Centroid.Latitude",-0.00982563630889557,0.00859130335842817,-1.14367237414059,0.25422931200798,-0.0266645908914148,0.00701331827362364
"mean.Centroid.Longitude",-0.00606745995723401,0.00798586349939472,-0.759775064737067,0.448350955332607,-0.0217197524160477,0.00958483250157965
