"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0141447559195117,0.0118688643182735,-1.19175310629629,0.234876447677803,-0.0374077299833278,0.00911821814430443
"mean.beak.size.pc1",6.44032807000614e-05,0.00496635382709122,0.0129679203178687,0.989667285473255,-0.00966965022039872,0.00979845678179885
"mean.Tarsus.Length",-0.00082918338661784,0.0056361490547055,-0.147118782446957,0.883197609251584,-0.0118760355338406,0.0102176687606049
"mean.Wing.Length",-0.00458103563286441,0.00671215015786867,-0.682498979480376,0.495772592441793,-0.017736849942287,0.00857477867655819
"mean.Hand.Wing.Index",-0.000775403316651779,0.00384632316943199,-0.201595987257173,0.840452886497443,-0.00831419672873848,0.00676339009543492
"mean.Tail.Length",0.00790418955524237,0.00489390905362336,1.61510756915073,0.107982419578151,-0.00168787218985942,0.0174962513003442
"mean.Mass",-0.0159110779361479,0.0120117856354142,-1.32462220181798,0.186921678101013,-0.0394541777815597,0.00763202190926385
"mean.Habitat.Density",-0.00258125900852644,0.00378436587727617,-0.682084949562099,0.496033739213159,-0.00999861612798774,0.00483609811093485
"mean.Migration",-0.00132144108073411,0.00293915232001087,-0.449599386781431,0.653522817656752,-0.00708217962795542,0.0044392974664872
"mean.Brain.Mass..g.",0.0169944110391403,0.00796650294274943,2.13323351052139,0.0342162977399431,0.00138006527135143,0.0326087568069292
"mean.clutch.size",-0.00691048453075665,0.00326817812277409,-2.11447609988005,0.03580681081058,-0.0133161136513939,-0.000504855410119433
"mean.Maximum.longevity",0.00352910396046202,0.00709956130520907,0.497087609888327,0.619714330575551,-0.0103860361977477,0.0174442441186718
"mean.GenLength",-0.0150801887196736,0.0088833521098502,-1.69757863171405,0.0912597857465517,-0.03249155885498,0.00233118141563279
"mean.Range.Size",0.000968835697177998,0.00416708756407526,0.232497081542129,0.81640757929849,-0.00719865592840952,0.00913632732276551
"mean.Annualtemp",-0.000919404371309961,0.00282299461766125,-0.325684068101998,0.74502949492747,-0.00645247382192601,0.00461366507930609
"mean.AnnualPrecipitation",-0.000414530465531253,0.00320303332830256,-0.129418093114545,0.897166675117375,-0.00669247578900428,0.00586341485794177
"mean.Abundance.estimate.1.1.matched",-0.000785436681752125,0.00330636962123359,-0.237552594455269,0.812489583799994,-0.00726592113936997,0.00569504777586572
"mode.HabitatForest",0.0146708382331872,0.00997902049819208,1.47016816288183,0.143205764070222,-0.00488804194326926,0.0342297184096437
"mode.HabitatGrassland",0.0103389045203593,0.00938864446609327,1.10121376495806,0.272226651377107,-0.00806283863318356,0.0287406476739021
"mode.HabitatHuman Modified",0.00254742162237699,0.0179293509489344,0.142081084230681,0.887169739808853,-0.0325941062375344,0.0376889494822884
"mode.HabitatMarine",0.00700400801199121,0.0095337845355064,0.734651384862579,0.463477024049213,-0.0116822096776013,0.0256902257015838
"mode.HabitatRiverine",0.0173991167218564,0.013195688376047,1.31854559050057,0.188942334550212,-0.00846443249519581,0.0432626659389086
"mode.HabitatShrubland",0.0115763005612184,0.0101717027963587,1.1380887539658,0.256547249751314,-0.00836023691964469,0.0315128380420814
"mode.HabitatWetland",0.0097930777288088,0.00937988025796175,1.0440514654221,0.297816593656681,-0.00859148757679622,0.0281776430344138
"mode.HabitatWoodland",0.0160926140280828,0.0103803588869224,1.55029457106314,0.122770652760444,-0.0042528893902851,0.0364381174464508
"mode.Primary.LifestyleAquatic",-0.00518866757200338,0.00677956212467198,-0.765339630581884,0.445039363568831,-0.0184766093363605,0.0080992741923537
"mode.Primary.LifestyleGeneralist",-0.0114821356246447,0.00644157577746416,-1.7825041606768,0.0762982066224409,-0.0241076241484745,0.00114335289918502
"mode.Primary.LifestyleInsessorial",-0.0102958857049975,0.00535151400749535,-1.92392016363537,0.0558911918924316,-0.0207848531596884,0.000193081749693434
"mode.Primary.LifestyleTerrestrial",-0.00682009710115285,0.00571088387670144,-1.19422794236399,0.233909563859039,-0.0180134294994877,0.00437323529718197
"mean.Latitude.span",0.00194564697540081,0.00419474340841708,0.463829795046991,0.643312049030816,-0.00627605010509667,0.0101673440558983
"mean.Centroid.Latitude",-0.00269245149279795,0.00253645115627435,-1.06150338678421,0.289837541069827,-0.00766389575909568,0.00227899277349978
"mean.Centroid.Longitude",0.00154178918356805,0.00232720617348513,0.6625064857314,0.508466760073214,-0.00301953491646281,0.00610311328359891
