"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.00944280106840796,0.0127407737523079,0.741148163524797,0.459538293975658,-0.0155291154861156,0.0344147176229315
"mean.beak.size.pc1",0.00150228538839804,0.00526572009019165,0.28529533713657,0.775735322741654,-0.00881852598837759,0.0118230967651737
"mean.Tarsus.Length",0.00663713610965785,0.0059975796120627,1.10663576625291,0.269880615422624,-0.00511811992998504,0.0183923921493007
"mean.Wing.Length",0.00363655904552931,0.00714562709162733,0.508920910495083,0.61141082738544,-0.0103688700540603,0.0176419881451189
"mean.Hand.Wing.Index",0.00366466366081596,0.00413773756569881,0.885668460753877,0.37693978717409,-0.00444530196795371,0.0117746292895856
"mean.Tail.Length",-0.00183296244511787,0.00516652603827245,-0.354776581312028,0.723158906236361,-0.0119593534801319,0.00829342858989612
"mean.Mass",0.0108248638528892,0.0127104475139771,0.851650883337161,0.395503052269262,-0.0140876132745059,0.0357373409802843
"mean.Habitat.Density",0.00995100025333578,0.00389844951008679,2.55255332346583,0.0114967942949637,0.00231003921356568,0.0175919612931059
"mean.Migration",0.00323705254277488,0.0030238726699647,1.0704989581498,0.285781930033896,-0.00268973789035594,0.0091638429759057
"mean.Brain.Mass..g.",-0.0127671190591129,0.00838111457608508,-1.52331995264006,0.129377056332111,-0.0291941036282396,0.00365986551001388
"mean.clutch.size",0.00692577176031514,0.00343176950415901,2.01813430416049,0.045013912025469,0.00019950353216347,0.0136520399884668
"mean.Maximum.longevity",0.00455566453303554,0.00737547739043574,0.617677242010554,0.537543614341955,-0.0099002711522185,0.0190116002182896
"mean.GenLength",0.00391666462349882,0.00927939916604599,0.422081705228307,0.673452841946981,-0.0142709577419513,0.022104286988949
"mean.Range.Size",-0.00156301179643702,0.00437796958638942,-0.357017509051738,0.721483418749961,-0.0101438321857603,0.00701780859288624
"mean.Annualtemp",0.00230850996707796,0.00293806933673073,0.785723447101049,0.433029293663959,-0.00345010593291427,0.00806712586707019
"mean.AnnualPrecipitation",0.00462662725789592,0.00333053483317599,1.38915444204617,0.166446667553473,-0.00190122101512902,0.0111544755309209
"mean.Abundance.estimate.1.1.matched",-0.00325795313163674,0.00345954517249292,-0.941728744443331,0.347553033317524,-0.0100386616697229,0.00352275540644938
"mode.HabitatForest",-0.00587723706084539,0.0103961016777241,-0.565330856030262,0.572530024876845,-0.0262535963491846,0.0144991222274938
"mode.HabitatGrassland",-0.0139765659733652,0.00977719448261307,-1.42950679749901,0.154536061561037,-0.0331398671592868,0.00518673521255639
"mode.HabitatHuman Modified",-0.00245788056001419,0.0192532605782293,-0.127660483793246,0.898555577476784,-0.0401942712933436,0.0352785101733152
"mode.HabitatMarine",0.00174534506573706,0.00993132623156215,0.175741388918459,0.860688298549598,-0.0177200543481248,0.0212107444795989
"mode.HabitatRiverine",-0.00524094482643158,0.0137043974741908,-0.382427964184616,0.70258057588564,-0.0321015638758455,0.0216196742229824
"mode.HabitatShrubland",-0.00866692320774468,0.0105837697772692,-0.818888107936612,0.413898209938127,-0.0294111119711923,0.012077265555703
"mode.HabitatWetland",-0.00752645899009314,0.00980079952346273,-0.767943367484978,0.443494665585094,-0.0267360260560801,0.0116831080758938
"mode.HabitatWoodland",-0.00222429509085202,0.0107999262188721,-0.205954656149894,0.837051582010184,-0.0233921504798413,0.0189435602981372
"mode.Primary.LifestyleAquatic",0.00182134975775877,0.00714065924802861,0.255067451686847,0.798952815113174,-0.0121743423683773,0.0158170418838949
"mode.Primary.LifestyleGeneralist",-0.00013029558800661,0.0067142531440958,-0.0194058200086164,0.984538168715586,-0.0132902317504344,0.0130296405744212
"mode.Primary.LifestyleInsessorial",0.00298764892036684,0.00561382230298257,0.532195135350032,0.59522598710282,-0.00801544279347901,0.0139907406342127
"mode.Primary.LifestyleTerrestrial",0.004383848085917,0.00597038600969677,0.734265435902637,0.46371160423951,-0.00731810849308867,0.0160858046649227
"mean.Latitude.span",-0.00212761868989832,0.00437108868814217,-0.486748003002112,0.627009993454144,-0.010694952518657,0.00643971513886033
"mean.Centroid.Latitude",-0.0027070032348611,0.00262848950473318,-1.02987028481055,0.304408239272823,-0.00785884266413814,0.00244483619441594
"mean.Centroid.Longitude",0.00369101384693398,0.00243243608728339,1.51741452374858,0.130859849328205,-0.00107656088414146,0.00845858857800942
