"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.129198237927016,0.163210883938091,-0.197863737464294,0.446548287152969
"mean_beak_size_pc1",-0.404164000435181,0.368587619373984,-1.15331299347096,0.310228036004247
"mean_Tarsus_Length",0.00644520024040676,0.392401671225561,-0.7548800989175,0.78216180951719
"mean_Wing_Length",-0.804618438681236,0.430166287147254,-1.65170507987021,0.0429009255642871
"mean_Hand_Wing_Index",0.152560904660314,0.226616940447085,-0.287747024771258,0.599765431250987
"mean_Tail_Length",0.351105527992697,0.325179956404011,-0.295435156674686,0.98860195739134
"mean_Mass",0.12667431405958,0.317825557547404,-0.493606511508621,0.759232383615222
"mean_Habitat_Density",-0.403578152269261,0.421855439091379,-1.23552276222374,0.420915731369576
"mean_Migration",0.228351273967004,0.421106529481135,-0.591782120241638,1.05957140865559
"mean_Brain_Mass_g",-0.192820327813654,0.373965885525819,-0.923933756123361,0.534204245475061
"mean_clutch_size",0.554666767154528,0.343680359627957,-0.123505120637998,1.21998696391436
"mean_Maximum_longevity",0.0623416976288452,0.74575608462742,-1.39955133006057,1.52693858053251
"mean_GenLength",0.90139713794897,0.826534931048726,-0.714673352846302,2.51201180717455
"mean_Range_Size",0.0275725963365555,0.116084201798103,-0.203865506645521,0.254541868771632
"mean_Annualtemp",0.0372725642491904,0.0233345814337444,-0.00833297943951729,0.0834061906157384
"mean_AnnualPrecipitation",-0.459553475872847,0.31257121153692,-1.07924717066581,0.150167856796263
"mean_Abundance_estimate_1_1_matched",-0.0011080546889761,0.0786513701211263,-0.156162805958081,0.151359686050147
"mean_Latitude_span",0.0835643533365217,0.323095634928168,-0.544805341954381,0.730227926307723
"mean_Centroid_Latitude",-0.0470423572586423,0.0998987511372609,-0.245652314746889,0.146674737173717
"mean_Centroid_Longitude",-0.00389282697264699,0.00150243711372783,-0.00684343044928656,-0.000945749585532671
