"","Overall"
"mean.beak.size.pc1",50.7444037612608
"mean.Tarsus.Length",28.3452472918532
"mean.Wing.Length",91.3882743032786
"mean.Hand.Wing.Index",37.8306221199183
"mean.Tail.Length",29.4153213192574
"mean.Mass",100
"mean.Habitat.Density",13.7382556352006
"mean.Migration",7.64756723661098
"mean.Brain.Mass..g.",35.1354235797916
"mean.clutch.size",8.39473927651812
"mean.Maximum.longevity",64.7184393355185
"mean.GenLength",47.0980122925298
"mean.Range.Size",15.1665562510721
"mean.Annualtemp",10.0802516497996
"mean.AnnualPrecipitation",8.84758815191394
"mean.Abundance.estimate.1.1.matched",12.6349454484091
"mode.HabitatForest",2.19475931739137
"mode.HabitatGrassland",0.589014959838352
"mode.HabitatHuman Modified",0.00170371512069276
"mode.HabitatMarine",1.07346649547872
"mode.HabitatRiverine",0.111198369045352
"mode.HabitatShrubland",0.973557048622852
"mode.HabitatWetland",1.05255071481601
"mode.HabitatWoodland",2.67492726108603
"mode.Trophic.LevelHerbivore",1.18286633676774
"mode.Trophic.LevelOmnivore",5.74516725220577
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",0.166020646728066
"mode.Primary.LifestyleGeneralist",0.620318840228194
"mode.Primary.LifestyleInsessorial",3.39691408903034
"mode.Primary.LifestyleTerrestrial",1.17749571512476
"mean.Latitude.span",24.2178565959726
"mean.Centroid.Latitude",8.69850236341542
"mean.Centroid.Longitude",21.575718631237
