"","Overall"
"mean.beak.size.pc1",49.2373851623362
"mean.Tarsus.Length",36.6575691455024
"mean.Wing.Length",92.6681078036353
"mean.Hand.Wing.Index",45.9345982704041
"mean.Tail.Length",33.1269786629897
"mean.Mass",100
"mean.Habitat.Density",11.5391763594303
"mean.Migration",6.95496698879772
"mean.Brain.Mass..g.",39.7238383357032
"mean.clutch.size",9.92357463667873
"mean.Maximum.longevity",60.4819315743842
"mean.GenLength",48.4681411986745
"mean.Range.Size",13.5556603996276
"mean.Annualtemp",12.5879571256462
"mean.AnnualPrecipitation",12.578284525074
"mean.Abundance.estimate.1.1.matched",10.0786696970589
"mode.HabitatForest",3.70542491764588
"mode.HabitatGrassland",1.08907261389064
"mode.HabitatHuman Modified",0
"mode.HabitatMarine",0.823715670512109
"mode.HabitatRiverine",0.105275612713746
"mode.HabitatShrubland",0.676959147415439
"mode.HabitatWetland",1.95440875487818
"mode.HabitatWoodland",3.1981467462016
"mode.Trophic.LevelHerbivore",1.34967354636951
"mode.Trophic.LevelOmnivore",5.0629781720531
"mode.Trophic.LevelScavenger",0.00255777567613286
"mode.Primary.LifestyleAquatic",0.104598919525813
"mode.Primary.LifestyleGeneralist",0.60122678255488
"mode.Primary.LifestyleInsessorial",4.37207023988959
"mode.Primary.LifestyleTerrestrial",2.80039406025774
"mean.Latitude.span",21.4690246224358
"mean.Centroid.Latitude",13.072662386699
"mean.Centroid.Longitude",34.2266751317146
