"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.00821592987278854,0.0417964745049798,0.196569925336876,0.844381051859474,-0.0737051601569719,0.090137019902549
"mean.beak.size.pc1",0.00327216093422071,0.0136098647618239,0.240425675896443,0.810267937228557,-0.0234031739989542,0.0299474958673956
"mean.Tarsus.Length",0.00914833329828966,0.017406824472371,0.525560151009183,0.599826630892145,-0.0249690426675575,0.0432657092641369
"mean.Wing.Length",-0.0103508346196661,0.0184549645057639,-0.560869928329219,0.575568569120745,-0.0465225650509634,0.0258208958116312
"mean.Hand.Wing.Index",0.00973854302064458,0.0118944956408657,0.818743670575323,0.41399179575646,-0.0135746684354522,0.0330517544767414
"mean.Tail.Length",-0.00140895118593665,0.0124050540670895,-0.113578802503939,0.90969552155361,-0.0257228571574321,0.0229049547855588
"mean.Mass",-0.00507024539154074,0.0297255311150989,-0.170568706473518,0.864750317156991,-0.0633322863771347,0.0531917955940532
"mean.Habitat.Density",0.00298052584694784,0.00970715737746283,0.307044145989407,0.759156985737819,-0.0160455026128793,0.022006554306775
"mean.Migration",0.00220120187959868,0.00683266521574574,0.32215860284301,0.747698272045371,-0.011190821943263,0.0155932257024603
"mean.Brain.Mass..g.",0.00822742301910155,0.0206820865847723,0.397804302064918,0.691235585564499,-0.0323094666870521,0.0487643127252552
"mean.clutch.size",-0.00372120040244043,0.00882287815368471,-0.421767175928452,0.673687309084156,-0.0210140415836625,0.0135716407787816
"mean.Maximum.longevity",-0.0124456425617667,0.0166649689607989,-0.746814626000365,0.456128670792151,-0.0451089817249325,0.0202176966013991
"mean.GenLength",0.00894088689721044,0.0223144201200913,0.400677537175179,0.68912240713915,-0.0347953765381684,0.0526771503325893
"mean.Range.Size",0.024668708498643,0.0136451489828345,1.80787388468064,0.0722591991914759,-0.00207578350771254,0.0514132005049985
"mean.Annualtemp",0.00406700878679498,0.00858877181406396,0.473526235745992,0.636399119565911,-0.0127669839687704,0.0209010015423603
"mean.AnnualPrecipitation",-0.00619096715149677,0.00861914739598839,-0.718280691472828,0.473495289024818,-0.023084496047634,0.0107025617446405
"mean.Abundance.estimate.1.1.matched",-0.00103025369830068,0.00838602879349842,-0.122853584654923,0.902357125602812,-0.0174668701335576,0.0154063627369562
"mode.HabitatDesert",-0.0031914253139107,0.0454188135951619,-0.0702665935389087,0.944057780982805,-0.0922122999604281,0.0858294493326067
"mode.HabitatForest",-0.00238746443854035,0.031142353953766,-0.0766629408324365,0.93897498152725,-0.0634264781879217,0.0586515493108409
"mode.HabitatGrassland",-0.00775497365033189,0.0304043864576284,-0.255061014342099,0.79896084034915,-0.0673475711072836,0.0518376238066198
"mode.HabitatHuman Modified",-0.0231807720025425,0.0330161983371194,-0.702103003072917,0.483502117680499,-0.0878925207432965,0.0415309767382114
"mode.HabitatMarine",0.0377419829921478,0.0335308619147181,1.12558940739848,0.261805377199385,-0.0279785063606997,0.103462472344995
"mode.HabitatRiverine",0.00446732583956101,0.0360867710421443,0.123794002914359,0.901613506263027,-0.0662627454030417,0.0751973970821638
"mode.HabitatRock",0.0148513383097919,0.0367190383123718,0.404458803726022,0.686345123376547,-0.0571179767824569,0.0868206534020406
"mode.HabitatShrubland",0.0066524512667756,0.0304929476707871,0.21816360092825,0.827543410365563,-0.0531137261679671,0.0664186287015183
"mode.HabitatWetland",0.0119945228980502,0.0300171388020754,0.399589147291442,0.689922598746999,-0.0468390691540177,0.070828114950118
"mode.HabitatWoodland",-0.0153707290727752,0.0307851541179027,-0.499290307721298,0.618171339618067,-0.0757096311438645,0.0449681729983141
"mode.Primary.LifestyleAquatic",-0.0437285859986619,0.0206534781534646,-2.11725045407552,0.035582135268935,-0.0842094031794526,-0.00324776881787118
"mode.Primary.LifestyleGeneralist",-0.0472341274317284,0.0213194910782371,-2.21553728737667,0.0279498808894863,-0.089020329945073,-0.00544792491838374
"mode.Primary.LifestyleInsessorial",-0.0303760866814495,0.0185190676700241,-1.64026004022966,0.102659524821563,-0.0666734593146968,0.0059212859517978
"mode.Primary.LifestyleTerrestrial",-0.0222450565112685,0.019006367892988,-1.1704001856912,0.243353606536134,-0.059497537581525,0.015007424558988
"mean.Latitude.span",-0.0206911221747273,0.0123614063046459,-1.67384856259848,0.095859418844507,-0.0449194785318333,0.00353723418237863
"mean.Centroid.Latitude",0.0034034848370961,0.0084354213292258,0.403475381283471,0.687067023577566,-0.0131299409681865,0.0199369106423787
"mean.Centroid.Longitude",-0.0130475670025747,0.0065805135836398,-1.98275815963864,0.0488825168403338,-0.0259453736265087,-0.00014976037864072
