"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0437016142395662,0.0183283388227462,-2.38437398294551,0.0181250680741785,-0.0796251583321488,-0.00777807014698357
"mean.beak.size.pc1",0.0107644862939547,0.00596811610646117,1.80366569650027,0.0729195240228727,-0.000933021274709149,0.0224619938626186
"mean.Tarsus.Length",0.00671756320943478,0.00763313606078607,0.880052858476493,0.379978640642865,-0.00824338346970592,0.0216785098885755
"mean.Wing.Length",-0.00430028695441992,0.00809276012940031,-0.531374572538897,0.595800125284075,-0.0201620968080445,0.0115615228992047
"mean.Hand.Wing.Index",0.00330458864540415,0.00521590274810118,0.633560249298584,0.527154588729351,-0.00691858074087416,0.0135277580316825
"mean.Tail.Length",0.000905667840702106,0.00543978976095254,0.16648949325268,0.867954561560115,-0.00975632009076487,0.0115676557721691
"mean.Mass",-0.00605694475830459,0.013035061268115,-0.464665614815363,0.642720305824726,-0.03160566484381,0.0194917753272009
"mean.Habitat.Density",-0.00534830041474724,0.00425672431770918,-1.25643570397472,0.210550856711204,-0.0136914800774572,0.00299487924796276
"mean.Migration",-0.00569020436165984,0.00299621928930058,-1.89912813857764,0.0591122861783787,-0.011562794168689,0.000182385445369295
"mean.Brain.Mass..g.",-0.0130777716568374,0.00906938431952956,-1.44196906825046,0.151010997867516,-0.0308537649231153,0.00469822160944055
"mean.clutch.size",-0.000242958961760971,0.00386895550660074,-0.062797042081891,0.949996285517782,-0.00782611175469843,0.00734019383117648
"mean.Maximum.longevity",-0.00607774257745359,0.00730782204005459,-0.831676324921589,0.406669682846952,-0.0204010737759606,0.0082455886210534
"mean.GenLength",-0.00361803641429267,0.0097851854118799,-0.369746332031698,0.711996711770554,-0.0227969998215773,0.0155609269929919
"mean.Range.Size",-0.00311781067421598,0.00598358873101711,-0.521060322554288,0.602951273780806,-0.0148456445870095,0.00861002323857755
"mean.Annualtemp",-0.000481992099312636,0.00376629660141938,-0.127975077462298,0.89830845712058,-0.00786393343809461,0.00689994923946934
"mean.AnnualPrecipitation",-0.0013583081690678,0.0037796167190619,-0.359377225266622,0.719724999008148,-0.00876635693842913,0.00604974060029353
"mean.Abundance.estimate.1.1.matched",-9.21098781256294e-05,0.00367739095043129,-0.0250476164670027,0.980044126664783,-0.00729979614097096,0.0071155763847197
"mode.HabitatDesert",-0.0162935192553493,0.0199167851920166,-0.818079780359349,0.414369782510184,-0.0553304182317018,0.0227433797210033
"mode.HabitatForest",0.00343578606995819,0.0136563579048876,0.251588754035842,0.801639722889311,-0.0233306754236215,0.0302022475635379
"mode.HabitatGrassland",0.00685320349041698,0.0133327488333193,0.514012794817706,0.607859798103216,-0.0192789842228889,0.0329853912037229
"mode.HabitatHuman Modified",0.0182028699432412,0.0144780648829512,1.25727230057355,0.210248548251288,-0.0101741372273432,0.0465798771138257
"mode.HabitatMarine",0.00371096661358522,0.0147037520621135,0.252382289765828,0.80102729383223,-0.0251083874281572,0.0325303206553277
"mode.HabitatRiverine",0.00693173869312739,0.0158245539728592,0.438036908023825,0.661873324735331,-0.0240843870936767,0.0379478644799315
"mode.HabitatRock",0.00958821970243831,0.0161018120165701,0.595474577182445,0.552257987345065,-0.0219713318500391,0.0411477712549158
"mode.HabitatShrubland",0.00743178610783046,0.0133715841643024,0.555789502314229,0.57902993684762,-0.0187765188542022,0.0336400910698632
"mode.HabitatWetland",0.00244558402930511,0.0131629353185827,0.185793211781005,0.852811586875033,-0.023353769195117,0.0282449372537273
"mode.HabitatWoodland",0.00643083271667326,0.013499720779468,0.476367831729825,0.634377528827005,-0.0200286200110841,0.0328902854444306
"mode.Primary.LifestyleAquatic",0.0156044046496895,0.00905683912215577,1.72294157367954,0.0865791364517161,-0.00214700002973581,0.0333558093291148
"mode.Primary.LifestyleGeneralist",0.0046911763367668,0.00934889510750216,0.501789386106417,0.616415571266444,-0.0136326580739374,0.023015010747471
"mode.Primary.LifestyleInsessorial",0.00907724836336204,0.00812087026376178,1.11776793231976,0.265123423123722,-0.00683965735361106,0.0249941540803351
"mode.Primary.LifestyleTerrestrial",0.00869116534184957,0.00833455822909048,1.04278656444134,0.298415296131561,-0.00764456878716776,0.0250268994708669
"mean.Latitude.span",0.005485739298766,0.00542064960646831,1.01200772915114,0.312863286839418,-0.00513873392991188,0.0161102125274439
"mean.Centroid.Latitude",0.00286289165727064,0.00369905026837252,0.773953163531953,0.439951763969049,-0.00438724686873951,0.0101130301832808
"mean.Centroid.Longitude",-0.0054504342762335,0.00288564727090234,-1.88880821685775,0.0604907708140849,-0.0111063029272021,0.000205434374735096
