"","Overall"
"mean.beak.size.pc1",39.0587455950829
"mean.Tarsus.Length",43.5038816503248
"mean.Wing.Length",49.2053649340968
"mean.Hand.Wing.Index",44.963638121227
"mean.Tail.Length",43.7117712617028
"mean.Mass",40.0505779535819
"mean.Habitat.Density",17.9586071656393
"mean.Migration",25.0060017973213
"mean.Brain.Mass..g.",41.9062103193744
"mean.clutch.size",28.4105910273515
"mean.Maximum.longevity",46.4082691253747
"mean.GenLength",54.4031849840977
"mean.Range.Size",57.6955814607736
"mean.Annualtemp",54.8799554455582
"mean.AnnualPrecipitation",74.1888112389615
"mean.Abundance.estimate.1.1.matched",62.654882102162
"mode.HabitatDesert",0
"mode.HabitatForest",6.75565892895331
"mode.HabitatGrassland",2.8432047231132
"mode.HabitatHuman Modified",2.18668446180325
"mode.HabitatMarine",8.3459668338059
"mode.HabitatRiverine",1.67546794537
"mode.HabitatRock",0.562953882694879
"mode.HabitatShrubland",7.73633605342857
"mode.HabitatWetland",3.59180278931791
"mode.HabitatWoodland",5.84034940792482
"mode.Trophic.LevelHerbivore",6.57974409645819
"mode.Trophic.LevelOmnivore",6.02358611392677
"mode.Trophic.LevelScavenger",0.400416790114796
"mode.Primary.LifestyleAquatic",3.64324573909002
"mode.Primary.LifestyleGeneralist",2.41171267806359
"mode.Primary.LifestyleInsessorial",14.727741825584
"mode.Primary.LifestyleTerrestrial",6.57495646610642
"mean.Latitude.span",63.7180792940148
"mean.Centroid.Latitude",49.1902313790069
"mean.Centroid.Longitude",100
