"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.58423087295122,0.190757326697957,-34.5162672748954,8.52429922039132e-83,-6.95811523327922,-6.21034651262323
"mean.beak.size.pc1",-0.00777285810963647,0.0757765878722211,-0.102575984587001,0.918410007732871,-0.15629497033919,0.140749254119917
"mean.Tarsus.Length",-0.109657726922476,0.0876182551379215,-1.25153972479664,0.212309343763384,-0.281389506992803,0.0620740531478498
"mean.Wing.Length",-0.0198599792621514,0.105003908468481,-0.189135619348043,0.850192747293874,-0.225667639860374,0.185947681336072
"mean.Hand.Wing.Index",-0.00369593435418225,0.0618542103893075,-0.0597523488040703,0.952417028361978,-0.124930186717225,0.11753831800886
"mean.Tail.Length",0.0835243110950099,0.0740889018902339,1.12735253140551,0.261045671381009,-0.0616899366098486,0.228738558799868
"mean.Mass",0.0423952398976424,0.18183423258233,0.233153236855149,0.815898798871286,-0.313999855963725,0.39879033575901
"mean.Habitat.Density",-0.0259549578229047,0.0522176065021718,-0.497053763309224,0.619738151898418,-0.128301466567161,0.076391550921352
"mean.Migration",-0.0323122140420903,0.0403371792633292,-0.801052890464889,0.424123107497596,-0.111373085398216,0.046748657314035
"mean.Brain.Mass..g.",-0.124749899321382,0.118216938580063,-1.05526247608666,0.292674070571305,-0.356455098938305,0.106955300295541
"mean.clutch.size",0.182472750697748,0.0482835353118759,3.77919200653202,0.000211755948015901,0.0878370214864714,0.277108479909025
"mean.Maximum.longevity",-0.00686963409489307,0.101397832539894,-0.0677493189234618,0.946057961495051,-0.205609385873086,0.1918701176833
"mean.GenLength",-0.236868348217288,0.129430455793607,-1.830082006317,0.0688382986369633,-0.490552041572757,0.016815345138181
"mean.Range.Size",0.0276683003995099,0.061816615607723,0.447586787589406,0.654972272184351,-0.0934922661916272,0.148828866990647
"mean.Annualtemp",0.0485223922043864,0.0404890945070842,1.19840645475281,0.232283537462506,-0.0308362330294987,0.127881017438272
"mean.AnnualPrecipitation",0.0296720504751967,0.0460229189364198,0.644723350037584,0.519900850152664,-0.0605328706401861,0.11987697159058
"mean.Abundance.estimate.1.1.matched",0.0333317982508192,0.0483623370777975,0.689209832792001,0.491550100073913,-0.0614583824216638,0.128121978923302
"mode.HabitatForest",-0.0803705492520721,0.144518668500924,-0.556125724695272,0.578793300816035,-0.363627139513883,0.202886041009739
"mode.HabitatGrassland",-0.0239417413615025,0.136085396288557,-0.175931745907079,0.86053895868316,-0.290669118087074,0.242785635364069
"mode.HabitatHuman Modified",-0.494362684779475,0.290929517983305,-1.69925241070878,0.0909434603629175,-1.06458454002675,0.0758591704678026
"mode.HabitatMarine",-0.0234619570794143,0.138533177930033,-0.169359841663806,0.865697656741906,-0.29498698582228,0.248063071663451
"mode.HabitatRiverine",0.126642494414704,0.187850035930121,0.674168060642876,0.501041469739153,-0.241543576008333,0.494828564837742
"mode.HabitatShrubland",-0.0579824128582368,0.146435845522287,-0.395957783775095,0.692589997852206,-0.344996670081918,0.229031844365445
"mode.HabitatWetland",-0.0971740340865165,0.136942446020623,-0.709597622287849,0.478842286960034,-0.365581228286938,0.171233160113905
"mode.HabitatWoodland",-0.126881428859822,0.149492907378725,-0.848745476187583,0.397113932333885,-0.419887527322122,0.166124669602478
"mode.Primary.LifestyleAquatic",0.137666120465971,0.102664998103744,1.34092556381151,0.18157987516081,-0.0635572758173678,0.338889516749309
"mode.Primary.LifestyleGeneralist",0.0333123686994657,0.0926154835692807,0.359684659796075,0.719491009877578,-0.148213979096324,0.214838716495256
"mode.Primary.LifestyleInsessorial",0.00325818029293227,0.0790597214865783,0.0412116338341187,0.967171383024719,-0.151698873820761,0.158215234406626
"mode.Primary.LifestyleTerrestrial",0.0456643860166089,0.0832075075868966,0.548801272155879,0.583800009486494,-0.117422328853709,0.208751100886926
"mean.Latitude.span",-0.0809021838392883,0.0601479824929301,-1.34505232737936,0.180246026924989,-0.198792229525431,0.0369878618468546
"mean.Centroid.Latitude",0.0128549721441159,0.0359425473207645,0.357653341300309,0.721008267206618,-0.0575924206045825,0.0833023648928143
"mean.Centroid.Longitude",-0.0499328155547223,0.0335889065117454,-1.48658651740454,0.138817175653887,-0.115767072317743,0.0159014412082986
