"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-9.53208047170986,0.208982534806303,-45.6118521126405,3.11862754253789e-102,-9.94168623993022,-9.12247470348951
"mean.beak.size.pc1",0.0994502803329532,0.0733307187026574,1.3561885399788,0.176701071222173,-0.0442779283242553,0.243178488990162
"mean.Tarsus.Length",-0.270996426028046,0.0912779231520243,-2.9689153375751,0.00338651737992931,-0.449901155406014,-0.0920916966500784
"mean.Wing.Length",0.129262810752364,0.0960592657643471,1.34565686843237,0.180069025650875,-0.0590133501457565,0.317538971650484
"mean.Hand.Wing.Index",-0.0661127220239218,0.0612903626970393,-1.07868054804504,0.282142186108785,-0.186241832910119,0.0540163888622753
"mean.Tail.Length",-0.0845023960766451,0.0677050402233038,-1.24809609148655,0.213581765648002,-0.217204274914321,0.0481994827610304
"mean.Mass",-0.153967157599672,0.160558804093014,-0.958945592983343,0.338844512367625,-0.468662413621979,0.160728098422636
"mean.Habitat.Density",-0.00798871189970239,0.0568297487840922,-0.140572711838885,0.888361276141565,-0.119375019516523,0.103397595717118
"mean.Migration",-0.0303178229711591,0.0391897911674402,-0.773615323481179,0.440151084281738,-0.107129813659342,0.0464941677170237
"mean.Brain.Mass..g.",-0.107991222344848,0.115623962703147,-0.933986518193502,0.35153489498207,-0.334614189243016,0.118631744553321
"mean.clutch.size",0.100784907109766,0.0489148890769772,2.06041369021938,0.0407663085744379,0.00491172451889071,0.196658089700641
"mean.Maximum.longevity",0.23548427777179,0.0930569310558966,2.53053990820244,0.0122267509346911,0.0530926929022322,0.417875862641347
"mean.GenLength",-0.174924998995773,0.123274888967361,-1.41898322084141,0.157595628676163,-0.4165437813718,0.0666937833802541
"mean.Range.Size",-0.116123820890903,0.0756889574709914,-1.53422407668131,0.126692195936034,-0.264474177534046,0.0322265357522404
"mean.Annualtemp",0.109439203473072,0.0478966367801816,2.28490371829937,0.0234595399521744,0.0155617953839156,0.203316611562228
"mean.AnnualPrecipitation",-0.041717966756124,0.0479039483056114,-0.870866979272294,0.384961575837232,-0.135609705435122,0.0521737719228745
"mean.Abundance.estimate.1.1.matched",0.0612115680812787,0.047383664169048,1.29182850576725,0.198036795168783,-0.0316604136900554,0.154083549852613
"mode.HabitatDesert",0.427896628374756,0.245540556151312,1.74267190350041,0.0830616239397806,-0.0533628616818161,0.909156118431327
"mode.HabitatForest",0.443847998361607,0.163695090053216,2.71143134603069,0.00733401730660846,0.123005621857303,0.76469037486591
"mode.HabitatGrassland",0.559674838129316,0.158453142015602,3.5321157473432,0.000521126906369596,0.249106679778736,0.870242996479896
"mode.HabitatHuman Modified",0.305117038862537,0.175699500824422,1.73658455163993,0.084134201977038,-0.0392539827533294,0.649488060478404
"mode.HabitatMarine",0.271150532411179,0.174457523039687,1.55424958285975,0.121843217826201,-0.0707862127466083,0.613087277568966
"mode.HabitatRiverine",0.564480007681719,0.194148749181631,2.90746146993526,0.00409194680973045,0.183948459285721,0.945011556077716
"mode.HabitatRock",0.454379154924027,0.197037367328144,2.30605575523808,0.0222222164194334,0.0681859149608646,0.840572394887189
"mode.HabitatShrubland",0.445677255580115,0.159991424638517,2.78563214614204,0.0059018544017888,0.132094063288621,0.759260447871609
"mode.HabitatWetland",0.413613985705646,0.156414095030441,2.64435238796829,0.00889177713932542,0.107042359445981,0.72018561196531
"mode.HabitatWoodland",0.338853764028573,0.161206854796501,2.10198111275308,0.0369159266266794,0.022888328627432,0.654819199429714
"mode.Primary.LifestyleAquatic",0.165944204864341,0.108232773199025,1.53321586391575,0.126940272904085,-0.0461920306057482,0.37808044033443
"mode.Primary.LifestyleGeneralist",0.254361078573791,0.116061054146599,2.19161440884814,0.0296630759084287,0.0268814124464569,0.481840744701124
"mode.Primary.LifestyleInsessorial",0.112237883275497,0.0987426047222366,1.13667128380118,0.257153905228351,-0.0812976219800868,0.305773388531081
"mode.Primary.LifestyleTerrestrial",0.145156482375151,0.100885365167152,1.43882595988674,0.151898706943123,-0.052578833352466,0.342891798102769
"mean.Latitude.span",0.0322904946897537,0.0705109933989582,0.457949790992886,0.647528858450122,-0.105911052372204,0.170492041751712
"mean.Centroid.Latitude",0.00140757690688217,0.047194402233243,0.0298250817952026,0.97623888035895,-0.0910934514702741,0.0939086052840384
"mean.Centroid.Longitude",-0.0719335722559978,0.0358349151067234,-2.00735991816265,0.0461747342208626,-0.142170005865176,-0.00169713864681988
