"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.80734732702862,0.206794296589507,-32.9184481356438,4.90582740146224e-79,-7.21266414834406,-6.40203050571319
"mean.beak.size.pc1",0.0572343389652632,0.0678653668991883,0.843351205192524,0.400127063749119,-0.0757817801571458,0.190250458087672
"mean.Tarsus.Length",-0.173805486840397,0.0865525556608639,-2.00809191032341,0.0460961585221346,-0.34344849593569,-0.00416247774510387
"mean.Wing.Length",0.111451403474462,0.0916572788850197,1.21595802134027,0.225558598790448,-0.0681968631401765,0.291099670089101
"mean.Hand.Wing.Index",-0.024099158009697,0.0590584981981892,-0.408055720090017,0.683707198340697,-0.139853814478148,0.0916554984587537
"mean.Tail.Length",-0.0424467840554464,0.0619075223925478,-0.68564824459129,0.493797906628161,-0.16378552794484,0.0788919598339474
"mean.Mass",-0.163484794918916,0.148198833024217,-1.10314495453686,0.271404909431716,-0.453954507646381,0.126984917808549
"mean.Habitat.Density",-0.0438410163914864,0.0487839307823947,-0.898677406440317,0.369999018347237,-0.13945752072498,0.0517754879420072
"mean.Migration",-0.0309935057857183,0.0342566813989717,-0.904743382020906,0.366784443021411,-0.0981366013277028,0.0361495897562662
"mean.Brain.Mass..g.",-0.193031295390507,0.103454928680451,-1.86584919493528,0.0636540571132369,-0.39580295560419,0.00974036482317725
"mean.clutch.size",0.158378331531349,0.0441005559499153,3.59130011220763,0.00042207356467189,0.0719412418695154,0.244815421193183
"mean.Maximum.longevity",0.132053717974192,0.0833629254598973,1.58408209939463,0.114892253325804,-0.0313376159272065,0.295445051875591
"mean.GenLength",-0.0541694486534186,0.111496621923167,-0.485839370907104,0.627659113374873,-0.272702827622826,0.164363930315988
"mean.Range.Size",-0.065235040598967,0.068202714729277,-0.95648744859952,0.340081030218691,-0.19891236146835,0.0684422802704159
"mean.Annualtemp",0.0403728742810111,0.0429398655002785,0.940218927345016,0.348337949526477,-0.0437892620995348,0.124535010661557
"mean.AnnualPrecipitation",0.000191403978018579,0.0430719612774604,0.00444381849216467,0.996459171721159,-0.0842296401258037,0.0846124480818409
"mean.Abundance.estimate.1.1.matched",0.0347674357657139,0.0419937711137905,0.82791887567098,0.408788976953714,-0.0475403556173155,0.117075227148743
"mode.HabitatDesert",0.366945409722519,0.22615989891205,1.62250430552774,0.106407545861544,-0.0763279921450996,0.810218811590138
"mode.HabitatForest",0.275048424171394,0.154723115500979,1.77768152664722,0.0771079036463531,-0.0282088822105251,0.578305730553314
"mode.HabitatGrassland",0.455105428101386,0.150936959109514,3.01520204717505,0.00293090561319741,0.159268988246737,0.750941867956034
"mode.HabitatHuman Modified",0.275526466066878,0.164240460819844,1.67757971873388,0.095127003226787,-0.0463848371400171,0.597437769273773
"mode.HabitatMarine",0.190839631542681,0.166434847268458,1.14663265941451,0.253022366894135,-0.135372669103498,0.517051932188859
"mode.HabitatRiverine",0.382890375692343,0.179682496976378,2.13092750899761,0.0344228306126762,0.0307126816186433,0.735068069766044
"mode.HabitatRock",0.346483057753091,0.182745542920827,1.89598636560565,0.0595291380841595,-0.0116982063717305,0.704664321877913
"mode.HabitatShrubland",0.340168202403237,0.151459310012272,2.24593788507074,0.0258973522347414,0.0433079547791833,0.637028450027291
"mode.HabitatWetland",0.29757484117782,0.149017219463081,1.99691580778384,0.0473082996408564,0.00550109103018176,0.589648591325458
"mode.HabitatWoodland",0.222745647906786,0.152888554718438,1.45691512564167,0.146844225857936,-0.0769159193413516,0.522407215154924
"mode.Primary.LifestyleAquatic",0.108075550192176,0.102610886919665,1.05325617423801,0.293604754686161,-0.0930417881703671,0.309192888554718
"mode.Primary.LifestyleGeneralist",0.176722880910121,0.106358777816193,1.66157306936649,0.0983012307399479,-0.0317403236096177,0.385186085429859
"mode.Primary.LifestyleInsessorial",0.0981522524709616,0.0922045453571166,1.06450557389345,0.2884946766361,-0.0825686564289869,0.27887316137091
"mode.Primary.LifestyleTerrestrial",0.120969478320399,0.0945962461314964,1.27879787272152,0.202578759300419,-0.0644391640973338,0.306378120738132
"mean.Latitude.span",0.0060804451859413,0.0620221080860465,0.0980367384079494,0.922009834284983,-0.11548288666271,0.127643777034592
"mean.Centroid.Latitude",0.0349867360551477,0.0422035173417659,0.829000478131329,0.408178248116056,-0.0477321579347133,0.117705630045009
"mean.Centroid.Longitude",-0.0574649607866995,0.0328347758858092,-1.75012495856672,0.0817636485839919,-0.121821121522886,0.00689119994948659
