"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-6.49010684040038,0.640240219246034,-7.76666954598927,-5.23683240139445
"mean_beak_size_pc1",2.51591983494715,2.12253267782507,-1.68395550992915,6.65970402115903
"mean_Tarsus_Length",-2.14379867465287,2.42943485106533,-6.96927986468876,2.47357229009896
"mean_Wing_Length",-0.463078271490876,2.44190602621039,-5.23836300855774,4.39698218097824
"mean_Hand_Wing_Index",-0.470460413277023,1.52026203664306,-3.45053187391127,2.53472634832332
"mean_Tail_Length",-1.50085000792374,1.77690909824165,-5.02075654551375,1.93232645541184
"mean_Mass",-0.414678181594587,1.73627635656141,-3.86293580473967,3.03236786160673
"mean_Habitat_Density",2.15980571464977,2.10093289154455,-1.94306130706472,6.3708862725977
"mean_Migration",-0.779406414884046,1.88253494437569,-4.4583129824213,2.97729150934347
"mean_Brain_Mass_g",0.779595121648672,2.20314224353426,-3.56416823868793,5.09989464791372
"mean_clutch_size",0.541891235458334,1.84277195404883,-3.09403082806398,4.09617131256364
"mean_Maximum_longevity",3.95035321363359,2.90586874718857,-1.85466092630954,9.6761190669726
"mean_GenLength",-2.70586241275512,3.35627720671052,-9.30041995856624,3.93620372032107
"mean_Range_Size",-0.642006547772067,0.597597982867696,-1.80105263791173,0.549859797248286
"mean_Annualtemp",0.0742537052319259,0.144667513816548,-0.198465200362467,0.397548363940245
"mean_AnnualPrecipitation",0.0489911396823112,1.53927724289302,-2.93628678408387,3.06436977746335
"mean_Abundance_estimate_1_1_matched",0.64138750452467,0.358993972058603,-0.0597568898080325,1.35531434268538
"mean_Latitude_span",-0.00295798557184917,1.33196672705905,-2.64742190414368,2.56320357547195
"mean_Centroid_Latitude",-1.42813238721681,0.902275386913364,-3.22537723897195,0.298995340746924
"mean_Centroid_Longitude",-0.0288353953222263,0.00983055891703788,-0.0482952156490092,-0.00939922645835229
