"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-6.67124488304718,0.590575231655219,-7.81825214461191,-5.54986088547268
"mean_beak_size_pc1",1.10016001476275,1.81960753141518,-2.46541081100165,4.67899928409324
"mean_Tarsus_Length",-3.73756621156323,2.0916026234011,-7.85235052767402,0.311280775064525
"mean_Wing_Length",2.05778030816118,2.08949804756539,-2.00693768207752,6.14925012510895
"mean_Hand_Wing_Index",-0.433607299381082,1.25308588264694,-2.92842084057303,1.98365747963906
"mean_Tail_Length",-0.326604088049536,1.51818012949577,-3.30693327758058,2.68548013895464
"mean_Mass",-1.70651203307944,1.44366121768944,-4.55161399055539,1.12394370539698
"mean_Habitat_Density",-1.31066024576553,1.87837243512585,-4.9803704243804,2.35326209436895
"mean_Migration",-1.5021786636828,1.63673319874593,-4.69035258382688,1.72308300385896
"mean_Brain_Mass_g",-3.30533801198404,1.84888127111658,-6.98899331073087,0.275926721792751
"mean_clutch_size",5.77372258334914,1.50004851874802,2.80084798460764,8.68932284468234
"mean_Maximum_longevity",2.58200206700204,2.67573160693788,-2.65048504068267,7.80652076181845
"mean_GenLength",-1.76409987280482,3.07398875221439,-7.80787281759618,4.14576965130915
"mean_Range_Size",-0.25385591609478,0.494661378613337,-1.22266558572108,0.724372625773054
"mean_Annualtemp",0.080355539030823,0.111798237995815,-0.138687386434574,0.300049198067609
"mean_AnnualPrecipitation",-0.0571634382424349,1.29520656980497,-2.60080932788435,2.49098114948101
"mean_Abundance_estimate_1_1_matched",0.0675837611475561,0.299513561313565,-0.526207789631126,0.652781771967728
"mean_Latitude_span",-0.180582803209846,1.07755374551484,-2.30089412680928,1.91381233876209
"mean_Centroid_Latitude",0.819512790227767,0.743260777674544,-0.639175284386764,2.27692663066487
"mean_Centroid_Longitude",-0.0128857674229089,0.00807257130139123,-0.0288193705183383,0.00294344710940145
