"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-7.29660270615019,0.590157892595449,-8.45594090218697,-6.12625370682374
"mean_beak_size_pc1",0.611441910926611,1.77251481475078,-2.87718318418201,4.09298058675502
"mean_Tarsus_Length",-4.45763728185938,2.00360747801546,-8.42090655738016,-0.539111859769519
"mean_Wing_Length",2.00129612165577,2.02825320794189,-1.96399559246737,5.92289432661475
"mean_Hand_Wing_Index",-0.876265995007209,1.2229885123846,-3.24678414967029,1.52380013626729
"mean_Tail_Length",-0.631034097669258,1.46419068856985,-3.48693238793082,2.28583610805389
"mean_Mass",-1.01032385022407,1.42898480266648,-3.84825789221815,1.79202898307086
"mean_Habitat_Density",-1.9044609533364,1.88408355757933,-5.61310023978033,1.75264739722639
"mean_Migration",-0.900596548741408,1.57762448551268,-3.99912289663882,2.20815749494072
"mean_Brain_Mass_g",-3.03769731602333,1.7901937489397,-6.51063117912694,0.497430537973917
"mean_clutch_size",5.64821227330377,1.46888695160931,2.77179433292684,8.49654374998395
"mean_Maximum_longevity",4.01750245233099,2.66600611922647,-1.20942954706106,9.21385190279627
"mean_GenLength",-5.2732582151628,3.0263714419177,-11.2181629690565,0.782506317509821
"mean_Range_Size",-0.276481109423753,0.489133009991612,-1.2431925055783,0.6837352679068
"mean_Annualtemp",0.076122773646811,0.10999792678851,-0.140930541423355,0.292710268987742
"mean_AnnualPrecipitation",-0.188564423230011,1.27029364898532,-2.69040472087316,2.28240078399365
"mean_Abundance_estimate_1_1_matched",0.134875821735253,0.296749074679864,-0.44482425933102,0.721414167859483
"mean_Latitude_span",-0.18276192527446,1.05486997589949,-2.22456583719111,1.88296405352445
"mean_Centroid_Latitude",0.217861318801933,0.710780190868813,-1.17780397828233,1.62116619729516
"mean_Centroid_Longitude",-0.0191782546751026,0.00761257741379987,-0.0340217191286445,-0.00434769931540914
