"","Overall"
"mean.beak.size.pc1",38.0378162283541
"mean.Tarsus.Length",49.4710373723159
"mean.Wing.Length",73.0334288902401
"mean.Hand.Wing.Index",26.2365452065879
"mean.Tail.Length",24.8682583686897
"mean.Mass",73.7280033235745
"mean.Habitat.Density",6.36884373724551
"mean.Migration",3.83199728341584
"mean.Brain.Mass..g.",71.649477276778
"mean.clutch.size",23.474149329408
"mean.Maximum.longevity",38.5173853970119
"mean.GenLength",100
"mean.Range.Size",12.7752450778925
"mean.Annualtemp",11.1265010113519
"mean.AnnualPrecipitation",18.1873108383437
"mean.Abundance.estimate.1.1.matched",16.8290544045922
"mode.HabitatDesert",0
"mode.HabitatForest",2.11524838337698
"mode.HabitatGrassland",1.58931945683794
"mode.HabitatHuman Modified",0.841327907080136
"mode.HabitatMarine",10.8397663943511
"mode.HabitatRiverine",0.0898009010329433
"mode.HabitatRock",0.0637981246149329
"mode.HabitatShrubland",1.32185202366473
"mode.HabitatWetland",1.10892097726759
"mode.HabitatWoodland",0.958132943169234
"mode.Trophic.LevelHerbivore",1.70534449393356
"mode.Trophic.LevelOmnivore",1.62181906498863
"mode.Trophic.LevelScavenger",0.776377978880429
"mode.Primary.LifestyleAquatic",1.65870403055378
"mode.Primary.LifestyleGeneralist",0.59862472134483
"mode.Primary.LifestyleInsessorial",3.18748952026986
"mode.Primary.LifestyleTerrestrial",0.988260355711607
"mean.Latitude.span",14.141979333444
"mean.Centroid.Latitude",14.9552904110575
"mean.Centroid.Longitude",16.3521784501636
