"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.0478659743196119,0.0158459723002288,3.02070288983912,0.00287867521990242,0.0168078686111634,0.0789240800280605
"mean.beak.size.pc1",-0.00543697752756208,0.00654980311839326,-0.830097856268972,0.407553364040953,-0.0182745916396129,0.00740063658448871
"mean.Tarsus.Length",0.00499989645010242,0.00743605701744409,0.672385437386141,0.502177265330342,-0.00957477530408799,0.0195745682042928
"mean.Wing.Length",0.00120598061705966,0.00880596599322384,0.136950405893874,0.891218921680051,-0.0160537127296591,0.0184656739637784
"mean.Hand.Wing.Index",0.00225987276692086,0.00511758964880749,0.441589287536459,0.659302145504174,-0.00777060294474183,0.0122903484785835
"mean.Tail.Length",-0.00527987192079945,0.00640397662830824,-0.824467706121885,0.410735586101631,-0.0178316661122836,0.00727192227068469
"mean.Mass",0.0212414528088882,0.0164745041375786,1.28935308956803,0.198885063484577,-0.0110485753007658,0.0535314809185422
"mean.Habitat.Density",0.00558571703342838,0.00473932468562019,1.17858923031297,0.240075465790543,-0.0037033593503872,0.014874793417244
"mean.Migration",0.00336422608923014,0.00368575960831315,0.912763296239452,0.362554995315532,-0.00385986274306364,0.0105883149215239
"mean.Brain.Mass..g.",-0.00527697137118007,0.010656447788401,-0.495190468340096,0.621053321403491,-0.026163609036446,0.0156096662940859
"mean.clutch.size",0.00447052187420014,0.00421882355575817,1.05966078341874,0.290680484140262,-0.00379837229508587,0.0127394160434861
"mean.Maximum.longevity",-0.00819471840957132,0.0090072187908661,-0.909794532567732,0.364114671080253,-0.0258488672396689,0.00945943042052624
"mean.GenLength",0.00817657661331808,0.0113464069126705,0.720631357243795,0.472045944051804,-0.014062380935516,0.0304155341621522
"mean.Range.Size",-0.00139236838179067,0.00537161045744089,-0.259208740623016,0.795762390746594,-0.0119207248783748,0.00913598811479346
"mean.Annualtemp",0.0041918725467632,0.00358906824370124,1.16795565370479,0.244327651067745,-0.00284270121089123,0.0112264463044176
"mean.AnnualPrecipitation",0.00107377618241836,0.00409764311986807,0.262047267418675,0.793576548165371,-0.00695760433252306,0.00910515669735979
"mean.Abundance.estimate.1.1.matched",-0.00484886782086617,0.00423893234630679,-1.14388893823483,0.254147640760239,-0.0131571752196275,0.00345943957789515
"mode.HabitatForest",-0.00543739085838567,0.0127085328537539,-0.427853546979621,0.669255389507774,-0.0303461152517434,0.019471333534972
"mode.HabitatGrassland",-0.0154772818048148,0.0119754308107969,-1.29241962559382,0.197823801348536,-0.0389491261939768,0.00799456258434715
"mode.HabitatHuman Modified",-0.0137747835707769,0.0238318101423007,-0.577999887063851,0.563967074643496,-0.0604851314496864,0.0329355643081325
"mode.HabitatMarine",0.00151427143020829,0.0121337094139189,0.124798722183937,0.900818402277429,-0.0222677990210727,0.0252963418814893
"mode.HabitatRiverine",0.00269159397787103,0.016711473443249,0.161062636817244,0.872219816006702,-0.0300628939708969,0.035446081926639
"mode.HabitatShrubland",-0.0142459259226416,0.0129228908255829,-1.10237919014525,0.271728890322773,-0.0395747919407841,0.011082940095501
"mode.HabitatWetland",-0.00574852697009672,0.0120480443364976,-0.477133616837918,0.633830139027242,-0.0293626938696321,0.0178656399294387
"mode.HabitatWoodland",-0.00767528762249208,0.0132052165803977,-0.581231483464313,0.561791916709559,-0.0335575121200715,0.0182069368750874
"mode.Primary.LifestyleAquatic",0.00237114747178373,0.00877194696577425,0.270310283570489,0.787222868751516,-0.0148218685811338,0.0195641635247013
"mode.Primary.LifestyleGeneralist",0.00999053540454194,0.00819954101498664,1.21842617608496,0.224613580708626,-0.00608056498483188,0.0260616357939158
"mode.Primary.LifestyleInsessorial",0.00430544301611428,0.00687497636344532,0.626248409959138,0.531923947697319,-0.00916951065623854,0.0177803966884671
"mode.Primary.LifestyleTerrestrial",0.00498509126048629,0.00730053591332655,0.682839084646704,0.495562716375986,-0.00932395912963374,0.0192941416506063
"mean.Latitude.span",0.00461852968975447,0.00534539308567103,0.864020590391192,0.388695437083626,-0.00585844075816074,0.0150955001376697
"mean.Centroid.Latitude",0.000535844603287961,0.00321345224901048,0.166750448354402,0.867748524756721,-0.00576252180477259,0.00683421101134851
"mean.Centroid.Longitude",-0.00148702443369631,0.00299878419751723,-0.49587577356432,0.620570636887013,-0.00736464146083009,0.00439059259343746
"mean.devmode",0.00508288287715176,0.00584983024892698,0.868894080829799,0.386030906328818,-0.00638278441074512,0.0165485501650487
