"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.0470770611064148,0.0541071107263852,-0.154472926810311,0.0596869605939238
"mean_beak_size_pc1",0.0428312094428621,0.115060507921137,-0.182772140229649,0.271488656360444
"mean_Tarsus_Length",-0.133106346940027,0.124315911074036,-0.381351424489918,0.111883814791926
"mean_Wing_Length",0.139822600361992,0.135197719959741,-0.127911600221538,0.403436067708565
"mean_Hand_Wing_Index",-0.038541332210144,0.0673013729301856,-0.17095086984842,0.0915822103803875
"mean_Tail_Length",-0.152674449214697,0.106864277324246,-0.358446698916934,0.0600380897993021
"mean_Mass",0.0688532909527553,0.10069527018942,-0.126627797981642,0.26884179646019
"mean_Habitat_Density",0.101414341892165,0.157192732260763,-0.202634076228892,0.416614990484274
"mean_Migration",-0.025352657866979,0.15877837894948,-0.33663499477042,0.289526338952279
"mean_Brain_Mass_g",-0.059445323058263,0.122106561232087,-0.299913108532795,0.176620564062102
"mean_clutch_size",-0.00675553185090383,0.113270512654407,-0.230632982877959,0.216638007545254
"mean_Maximum_longevity",-0.17234872022182,0.26818534867953,-0.706985798143506,0.353571187017967
"mean_GenLength",0.160220104921774,0.286268754859114,-0.408285759157413,0.723166802246434
"mean_Range_Size",-0.0334321808636407,0.0389217503957589,-0.109363656577905,0.0422906736449134
"mean_Annualtemp",0.0159884739731304,0.00848476741015371,-0.000626778334036556,0.032360832963543
"mean_AnnualPrecipitation",-0.113975880595521,0.1102704407634,-0.333285734415691,0.101229182352098
"mean_Abundance_estimate_1_1_matched",0.00132938419515737,0.0267958787177857,-0.0509367305122393,0.0546538239082355
"mean_Latitude_span",0.0439934969142201,0.114349463728199,-0.180413759626151,0.270525064820148
"mean_Centroid_Latitude",0.0320350904712388,0.0365412343065026,-0.0392469203560291,0.103939268075534
"mean_Centroid_Longitude",-0.00056585558631128,0.000519437575523048,-0.00157535230484399,0.000461692616077892
