"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.103122452302321,0.119791039174459,-0.131583731591894,0.339685944484092
"mean_beak_size_pc1",-0.0520506453802912,0.264627106840957,-0.565338993957837,0.471669124422906
"mean_Tarsus_Length",-0.128180041483387,0.280664155319882,-0.686634037760244,0.419047541794213
"mean_Wing_Length",-0.174903994372311,0.321365220477108,-0.804621453252394,0.455199033241044
"mean_Hand_Wing_Index",0.0191076847912084,0.16419587293332,-0.300765812457349,0.340293733193517
"mean_Tail_Length",0.199361240566288,0.249337563570434,-0.288909314060035,0.685214637934806
"mean_Mass",0.306591961616187,0.235772334933463,-0.160706851169619,0.764423794867571
"mean_Habitat_Density",-0.0450402220770991,0.31858446921142,-0.666654594312618,0.576909904802271
"mean_Migration",0.615561442191099,0.324973565235722,-0.0289811345067787,1.24677138116502
"mean_Brain_Mass_g",-0.262682055421805,0.279045276678115,-0.806596893513053,0.285653694870245
"mean_clutch_size",-0.0629600995998486,0.258457674126357,-0.574333338511757,0.444335483770472
"mean_Maximum_longevity",-0.500450469981772,0.593573731348027,-1.66027818486683,0.668217376741685
"mean_GenLength",0.673624290972199,0.632389088362002,-0.555855018993729,1.92667799747788
"mean_Range_Size",-0.0725817856419276,0.0873353555479255,-0.243250207412624,0.0973902526377952
"mean_Annualtemp",0.0139752243469435,0.0181752246511696,-0.0218629281685567,0.0494181827958358
"mean_AnnualPrecipitation",-0.0381887868459387,0.231829041259253,-0.490940761004735,0.421025520153861
"mean_Abundance_estimate_1_1_matched",0.00958398198874884,0.0587235970553813,-0.10618197216813,0.124824061737467
"mean_Latitude_span",0.154802343543171,0.246428832290201,-0.327946572027317,0.6382984530959
"mean_Centroid_Latitude",-0.0356790591100125,0.0781956396389239,-0.188959944221998,0.116337786170193
"mean_Centroid_Longitude",-0.000897264053935913,0.00115963628898227,-0.00317208643175244,0.00135924291430122
