"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.104457680409926,0.0580391878380682,-0.217907968258953,0.00903671226429811
"mean_beak_size_pc1",-0.0076059506859207,0.129184785341351,-0.262003666846406,0.246757302027101
"mean_Tarsus_Length",-0.0326189817638909,0.142613181368284,-0.313233261937776,0.250483585703532
"mean_Wing_Length",-0.115303098902861,0.153060158825927,-0.415886834262872,0.181680652325989
"mean_Hand_Wing_Index",-0.0138106831076772,0.0795530417314612,-0.167364975845107,0.144745613257733
"mean_Tail_Length",0.199760862681962,0.120757480094861,-0.0392724753782243,0.438476801760469
"mean_Mass",-0.145724322578203,0.122717962624422,-0.383835880273844,0.0943214851280593
"mean_Habitat_Density",-0.209217178359402,0.155199450769007,-0.511375856412888,0.0939869250480867
"mean_Migration",-0.0617197047014583,0.166168355949746,-0.387569291053719,0.263968767847063
"mean_Brain_Mass_g",0.294044899653019,0.145636786831182,0.00897866830015157,0.581937301156878
"mean_clutch_size",-0.25904088493756,0.128894030360627,-0.509765154610688,-0.00607761810005002
"mean_Maximum_longevity",0.0676430462704883,0.290701463387093,-0.500591502767893,0.644161196656287
"mean_GenLength",-0.514482945316373,0.314632307323545,-1.12968235321715,0.0992349858079366
"mean_Range_Size",0.021509816483709,0.0430186262074819,-0.0639528926706915,0.104863090141134
"mean_Annualtemp",-0.00154213238815638,0.00913199719871085,-0.0194907328598359,0.0164204159032661
"mean_AnnualPrecipitation",-0.0122183720082562,0.117448257763832,-0.24389782207867,0.218963555411741
"mean_Abundance_estimate_1_1_matched",-0.00882606317998444,0.0292635004438721,-0.0667179164785577,0.0481042345549004
"mean_Latitude_span",0.0557942803538847,0.12382686015618,-0.191214145190042,0.298833054281282
"mean_Centroid_Latitude",-0.0417456135222574,0.0387645106818851,-0.117680352139919,0.033686301452464
"mean_Centroid_Longitude",0.000521489099662483,0.000579122325766205,-0.000603329355309677,0.00165766683697969
"mean_devmode",0.0105146446044747,0.0528840553151395,-0.0950782750481577,0.114354305834722
