"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.0614556384361064,0.0359102439677899,1.71136788965371,0.0886891976925154,-0.00892843974076181,0.131839716612975
"mean.beak.size.pc1",0.0076290165350086,0.0142750991612485,0.534428269032168,0.593686934372466,-0.0203501778210385,0.0356082108910557
"mean.Tarsus.Length",0.010926041270322,0.0164917406707911,0.662515951980336,0.508465137660423,-0.0213977704444286,0.0432498529850726
"mean.Wing.Length",-0.0200488531088001,0.0196191690443017,-1.02190123666951,0.308162087139043,-0.0585024244356313,0.0184047182180312
"mean.Hand.Wing.Index",0.0069649944938563,0.0115567969280318,0.602675164860105,0.547462849702504,-0.015686327485086,0.0296163164727986
"mean.Tail.Length",0.0214895949012655,0.0139392010251155,1.54166618750572,0.124863493472476,-0.00583123910796076,0.0488104289104918
"mean.Mass",-0.0355827184686693,0.03550314162855,-1.00224140277364,0.317536118323859,-0.105168876060627,0.0340034391232888
"mean.Habitat.Density",0.00201898605320304,0.00976031856602352,0.206856573332688,0.836349370633554,-0.0171112383362031,0.0211492104426091
"mean.Migration",-0.0090701959219646,0.00756098975142389,-1.19960431374166,0.231827133381993,-0.0238897358347554,0.00574934399082622
"mean.Brain.Mass..g.",0.0451743285060139,0.0227926256850696,1.98197123623214,0.0489632360571355,0.000500782163277494,0.0898478748487503
"mean.clutch.size",-0.0166841547922587,0.00906952596144851,-1.83958399404527,0.0674318896639226,-0.0344604256766978,0.00109211609218039
"mean.Maximum.longevity",0.0271803766121511,0.0189689390381001,1.43288860581807,0.15357735859336,-0.00999874390252505,0.0643594971268273
"mean.GenLength",-0.0488711221840792,0.0241846898137112,-2.02074628868601,0.0447477606040289,-0.096273114218953,-0.00146913014920527
"mean.Range.Size",0.0182973643587922,0.0115679761263302,1.5817256328136,0.115420336975185,-0.00437586884881494,0.0409705975663993
"mean.Annualtemp",-0.0088624639816683,0.00756970485997247,-1.17078065071358,0.24319281740794,-0.0236990855072143,0.00597415754387775
"mean.AnnualPrecipitation",0.0189373499756079,0.00867222490496334,2.18367837355897,0.0302442917422331,0.00193978916187978,0.0359349107893361
"mean.Abundance.estimate.1.1.matched",0.00314813901050417,0.00906022584496366,0.347468050396795,0.728634705057996,-0.0146099036456246,0.0209061816666329
"mode.HabitatForest",-0.0307832837762523,0.0270523712734957,-1.13791443511689,0.256627752524258,-0.0838059314723038,0.0222393639197992
"mode.HabitatGrassland",-0.0187100113282282,0.0255408640872286,-0.732552010156302,0.464758809910036,-0.0687701049391963,0.0313500822827399
"mode.HabitatHuman Modified",-0.0762168133022721,0.0544184625560748,-1.40056902974309,0.163017997641577,-0.182876999912179,0.0304433733076344
"mode.HabitatMarine",-0.00814733018973461,0.0258836286058546,-0.314767697906614,0.753292765857859,-0.0588792422572095,0.0425845818777403
"mode.HabitatRiverine",-0.062861657826172,0.0351015902633074,-1.79084928502179,0.0749524424953964,-0.131660774742254,0.00593745908991045
"mode.HabitatShrubland",-0.0144383066419415,0.0273904031199048,-0.527130125786615,0.59873476566022,-0.0681234967569549,0.0392468834730718
"mode.HabitatWetland",-0.022342764188737,0.025755051689994,-0.867509972710219,0.386786507582543,-0.0728226655011253,0.0281371371236513
"mode.HabitatWoodland",-0.0162781504067754,0.0280181540640105,-0.580985826888745,0.561957122228354,-0.071193732372236,0.0386374315586852
"mode.Primary.LifestyleAquatic",-0.0341772991017939,0.0191987492303239,-1.78018363028628,0.076687252375597,-0.0718068475932288,0.00345224938964097
"mode.Primary.LifestyleGeneralist",-0.0536683676958818,0.0173051778672071,-3.10128957400561,0.00222848985102111,-0.0875865163156077,-0.019750219076156
"mode.Primary.LifestyleInsessorial",-0.0385521776243133,0.0147742310909349,-2.60942023899761,0.009811709555455,-0.0675096705625457,-0.00959468468608086
"mode.Primary.LifestyleTerrestrial",-0.0444985476612283,0.0155533501799428,-2.86102654067498,0.00470879666148412,-0.0749831140139162,-0.0140139813085404
"mean.Latitude.span",-0.0129955164159611,0.0112486752064586,-1.15529306139976,0.24946039927339,-0.03504291982062,0.00905188698869775
"mean.Centroid.Latitude",-0.00222026835662729,0.00673777551866509,-0.32952542726849,0.742131369661049,-0.0154263083732109,0.0109857716599563
"mean.Centroid.Longitude",0.000133080360918832,0.00632692520984593,0.0210339709266253,0.98324122566262,-0.0122676930503792,0.0125338537722169
"mean.devmode",0.00756855215815243,0.0132327535665467,0.571955951578079,0.568046135013386,-0.0183676448322791,0.033504749148584
