"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0290940282016525,0.0255766913052787,-1.13752118498799,0.256791589144955,-0.0792243431599987,0.0210362867566936
"mean.beak.size.pc1",0.00388750109748356,0.0101672883349661,0.382353777074872,0.702637859286803,-0.0160403840390499,0.023815386234017
"mean.Tarsus.Length",-0.018886107175472,0.0117460677961942,-1.60786635180083,0.109569742734637,-0.0419084000560126,0.00413618570506863
"mean.Wing.Length",0.00141069991787764,0.0139735455643875,0.100955044757782,0.91969547440313,-0.0259774493883218,0.0287988492240771
"mean.Hand.Wing.Index",-0.00531158818072507,0.00823120633129613,-0.645298874422539,0.519533014934229,-0.0214447525900655,0.0108215762286153
"mean.Tail.Length",-0.00658628990373964,0.00992804844159191,-0.663402273114168,0.507898764364844,-0.0260452648492598,0.0128726850417805
"mean.Mass",0.0320058359902123,0.0252867369716424,1.26571633287857,0.207206331483963,-0.0175561684742069,0.0815678404546314
"mean.Habitat.Density",-0.0089745011942012,0.00695168362621758,-1.29098239746624,0.198320673883092,-0.0225998011015877,0.00465079871318525
"mean.Migration",0.0020800961365687,0.00538523494877961,0.386259124504881,0.699748634460535,-0.00847496436303934,0.0126351566361767
"mean.Brain.Mass..g.",-0.0206643294704481,0.0162338064789168,-1.27291953968315,0.204643909287807,-0.052482590169125,0.0111539312282289
"mean.clutch.size",0.00891726138825314,0.00645967390277955,1.38045070424006,0.169113577568213,-0.00374369946119478,0.0215782222377011
"mean.Maximum.longevity",-0.0389367911171743,0.0135104261224543,-2.88198098004189,0.00441941342885879,-0.0654172263171847,-0.0124563559171639
"mean.GenLength",0.0297569776505917,0.0172252894253249,1.72751684548432,0.0857437732912591,-0.00400458962304509,0.0635185449242284
"mean.Range.Size",-0.00112009751758725,0.00823916859699878,-0.135947881682535,0.892010298736734,-0.0172688679677049,0.0150286729325304
"mean.Annualtemp",0.00924582335984586,0.00539144219263011,1.7149072603402,0.0880367111413298,-0.00132140333770916,0.0198130500574009
"mean.AnnualPrecipitation",-0.013439764597957,0.00617670042907949,-2.17588091769571,0.0308318737884876,-0.0255460974389528,-0.00133343175696116
"mean.Abundance.estimate.1.1.matched",0.00418029747049503,0.00645304999321632,0.647801810754529,0.517916269213353,-0.00846768051620895,0.016828275457199
"mode.HabitatForest",0.0238117890012544,0.019267765202559,1.23583553935419,0.218086620522038,-0.0139530307957613,0.06157660879827
"mode.HabitatGrassland",0.037720566271704,0.0181912102021658,2.07356002445692,0.0395054972011194,0.00206579427545896,0.0733753382679491
"mode.HabitatHuman Modified",0.0170484743612962,0.0387589741621644,0.439858761224349,0.660552829020915,-0.0589191149965461,0.0930160637191385
"mode.HabitatMarine",0.0162451155926321,0.0184353406038184,0.881194220478212,0.379356099341904,-0.019888151990852,0.0523783831761162
"mode.HabitatRiverine",0.00625072004897705,0.0250007362605017,0.250021438722686,0.802848187880292,-0.0427507230216063,0.0552521631195604
"mode.HabitatShrubland",0.021722364040007,0.0195085248085008,1.1134806067213,0.26694670554065,-0.0165143445846545,0.0599590726646686
"mode.HabitatWetland",0.0228692515863956,0.0183437630559493,1.2467044802445,0.214082047342717,-0.0130845240032651,0.0588230271760564
"mode.HabitatWoodland",0.00654318809060122,0.0199556337763037,0.327886759395781,0.743368062594877,-0.0325698541109541,0.0456562302921565
"mode.Primary.LifestyleAquatic",0.00301423642090385,0.0136741060002793,0.220433893143893,0.825776323875681,-0.0237870113396437,0.0298154841814514
"mode.Primary.LifestyleGeneralist",0.0345708645120373,0.0123254298324873,2.80484047874059,0.00557209170018151,0.0104130220403622,0.0587287069837125
"mode.Primary.LifestyleInsessorial",0.0152722200316257,0.0105227897706468,1.45134706332605,0.148376855599873,-0.00535244791884212,0.0358968879820935
"mode.Primary.LifestyleTerrestrial",0.0115710611446424,0.0110777090980532,1.04453556617369,0.297600602991423,-0.0101412486875419,0.0332833709768267
"mean.Latitude.span",-0.000153715475410867,0.00801174989529429,-0.0191862548656382,0.984713199392015,-0.0158567452701877,0.0155493143193659
"mean.Centroid.Latitude",0.00525312722344515,0.0047989093218006,1.09465023637374,0.275093030948434,-0.00415273504728403,0.0146589894941743
"mean.Centroid.Longitude",-0.00678299991959697,0.00450628553648822,-1.50523083028667,0.13397016635135,-0.0156153195711139,0.00204931973191993
"mean.devmode",0.000422664133012046,0.00942488871403844,0.0448455303649882,0.964278802628731,-0.0180501177465033,0.0188954460125274
