"","Overall"
"mean.beak.size.pc1",53.1934032560241
"mean.Tarsus.Length",62.6144389400722
"mean.Wing.Length",53.3184683769299
"mean.Hand.Wing.Index",60.6150440353689
"mean.Tail.Length",40.638448362898
"mean.Mass",32.6710957906421
"mean.Habitat.Density",52.8784028839807
"mean.Migration",45.1001175440389
"mean.Brain.Mass..g.",39.5393892082742
"mean.clutch.size",52.2796742586645
"mean.Maximum.longevity",60.6267088232791
"mean.GenLength",61.3121466066755
"mean.Range.Size",70.6605887400367
"mean.Annualtemp",30.7016131890204
"mean.AnnualPrecipitation",42.7390029771281
"mean.Abundance.estimate.1.1.matched",67.1832399935863
"mode.HabitatForest",7.93388925584959
"mode.HabitatGrassland",3.19370884666987
"mode.HabitatHuman Modified",0.0534727714137163
"mode.HabitatMarine",5.12705013779272
"mode.HabitatRiverine",0.0450316823378166
"mode.HabitatShrubland",1.34010796597919
"mode.HabitatWetland",3.84511593660282
"mode.HabitatWoodland",3.10846739175641
"mode.Trophic.LevelHerbivore",27.9261734236682
"mode.Trophic.LevelOmnivore",5.32532563401738
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",1.56901603789745
"mode.Primary.LifestyleGeneralist",0.795384579565814
"mode.Primary.LifestyleInsessorial",4.14205937567201
"mode.Primary.LifestyleTerrestrial",5.20825723847732
"mean.Latitude.span",62.1953513473646
"mean.Centroid.Latitude",45.2280649588085
"mean.Centroid.Longitude",100
"mean.devmode",59.0547770346246
