"","Overall"
"mean.beak.size.pc1",36.709122894176
"mean.Tarsus.Length",41.3054078839458
"mean.Wing.Length",45.5993259759691
"mean.Hand.Wing.Index",38.2386460723716
"mean.Tail.Length",76.9107747045131
"mean.Mass",37.3744753483416
"mean.Habitat.Density",32.6463220421932
"mean.Migration",22.4250144657714
"mean.Brain.Mass..g.",47.3386322574862
"mean.clutch.size",42.100441772798
"mean.Maximum.longevity",56.2369127961128
"mean.GenLength",46.1403944953959
"mean.Range.Size",31.3788638412481
"mean.Annualtemp",32.186627365711
"mean.AnnualPrecipitation",68.5633067917343
"mean.Abundance.estimate.1.1.matched",36.7662918414106
"mode.HabitatForest",4.28237851703635
"mode.HabitatGrassland",2.07114961298249
"mode.HabitatHuman Modified",0.0161665494835997
"mode.HabitatMarine",0.238709378792433
"mode.HabitatRiverine",0.00857768190185033
"mode.HabitatShrubland",9.86604045210668
"mode.HabitatWetland",1.44691676109578
"mode.HabitatWoodland",10.3899493625148
"mode.Trophic.LevelHerbivore",3.44145874822544
"mode.Trophic.LevelOmnivore",8.7193612249514
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",0.248752874676654
"mode.Primary.LifestyleGeneralist",1.16575882638842
"mode.Primary.LifestyleInsessorial",6.10290799906385
"mode.Primary.LifestyleTerrestrial",4.789609415354
"mean.Latitude.span",37.0537224494832
"mean.Centroid.Latitude",41.8967144731129
"mean.Centroid.Longitude",100
