"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0201964104868518,0.0536355741348305,-0.376548788982506,0.706942809296875,-0.12532213579112,0.0849293148174159
"mean.beak.size.pc1",-0.00610525244606807,0.0174649397836378,-0.349571915031041,0.727059757961542,-0.0403365344219981,0.028126029529862
"mean.Tarsus.Length",-0.0206938850623044,0.0223374108820733,-0.926422725156212,0.355439866258682,-0.0644752103911681,0.0230874402665593
"mean.Wing.Length",0.0264320221674487,0.0236824428047546,1.1161020163909,0.265833898984317,-0.0199855657298702,0.0728496100647676
"mean.Hand.Wing.Index",-0.0321631687741543,0.0152636821717119,-2.10716971254565,0.0364579603586357,-0.0620799858307096,-0.00224635171759898
"mean.Tail.Length",-0.0129825950340455,0.0159188593043341,-0.815548073253644,0.415813100783404,-0.0441835592705403,0.0182183692024493
"mean.Mass",-0.00393294412001243,0.0381454643412841,-0.10310384702162,0.917992836842282,-0.0786980542289294,0.0708321659889045
"mean.Habitat.Density",-0.00148364340258196,0.0124567673547524,-0.119103404625754,0.905323367650907,-0.0258989074178967,0.0229316206127328
"mean.Migration",0.00754725675668703,0.00876805821682268,0.860767181290679,0.390486520791218,-0.00963813734828542,0.0247326508616595
"mean.Brain.Mass..g.",-0.0202537638765489,0.026540410439363,-0.763129263687264,0.446363610902775,-0.0722729683377004,0.0317654405846026
"mean.clutch.size",0.017316414371621,0.0113220107891672,1.52944690603803,0.127871025201526,-0.00487472677514672,0.0395075555183886
"mean.Maximum.longevity",0.027492158453509,0.0213854203910208,1.28555613828626,0.200213632993859,-0.0144232655128918,0.0694075824199098
"mean.GenLength",-0.0104105185173361,0.0286351121428749,-0.363557805025971,0.71660560692967,-0.0665353383173709,0.0457143012826986
"mean.Range.Size",-0.0492818761919191,0.0175102184698,-2.81446381019836,0.00541764236737035,-0.0836019043927271,-0.014961847991111
"mean.Annualtemp",-0.0187802787197806,0.0110215924385078,-1.70395329210007,0.0900779464752757,-0.0403825998992559,0.00282204245969464
"mean.AnnualPrecipitation",0.0181671724022601,0.0110605720844108,1.64251652298037,0.102190885242526,-0.00351154888318499,0.0398458936877052
"mean.Abundance.estimate.1.1.matched",0.0103107991828603,0.0107614212532906,0.958126156404061,0.339256389105328,-0.0107815864735893,0.0314031848393098
"mode.HabitatDesert",0.000181036851330257,0.0582839622851231,0.00310611777635554,0.997525045567729,-0.114055529227511,0.114417602930172
"mode.HabitatForest",0.00551682474009571,0.0399636106634145,0.138046203746705,0.890354856226687,-0.0728118521601968,0.0838455016403882
"mode.HabitatGrassland",0.0471318139604649,0.0390166094912591,1.20799358465588,0.228600051077271,-0.0293407406424029,0.123604368563333
"mode.HabitatHuman Modified",0.0459937228152819,0.0423682325969825,1.08557095720244,0.279089060174375,-0.0370480130748038,0.129035458705367
"mode.HabitatMarine",-0.0273817310580091,0.0430286776894867,-0.636360040055318,0.525332591267138,-0.111717939329403,0.0569544772133849
"mode.HabitatRiverine",0.0253629370540996,0.0463085632566204,0.547694319807548,0.584565575030522,-0.0654018469288765,0.116127721037076
"mode.HabitatRock",0.000611947014759853,0.0471199239861307,0.0129870119259949,0.989652225515253,-0.0917431039980563,0.092966998027576
"mode.HabitatShrubland",0.0253500545030144,0.0391302561940038,0.647837682874637,0.517897477882554,-0.0513452476372331,0.102045356643262
"mode.HabitatWetland",-0.0108037423829201,0.0385196716374342,-0.280473376943868,0.779429444633154,-0.0863022987922911,0.0646948140264509
"mode.HabitatWoodland",0.0269887612033834,0.0395052318526584,0.683169290185226,0.495359185638818,-0.050441493227827,0.104419015634594
"mode.Primary.LifestyleAquatic",0.0573568806631453,0.026503698499984,2.16410855500714,0.031744699764506,0.00540963160317658,0.109304129723114
"mode.Primary.LifestyleGeneralist",0.0153301911968086,0.027358363541102,0.56034752129005,0.575924037636893,-0.0382922013437514,0.0689525837373686
"mode.Primary.LifestyleInsessorial",0.0359045672871609,0.0237647035709956,1.51083589912654,0.132545710947149,-0.0106742517119906,0.0824833862863123
"mode.Primary.LifestyleTerrestrial",0.0285410764932018,0.0243900344761557,1.17019418406744,0.243436268896931,-0.0192633910800633,0.076345544066467
"mean.Latitude.span",0.0255377831383327,0.0158628480539573,1.60991160297736,0.109131404668152,-0.0055533990474236,0.0566289653240891
"mean.Centroid.Latitude",-0.00700440147044203,0.0108248045181015,-0.647069557582226,0.518393343660425,-0.028221018325921,0.014212215385037
"mean.Centroid.Longitude",0.00707316525813202,0.00844448313741197,0.837607837334112,0.403337647557217,-0.00947802169119544,0.0236243522074595
