"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0249857332281493,0.0128954624716883,-1.93756007456148,0.0542162521417488,-0.0502608396726584,0.000289373216359856
"mean.beak.size.pc1",0.00451756269763119,0.00462318448173583,0.977153889376056,0.329782935165421,-0.00454387888657103,0.0135790042818334
"mean.Tarsus.Length",0.000176079424876781,0.00566617785962115,0.0310755202605931,0.97524317777398,-0.0109296291799807,0.0112817880297342
"mean.Wing.Length",-0.0056872996529502,0.00588579224711508,-0.966275976821613,0.335181333504609,-0.0172234524572958,0.00584885315139536
"mean.Hand.Wing.Index",-0.000637378599237879,0.00373006737774768,-0.170875894371309,0.864510134713083,-0.00794831065962333,0.00667355346114757
"mean.Tail.Length",0.00922073426730498,0.0042209230782429,2.18453027842038,0.0301945024621623,0.000947725033948887,0.0174937435006611
"mean.Mass",-0.00992114347524785,0.0101206910162518,-0.980283209843726,0.328240515845812,-0.0297576978671013,0.00991541091660563
"mean.Habitat.Density",0.00172071875071726,0.00360832360894765,0.476874841948861,0.634020205525612,-0.00535159552282014,0.00879303302425465
"mean.Migration",0.00182584800070655,0.00247111366923648,0.738876573521078,0.460928564876273,-0.00301753479099695,0.00666923079241005
"mean.Brain.Mass..g.",0.00500554894668627,0.007281368167442,0.687446209500592,0.492671912601513,-0.00926593266150005,0.0192770305548726
"mean.clutch.size",-0.00734838473397676,0.00304857299785671,-2.41043423895148,0.0169234188980317,-0.0133235878097759,-0.00137318165817761
"mean.Maximum.longevity",0.00853320521801398,0.00581356227497781,1.4678100645351,0.143872451411273,-0.00286137684094252,0.0199277872769705
"mean.GenLength",-0.0136987689991519,0.00768023046389917,-1.78364035604697,0.076139345122677,-0.0287520207083943,0.00135448271009043
"mean.Range.Size",0.00378293457583126,0.00472176488611406,0.801169619215106,0.424072445436097,-0.0054717246009523,0.0130375937526148
"mean.Annualtemp",0.000635033403895771,0.00299872949479358,0.211767485196088,0.832524100525899,-0.00524247640589965,0.00651254321369119
"mean.AnnualPrecipitation",-0.000152587769360311,0.0029959825314203,-0.0509307940750822,0.959436215671839,-0.0060247135309441,0.00571953799222348
"mean.Abundance.estimate.1.1.matched",-0.000608813036162577,0.00297222854876097,-0.204833856540531,0.837929581056362,-0.00643438099173409,0.00521675491940893
"mode.HabitatDesert",0.00409402348084928,0.015311683163315,0.26737906193475,0.789478415534734,-0.0259168755192482,0.0341049224809467
"mode.HabitatForest",0.0189002819322498,0.0101035723503109,1.87065339633741,0.0629896610155577,-0.000902719874359505,0.0387032837388591
"mode.HabitatGrassland",0.00949593419177133,0.00973413299518206,0.975529530618841,0.330585432634204,-0.00958296647878552,0.0285748348623282
"mode.HabitatHuman Modified",0.0175417767196132,0.0108588561666912,1.61543503757066,0.107939249098556,-0.0037415813671016,0.038825134806328
"mode.HabitatMarine",0.00673852042855572,0.0107143714991375,0.628923537801371,0.530183376111851,-0.0142616477097537,0.0277386885668652
"mode.HabitatRiverine",0.012720990346474,0.0120454919891994,1.05607893458236,0.292324344284053,-0.0108881739523568,0.0363301546453048
"mode.HabitatRock",0.0161458422828833,0.0122302430005817,1.32015711234155,0.188431437114177,-0.0078254339982568,0.0401171185640235
"mode.HabitatShrubland",0.0176582677634206,0.00985577018109017,1.79166797104307,0.0748384959247404,-0.00165904179151609,0.0369755773183574
"mode.HabitatWetland",0.0092636625922881,0.00961685201705062,0.963273904585792,0.33668122509935,-0.00958536736113112,0.0281126925457073
"mode.HabitatWoodland",0.0158089456335097,0.00992179304793127,1.59335571273641,0.112806150723781,-0.00363776874043559,0.035255660007455
"mode.Primary.LifestyleAquatic",-0.00325621863155356,0.0066527610127684,-0.489453720839216,0.6251066812187,-0.0162956302165796,0.00978319295347251
"mode.Primary.LifestyleGeneralist",-0.00973530734107893,0.00722725302948585,-1.34702732855217,0.1796371000201,-0.0239007232788712,0.00443010859671334
"mode.Primary.LifestyleInsessorial",-0.00201418184373391,0.0061054311376912,-0.329900018247619,0.741852838352433,-0.0139808268736087,0.00995246318614085
"mode.Primary.LifestyleTerrestrial",-0.00191976033325423,0.00621473868163612,-0.308904433733782,0.757745616574941,-0.014100648149261,0.0102611274827526
"mean.Latitude.span",-0.00233449792356493,0.00441892062650829,-0.528295962041206,0.597934001475172,-0.0109955823515212,0.00632658650439133
"mean.Centroid.Latitude",-0.000364948902333781,0.00295004774238019,-0.123709490219751,0.901681067018502,-0.00614704247739896,0.0054171446727314
"mean.Centroid.Longitude",0.00130043199553972,0.00222806911590935,0.583658732242231,0.560168613198961,-0.00306658347164261,0.00566744746272205
"mean.devmode",0.000277902011978954,0.00410655340216862,0.0676728109348822,0.946119974522453,-0.00777094265627154,0.00832674668022945
