"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.0429190845688612,0.0335022703626811,-0.0218145565834231,0.109043236510745
"mean_beak_size_pc1",0.0574713411976702,0.109077623111021,-0.153197752405924,0.271659863769573
"mean_Tarsus_Length",0.16774217490925,0.125746359610601,-0.0777264284006372,0.418799860362955
"mean_Wing_Length",0.119811156279329,0.128620250878979,-0.131546832521725,0.376857505532426
"mean_Hand_Wing_Index",-0.00605393294398827,0.0709767938298529,-0.145354684801618,0.133744615991085
"mean_Tail_Length",-0.150245127088876,0.0943284491934042,-0.335558611676235,0.0329980632600554
"mean_Mass",-0.105038854554206,0.0914775407097719,-0.286033831984842,0.0749358626574417
"mean_Habitat_Density",-0.108097210047213,0.112055220142457,-0.329875550093775,0.111745697664317
"mean_Migration",-0.0878910011450609,0.106363551985682,-0.298763553722602,0.120390291941381
"mean_Brain_Mass_g",0.0811192574961599,0.121818001089313,-0.156045475293482,0.317821004955366
"mean_clutch_size",0.112612799054984,0.0968654341323096,-0.075894257343102,0.305323822807437
"mean_Maximum_longevity",-0.290111336732851,0.210625252374903,-0.701057461232247,0.127346524355273
"mean_GenLength",0.402508571449784,0.251261866404369,-0.0801967635017595,0.893324044294728
"mean_Range_Size",-0.0251825873370851,0.0287892145223442,-0.0818166609817692,0.0315033789999676
"mean_Annualtemp",0.00764255923261215,0.00678146390733683,-0.00559361916583622,0.0210600810859889
"mean_AnnualPrecipitation",-0.0522345221168446,0.0786318305700085,-0.20642885527251,0.104827989188413
"mean_Abundance_estimate_1_1_matched",0.00948330253123499,0.0171679531732892,-0.0240140511995348,0.0431875743876568
"mean_Latitude_span",0.0730649144487134,0.0660907404813936,-0.0585462362065187,0.201826506663179
"mean_Centroid_Latitude",0.0176567054534788,0.04482127089307,-0.0713132512720257,0.105643149300907
"mean_Centroid_Longitude",0.0014042668125083,0.000456411580413402,0.000508573979330396,0.00229954968330017
"mean_devmode",0.0408713521390009,0.0460641344311495,-0.0494717594499668,0.131042945768795
